id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
damij001,0,18,8,3,3,3,90,3,1,4,3,0,0,0,26,22,0,0,1,1
delov001,0,3,1,0,0,0,16,0,0,1,0,0,0,0,4,4,0,0,0,0
acevj001,0,3,1,1,0,0,19,0,0,1,0,0,0,0,5,4,0,0,0,0
leskc001,0,3,0,1,0,0,19,2,0,0,0,0,0,0,4,3,0,0,0,0
bohab001,1,18,6,5,2,2,110,1,0,3,3,0,1,0,26,20,0,1,0,0
dejem001,1,1,2,2,2,2,22,0,0,2,0,0,1,0,5,3,0,0,0,1
myerm001,1,2,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0
choub001,1,3,1,1,0,0,15,0,0,0,1,0,0,0,5,4,0,0,0,1
jimej001,1,2,5,2,4,4,21,0,0,5,0,0,0,0,8,5,0,0,1,2
dipoj001,1,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0
