id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
shumt001,PIT200008250,1,7,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hollt001,PIT200008250,1,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
peren001,PIT200008250,2,6,5,4,4,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cirij001,PIT200008250,3,5,5,5,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
heltt001,PIT200008250,4,3,5,2,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,PIT,0,1,0
hammj001,PIT200008250,5,8,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
huskb001,PIT200008250,6,9,3,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
pierj002,PIT200008250,6,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
petrb001,PIT200008250,7,2,5,5,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
fryej001,PIT200008250,8,4,5,4,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
tavaj001,PIT200008250,9,1,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
whitg001,PIT200008250,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jimej001,PIT200008250,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
pierj002,PIT200008260,1,8,6,6,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
peren001,PIT200008260,2,6,6,4,1,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
heltt001,PIT200008260,3,3,6,4,2,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
hammj001,PIT200008260,4,9,6,6,2,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
