id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
tavaj001,PIT200008250,21,9,3,3,3,99,1,0,6,2,1,0,0,29,26,0,0,0,0,PIT,0,1,1
whitg001,PIT200008250,4,0,0,0,0,19,2,0,0,0,0,0,0,4,4,0,0,0,0,PIT,0,1,0
jimej001,PIT200008250,2,0,0,0,0,15,2,0,0,0,0,0,1,3,2,0,0,0,0,PIT,0,1,0
astap001,PIT200008260,15,8,3,3,3,89,2,1,5,2,0,0,0,26,23,0,0,0,0,PIT,0,1,1
dejem001,PIT200008260,2,1,0,0,0,9,1,0,1,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
myerm001,PIT200008260,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
choub001,PIT200008260,6,1,0,1,1,22,1,0,0,1,0,0,0,7,7,0,0,0,0,PIT,0,1,0
housc001,PIT200008260,3,0,3,0,0,21,0,0,0,0,0,0,0,5,2,0,0,0,0,PIT,0,1,0
bohab001,PIT200008270,27,4,2,2,0,124,6,0,4,0,0,1,1,33,30,0,0,0,0,PIT,0,1,1
arror001,LAN200007190,21,6,2,4,4,119,7,1,3,2,0,0,0,29,27,0,0,0,0,LAN,0,1,1
belis001,LAN200007190,3,3,3,5,5,35,0,0,0,3,0,0,0,9,5,0,0,1,0,LAN,0,1,0
yoshm001,LAN200007200,18,7,2,4,4,100,1,2,4,1,0,0,0,25,23,0,0,0,0,LAN,0,1,1
choub001,LAN200007200,4,1,1,1,1,22,1,0,1,0,0,0,0,5,4,0,0,0,0,LAN,0,1,0
myerm001,LAN200007200,0,1,0,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,LAN,0,1,0
dejem001,LAN200007200,1,0,1,0,0,8,0,0,0,0,0,0,0,2,1,0,0,0,1,LAN,0,1,0
whitg001,LAN200007200,1,1,0,0,0,13,0,0,1,0,0,1,0,2,2,0,0,0,0,LAN,0,1,0
roseb002,LAN200009140,18,6,1,3,3,99,3,1,3,2,0,0,2,27,24,0,0,0,0,LAN,0,1,1
dipoj001,LAN200009140,3,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
whitg001,LAN200009140,3,0,0,0,0,16,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
jimej001,LAN200009140,3,2,0,1,1,9,0,0,2,0,0,0,0,5,4,0,1,0,0,LAN,0,1,0
astap001,LAN200009150,9,0,1,0,0,29,1,0,0,0,0,0,0,9,8,0,0,0,0,LAN,0,1,1
jarvk001,LAN200009150,11,4,3,3,3,71,2,0,1,3,0,0,0,17,14,0,0,0,0,LAN,0,1,0
myerm001,LAN200009150,0,0,2,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,1,LAN,0,1,0
choub001,LAN200009150,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,LAN,0,1,0
whitg001,LAN200009150,6,0,0,0,0,30,2,0,0,0,0,0,0,6,6,0,0,0,0,LAN,0,1,0
dejem001,LAN200009150,2,1,0,1,1,10,1,1,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
tavaj001,LAN200009160,16,5,3,4,4,97,1,0,2,3,0,0,1,24,19,0,1,0,1,LAN,0,1,1
dipoj001,LAN200009160,4,2,1,1,1,23,0,0,2,0,0,0,0,7,3,0,1,2,1,LAN,0,1,0
myerm001,LAN200009160,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,LAN,0,1,0
choub001,LAN200009160,3,0,0,0,0,16,2,0,0,0,0,0,1,4,3,0,0,0,0,LAN,0,1,0
yoshm001,LAN200009170,8,5,2,5,5,59,0,2,3,0,0,0,0,15,13,0,0,0,0,LAN,0,1,1
carrg001,LAN200009170,4,1,0,1,1,26,1,1,0,0,0,0,0,5,5,0,0,0,0,LAN,0,1,0
wasdj001,LAN200009170,6,4,1,3,3,50,3,1,2,1,0,0,1,11,9,0,0,0,0,LAN,0,1,0
housc001,LAN200009170,0,1,3,3,3,17,0,1,0,0,0,0,0,3,0,0,0,0,0,LAN,0,1,0
dejem001,LAN200009170,3,0,0,0,0,19,1,0,0,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
walkp001,LAN200009170,3,1,0,0,0,5,0,0,1,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
bohab001,CHN200007310,18,5,1,1,1,78,2,0,5,0,0,0,0,21,20,0,0,0,0,CHN,0,1,1
wasdj001,CHN200007310,4,3,0,1,1,23,0,1,2,0,0,0,0,7,7,0,0,0,0,CHN,0,1,0
myerm001,CHN200007310,2,0,1,0,0,12,1,0,0,0,0,0,0,3,2,0,0,0,1,CHN,0,1,0
astap001,CHN200008010,21,2,4,1,1,126,12,0,1,1,0,1,0,28,24,0,0,0,0,CHN,0,1,1
whitg001,CHN200008010,6,0,0,0,0,20,2,0,0,0,0,0,0,6,6,0,0,0,0,CHN,0,1,0
roseb002,CHN200008020,18,4,1,1,1,81,5,0,3,1,0,0,1,23,21,0,0,0,0,CHN,0,1,1
carrg001,CHN200008020,2,3,1,1,1,21,0,0,3,0,0,0,0,5,4,0,0,0,0,CHN,0,1,0
wasdj001,CHN200008020,1,1,0,1,1,7,0,1,0,0,0,0,0,2,2,0,0,0,0,CHN,0,1,0
myerm001,CHN200008020,3,0,0,0,0,10,0,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
jarvk001,SLN200004210,20,9,0,4,4,119,3,1,6,2,0,0,0,29,28,0,1,0,0,SLN,0,1,1
myerm001,SLN200004210,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,SLN,0,1,0
belis001,SLN200004210,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,SLN,0,1,0
whitg001,SLN200004210,1,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,SLN,0,1,0
jimej001,SLN200004210,5,2,0,0,0,24,0,0,2,0,0,0,0,7,7,0,0,0,0,SLN,0,1,0
