version,2
info,visteam,TOR
info,hometeam,DET
info,site,DET05
info,date,2000/05/26
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,younl901
info,ump1b,klemj901
info,ump2b,katzt901
info,ump3b,mealj901
info,pitches,pitches
info,temp,70
info,winddir,torf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,187
info,attendance,33068
info,wp,frasj001
info,lp,brocd001
info,save,
start,stews002,"Shannon Stewart",0,1,7
start,grebc001,"Craig Grebeck",0,2,4
start,mondr002,"Raul Mondesi",0,3,9
start,delgc001,"Carlos Delgado",0,4,3
start,fullb001,"Brad Fullmer",0,5,10
start,batit001,"Tony Batista",0,6,5
start,fletd001,"Darrin Fletcher",0,7,2
start,cruzj004,"Jose Cruz",0,8,8
start,gonza001,"Alex S. Gonzalez",0,9,6
start,castf001,"Frank Castillo",0,0,1
start,polol001,"Luis Polonia",1,1,10
start,halts001,"Shane Halter",1,2,8
start,jeffg001,"Gregg Jefferies",1,3,3
start,gonzj002,"Juan Gonzalez",1,4,9
start,higgb001,"Bobby Higginson",1,5,7
start,palmd002,"Dean Palmer",1,6,5
start,ausmb001,"Brad Ausmus",1,7,2
start,macij001,"Jose Macias",1,8,4
start,cruzd001,"Deivi Cruz",1,9,6
start,mlicd001,"Dave Mlicki",1,0,1
play,1,0,stews002,02,CSX,S8
play,1,0,grebc001,10,BX,16(1)3/GDP
play,1,0,mondr002,10,BX,S
play,1,0,delgc001,22,BCBFS,K
play,1,1,polol001,12,CBFS,K
play,1,1,halts001,12,CBFC,K/C
play,1,1,jeffg001,22,CCBBX,63/G
play,2,0,fullb001,20,BBX,8/F8
play,2,0,batit001,22,FBBFS,K
play,2,0,fletd001,01,FX,3/G
play,2,1,gonzj002,01,CX,D/78
play,2,1,higgb001,21,BBFX,D7/7S.2-H
play,2,1,palmd002,31,BFBBX,FC6.2-3;B-1
play,2,1,ausmb001,01,CX,6/P6
play,2,1,macij001,12,CSFFFBX,4/P4
play,2,1,cruzd001,30,BBBB,W.1-2
play,2,1,polol001,10,BX,9/F9
play,3,0,cruzj004,21,BCBX,43/G
play,3,0,gonza001,21,CBBX,63/G
play,3,0,stews002,21,CBBX,S7
play,3,0,grebc001,02,SCFX,8/F8
play,3,1,halts001,01,FX,53/G
play,3,1,jeffg001,10,BX,S9
play,3,1,gonzj002,22,CFBBX,4/P4
play,3,1,higgb001,10,BX,9/F9
play,4,0,mondr002,10,BX,9/F9
play,4,0,delgc001,21,CBBX,S9
play,4,0,fullb001,00,X,S9.1-3
play,4,0,batit001,00,X,7/SF.3-H
play,4,0,fletd001,21,FBBX,D9/9S.1-3
play,4,0,cruzj004,30,BBBB,W
play,4,0,gonza001,01,CX,8/F8
play,4,1,palmd002,32,BSBCBX,D9
play,4,1,ausmb001,11,BSX,FC1/SH.2-3;B-1#
play,4,1,macij001,10,BB,SB2
play,4,1,macij001,21,BBFX,3/L3
play,4,1,cruzd001,02,CSX,E6/G
play,4,1,polol001,02,CSC,K/C
play,4,1,halts001,22,BSBSS,K
play,5,0,stews002,01,SX,53/G
play,5,0,grebc001,31,BBBCB,W
play,5,0,mondr002,02,SSS,K
play,5,0,delgc001,11,CBX,7/F7
play,5,1,jeffg001,32,CBFBFBB,W
play,5,1,gonzj002,10,BX,9(B)3(1)/FDP
play,5,1,higgb001,20,BBX,31/G
play,6,0,fullb001,02,SFFS,K
play,6,0,batit001,00,X,8/F8
play,6,0,fletd001,01,CX,8/F8
play,6,1,palmd002,12,BCCC,K/C
play,6,1,ausmb001,22,CBCBX,3/FL
play,6,1,macij001,31,CBBBB,W
play,6,1,cruzd001,00,X,S7/7S.1-3
play,6,1,polol001,10,BX,7/F7
play,7,0,cruzj004,21,BCBX,S8
play,7,0,gonza001,00,X,24/SH.1-2
play,7,0,stews002,21,BBCX,53/G
play,7,0,grebc001,22,BBCCC,K/C
play,7,1,halts001,22,BBCCFS,K
play,7,1,jeffg001,10,BX,43/G
play,7,1,gonzj002,12,CCBX,HR/7
play,7,1,higgb001,30,BBBB,W
