advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,,,0,7,CFBBBFX,nitkc001,1,0,stews002 grounds out. ,stews002,0,G
,10,1,gonza001,,,,1,9,BX,nitkc001,0,0,gonza001 singles. ,gonza001,0,
,00,1,gonza001,,,,2,10,X,nitkc001,1,0,,mondr002,0,F
,00,1,gonza001,,,,3,11,X,nitkc001,1,0,delgc001 grounds out. ,delgc001,0,G
,22,1,polol001,,,,4,5,FBCBX,carpc002,0,0,polol001 singles. ,polol001,1,
polol001 to 2B. ,00,1,beckr002,polol001,,,5,6,X,carpc002,0,0,beckr002 singles. ,beckr002,1,
polol001 to 3B. beckr002 to 2B. ,31,1,jeffg001,beckr002,polol001,,6,11,CBBBB,carpc002,0,0,jeffg001 walks. ,jeffg001,1,
,12,1,jeffg001,beckr002,polol001,,7,16,CSFBX,carpc002,1,0,,gonzj002,1,F
,12,1,jeffg001,beckr002,polol001,,8,20,BCCC,carpc002,1,0,higgb001 strikes out. ,higgb001,1,
polol001 scores. beckr002 scores. jeffg001 to 2B. ,22,1,palmd002,jeffg001,,,9,26,CBSBFX,carpc002,0,2,palmd002 singles. ,palmd002,1,
jeffg001 scores. palmd002 scores. ,32,1,,fickr001,,,10,32,BCCBBX,carpc002,0,2,fickr001 doubles. ,fickr001,1,
,12,1,,fickr001,,,11,36,SBFC,carpc002,1,0,macij001 strikes out. ,macij001,1,
,12,2,batit001,,,,12,15,CFBH,nitkc001,0,0,batit001 hit by pitch. ,batit001,0,
batit001 to 2B. ,10,2,cordm001,batit001,,,13,17,BX,nitkc001,0,0,cordm001 singles. ,cordm001,0,
batit001 scores. cordm001 to 2B. ,22,2,cruzj004,cordm001,,,14,23,CBBFFX,nitkc001,0,1,cruzj004 singles. ,cruzj004,0,
cordm001 scores. cruzj004 scores. ,20,2,,woodc001,,,15,26,BBX,nitkc001,0,2,woodc001 doubles. ,woodc001,0,
woodc001 to 3B. ,22,2,,,woodc001,,16,31,BCCBX,nitkc001,1,0,casta001 grounds out. ,casta001,0,G
,02,2,,,woodc001,,17,34,FSS,nitkc001,1,0,stews002 strikes out. ,stews002,0,
