version,2
info,visteam,KCA
info,hometeam,DET
info,site,DET05
info,date,2000/07/22
info,number,1
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,fostm901
info,ump1b,barkl901
info,ump2b,vanvm901
info,ump3b,herna901
info,pitches,pitches
info,temp,71
info,winddir,tolf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,204
info,attendance,36917
info,wp,witaj001
info,lp,mlicd001
info,save,bottr001
start,damoj001,"Johnny Damon",0,1,8
start,feblc001,"Carlos Febles",0,2,4
start,sweem002,"Mike Sweeney",0,3,3
start,dye-j001,"Jermaine Dye",0,4,9
start,randj002,"Joe Randa",0,5,5
start,quinm001,"Mark Quinn",0,6,7
start,dunwt001,"Todd Dunwoody",0,7,10
start,zaung001,"Gregg Zaun",0,8,2
start,ordal001,"Luis Ordaz",0,9,6
start,witaj001,"Jay Witasick",0,0,1
start,easld001,"Damion Easley",1,1,4
start,beckr002,"Rich Becker",1,2,9
start,higgb001,"Bobby Higginson",1,3,7
start,palmd002,"Dean Palmer",1,4,10
start,cruzd001,"Deivi Cruz",1,5,6
start,encaj001,"Juan Encarnacion",1,6,8
start,ausmb001,"Brad Ausmus",1,7,2
start,halts001,"Shane Halter",1,8,5
start,munse001,"Eric Munson",1,9,3
start,mlicd001,"Dave Mlicki",1,0,1
play,1,0,damoj001,11,FBX,9/F9
play,1,0,feblc001,20,BBX,9/F9
play,1,0,sweem002,00,X,63/G
play,1,1,easld001,00,X,9/L9
play,1,1,beckr002,11,CBX,3/G
play,1,1,higgb001,20,BBX,S9
play,1,1,palmd002,10,BX,S7.1-2
play,1,1,cruzd001,12,BCFS,K23
play,2,0,dye-j001,22,BBCCX,9/F9
play,2,0,randj002,01,CX,43/G
play,2,0,quinm001,10,BH,HP
play,2,0,dunwt001,10,BX,8/F8
play,2,1,encaj001,32,CBBFBFB,W
play,2,1,ausmb001,22,BCBFX,8/F8
play,2,1,halts001,10,BB,SB2
play,2,1,halts001,32,BBSBSC,K/C
play,2,1,munse001,32,BBBFSC,K/C
play,3,0,zaung001,00,X,9/F9
play,3,0,ordal001,32,BBCBCX,4/P4
play,3,0,damoj001,02,FFX,5/P5
play,3,1,easld001,31,BBCBB,W
play,3,1,beckr002,32,SBBCBS,K+SB2
play,3,1,higgb001,21,BBSX,6/P6
play,3,1,palmd002,30,BBBB,W
play,3,1,cruzd001,01,CX,63/G
play,4,0,feblc001,11,BCX,9/F9
play,4,0,sweem002,20,BBX,S7
play,4,0,dye-j001,10,BX,S8.1-2
play,4,0,randj002,30,BBBB,W.2-3;1-2
play,4,0,quinm001,32,BBBCFX,43/G.3-H;2-3;1-2
play,4,0,dunwt001,11,CBX,43/G
play,4,1,encaj001,21,FBBX,S/78
play,4,1,ausmb001,30,BBBB,W.1-2
play,4,1,halts001,00,X,34/SH.2-3;1-2
play,4,1,munse001,01,FX,43/G.3-H;2-3
play,4,1,easld001,12,SBFFX,53/G
play,5,0,zaung001,02,CFX,2/FL
play,5,0,ordal001,10,BX,S8
play,5,0,damoj001,00,X,3/G.1-2
play,5,0,feblc001,01,CX,S7/7S.2-H
play,5,0,sweem002,30,BBBB,W.1-2
play,5,0,dye-j001,02,FCS,K
play,5,1,beckr002,32,BCBBFB,W
play,5,1,higgb001,22,BBCFFX,D9/9D.1-H
play,5,1,palmd002,10,BX,3/FL
play,5,1,cruzd001,11,BFB,SB3
play,5,1,cruzd001,22,BFBFX,S7.3-H
play,5,1,encaj001,00,X,S7.1-2
play,5,1,ausmb001,22,BCSFBB,WP.2-3;1-2
play,5,1,ausmb001,32,BCSFBBFX,4(B)5(3)/LDP
play,6,0,randj002,10,BX,S7
play,6,0,quinm001,00,X,S9.1-2
play,6,0,dunwt001,30,BBBB,W.2-3;1-2
play,6,0,zaung001,00,,NP
sub,pattd001,"Danny Patterson",1,0,1
play,6,0,zaung001,21,BBFX,D/78.3-H;2-H;1-3
play,6,0,ordal001,01,CX,S8.3-H;2-H
play,6,0,damoj001,01,CB,SB2
play,6,0,damoj001,11,CBX,43/G.2-3
play,6,0,feblc001,32,BCBBSS,K
play,6,0,sweem002,31,BBFBB,W
play,6,0,dye-j001,22,CBSBS,K
play,6,1,halts001,11,BCX,63/G
play,6,1,munse001,31,CBBBX,4/L4
play,6,1,easld001,11,BCX,7/F7
play,7,0,randj002,00,,NP
sub,andem002,"Matt Anderson",1,0,1
play,7,0,randj002,31,BBBCB,W
