id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
appik001,0,21,3,3,1,1,109,4,0,2,1,0,0,0,27,24,0,0,0,0
mecij001,0,3,4,0,3,3,26,1,1,2,1,0,0,0,7,7,0,0,0,0
isrij001,0,6,2,2,0,0,32,0,0,2,0,0,0,0,9,7,0,0,0,1
magnm001,0,2,1,0,0,0,8,0,0,1,0,0,0,0,3,3,0,0,0,0
tam-j001,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
blaiw001,1,19,11,0,4,4,109,2,0,6,5,0,0,0,30,30,0,0,0,0
andem002,1,5,0,1,0,0,32,2,0,0,0,0,0,0,6,5,0,0,0,0
nitkc001,1,1,0,1,0,0,14,0,0,0,0,0,0,0,3,2,0,0,0,0
jonet003,1,5,1,1,0,0,29,1,0,1,0,0,0,0,7,6,0,0,0,0
cruzn001,1,3,2,2,1,1,43,2,0,2,0,0,1,0,7,5,0,0,0,0
