id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
alicl001,0,1,4,5,5,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
curtc001,0,2,10,5,4,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
greer001,0,3,7,5,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
palmr001,0,4,3,5,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
grees002,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaplg001,0,5,8,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leder001,0,6,9,5,5,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
haseb001,0,7,2,3,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
cataf001,0,7,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
waszb001,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambm001,0,8,5,4,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
clayr001,0,9,6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
mcmib001,1,1,10,5,2,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
encaj001,1,2,8,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
higgb001,1,3,7,5,4,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
gonzj002,1,4,9,5,4,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0
palmd002,1,5,5,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
clart002,1,6,3,3,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
alled001,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fickr001,1,6,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cruzd001,1,7,6,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
easld001,1,8,4,4,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
ausmb001,1,9,2,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
