id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
beckr002,PIT200006050,1,9,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
fickr001,PIT200006050,2,3,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
encaj001,PIT200006050,3,8,4,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,PIT,0,1,0
higgb001,PIT200006050,4,7,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
palmd002,PIT200006050,5,5,4,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
easld001,PIT200006050,6,4,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cruzd001,PIT200006050,7,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cardj001,PIT200006050,8,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
polol001,PIT200006050,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
mlicd001,PIT200006050,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
macij001,PIT200006050,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
mcdia001,PIT200006050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nitkc001,PIT200006050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
halts001,PIT200006050,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
ausmb001,PIT200006060,1,2,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
fickr001,PIT200006060,2,3,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
encaj001,PIT200006060,3,8,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gonzj002,PIT200006060,4,9,4,4,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
palmd002,PIT200006060,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
higgb001,PIT200006060,6,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
easld001,PIT200006060,7,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
brocd001,PIT200006060,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
magew001,PIT200006060,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
jonet003,PIT200006060,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cruzd001,PIT200006060,8,6,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
blaiw001,PIT200006060,9,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nitkc001,PIT200006060,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
pattd001,PIT200006060,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
halts001,PIT200006060,9,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
easld001,PIT200006070,1,4,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cruzd001,PIT200006070,2,6,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
