id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
vinaf001,0,1,4,5,4,2,1,1,3,1,1,0,0,1,0,0,1,0,0,0,0,0
rente001,0,2,6,5,4,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
edmoj001,0,3,8,5,5,2,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0
clarw001,0,4,3,5,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
lankr001,0,5,7,4,3,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
hernc001,0,6,2,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drewj001,0,7,9,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
polap001,0,8,5,3,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
paquc001,0,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stepg001,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reamb001,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davie001,0,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jamem001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcgwm001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morrm001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vered001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
furcr001,1,1,6,4,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jonea002,1,2,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jonec004,1,3,5,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
galaa001,1,4,3,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
lopej001,1,5,2,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
bakop001,1,5,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jordb001,1,6,9,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sandr002,1,7,7,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mulht001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ligtk001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remlm001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joynw001,1,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashba002,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lockk001,1,8,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millk004,1,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bonib001,1,9,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
