advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,01,1,,,,,0,2,CX,millk004,0,1,vinaf001 homers. ,vinaf001,0,
,01,1,,,,,1,4,SX,millk004,1,0,,rente001,0,F
,11,1,,,,,2,7,CBX,millk004,1,0,,edmoj001,0,F
,12,1,,,,,3,12,BCCFS,millk004,1,0,clarw001 strikes out. ,clarw001,0,
,30,1,furcr001,,,,4,4,BBBB,stepg001,0,0,furcr001 walks. ,furcr001,1,
,00,1,furcr001,,,,5,5,X,stepg001,1,0,,jonea002,1,
,21,1,,furcr001,,jonec004,6,9,BCBB,stepg001,0,0,furcr001 steals 2B. ,jonec004,1,
furcr001 to 3B. ,31,1,,,furcr001,,7,14,BCBBX,stepg001,1,0,,jonec004,1,F
furcr001 scores. ,21,1,galaa001,,,,8,18,BCBX,stepg001,0,1,galaa001 singles. ,galaa001,1,
galaa001 out. ,00,1,lopej001,,,,9,19,X,stepg001,1,0,lopej001 reaches on fielder's choice. ,lopej001,1,
,02,2,,,,,10,15,CFC,millk004,1,0,lankr001 strikes out. ,lankr001,0,
,21,2,,,,,11,19,SBBX,millk004,1,0,,hernc001,0,P
,32,2,drewj001,,,,12,25,BBFCBB,millk004,0,0,drewj001 walks. ,drewj001,0,
,01,2,,drewj001,,polap001,13,27,FC,millk004,0,0,drewj001 steals 2B. ,polap001,0,
drewj001 to 3B. ,02,2,polap001,,drewj001,,14,30,FCX,millk004,0,0,polap001 reaches on error. ,polap001,0,G
,21,2,polap001,,drewj001,,15,34,CBBX,millk004,1,0,,stepg001,0,F
,01,2,,,,,16,21,CX,stepg001,1,0,,jordb001,1,F
,30,2,sandr002,,,,17,25,BBBB,stepg001,0,0,sandr002 walks. ,sandr002,1,
,22,2,sandr002,,,,18,31,BBCFFX,stepg001,1,0,,lockk001,1,P
,22,2,sandr002,,,,19,36,BCBFC,stepg001,1,0,millk004 strikes out. ,millk004,1,
,00,3,,,,,20,35,X,millk004,1,0,vinaf001 grounds out. ,vinaf001,0,G
,22,3,rente001,,,,21,40,CCBBX,millk004,0,0,rente001 singles. ,rente001,0,
rente001 scores. ,20,3,,,,,22,43,BBX,millk004,0,2,edmoj001 homers. ,edmoj001,0,
,00,3,,,,,23,44,X,millk004,1,0,,clarw001,0,P
,32,3,,,,,24,50,BCSBBC,millk004,1,0,lankr001 strikes out. ,lankr001,0,
,21,3,,,,,25,40,BBCX,stepg001,1,0,,furcr001,1,F
,22,3,,,,,26,45,BBSCX,stepg001,1,0,,jonea002,1,
,00,3,jonec004,,,,27,46,X,stepg001,0,0,jonec004 singles. ,jonec004,1,
,00,3,jonec004,,,,28,47,X,stepg001,1,0,,galaa001,1,L
,22,4,,,,,29,58,CCBFBFFX,millk004,1,0,hernc001 grounds out. ,hernc001,0,G
,32,4,,,,,30,64,CBBBFX,millk004,1,0,,drewj001,0,G
,01,4,,,,,31,66,CX,millk004,1,0,,polap001,0,G
,31,4,lopej001,,,,32,52,CBBBX,stepg001,0,0,lopej001 singles. ,lopej001,1,
,32,4,,,,,33,58,SBCBBS,stepg001,2,0,jordb001 strikes out. lopej001 caught stealing. ,jordb001,1,
,12,4,,,,,35,4,FCBC,reamb001,1,0,sandr002 strikes out. ,sandr002,1,
,00,5,,,,,36,67,X,millk004,1,0,,reamb001,0,F
,32,5,vinaf001,,,,37,74,BBCCBFB,millk004,0,0,vinaf001 walks. ,vinaf001,0,
,01,5,,,,rente001,38,76,SC,millk004,1,0,vinaf001 caught stealing. ,rente001,0,
,32,5,rente001,,,,39,82,SCBBBB,millk004,0,0,rente001 walks. ,rente001,0,
,00,5,,rente001,,edmoj001,40,83,B,millk004,0,0,rente001 steals 2B. ,edmoj001,0,
rente001 to 3B. ,20,5,,,rente001,edmoj001,41,86,BBB,millk004,0,0,Balk. ,edmoj001,0,
rente001 scores. ,32,5,,edmoj001,,,42,92,BBBCCX,millk004,0,1,edmoj001 hits ground rule double. ,edmoj001,0,
,22,5,,edmoj001,,,45,6,BCCFBS,mulht001,1,0,clarw001 strikes out. ,clarw001,0,
,31,5,,,,,46,9,BBBCX,reamb001,1,0,,lockk001,1,P
,31,5,bonib001,,,,47,14,BCBBB,reamb001,0,0,bonib001 walks. ,bonib001,1,
bonib001 to 2B. ,32,5,furcr001,bonib001,,,48,25,CBBSFFBFFFB,reamb001,0,0,furcr001 walks. ,furcr001,1,
,11,5,,bonib001,,,49,28,CBX,reamb001,2,0,Double Play. ,jonea002,1,
,32,6,lankr001,,,,50,14,CBBCFFBB,mulht001,0,0,lankr001 walks. ,lankr001,0,
lankr001 to 2B. ,01,6,hernc001,lankr001,,,51,16,CX,mulht001,0,0,hernc001 singles. ,hernc001,0,
lankr001 to 3B. hernc001 to 2B. ,00,6,,hernc001,lankr001,,52,17,X,mulht001,1,0,Sacrifice bunt by drewj001.,drewj001,0,G
lankr001 scores. hernc001 to 3B. polap001 to 1B. ,22,6,polap001,,hernc001,,54,6,BBCSFX,ligtk001,0,1,polap001 hits into a fielder's choice. ,polap001,0,G
,01,6,,polap001,hernc001,davie001,56,8,SS,ligtk001,0,0,polap001 steals 2B. ,davie001,0,
,02,6,,polap001,hernc001,,57,11,SSS,ligtk001,1,0,davie001 strikes out. ,davie001,0,
hernc001 scores. polap001 scores. ,00,6,vinaf001,,,,59,1,X,remlm001,0,2,vinaf001 singles. ,vinaf001,0,G
,12,6,vinaf001,,,,60,5,SBSX,remlm001,1,0,,rente001,0,P
,02,6,,,,,62,3,CFS,jamem001,1,0,jonec004 strikes out. ,jonec004,1,
,01,6,,,,,63,5,FX,jamem001,1,0,galaa001 grounds out. ,galaa001,1,G
,01,6,,,,,64,7,CX,jamem001,1,0,lopej001 grounds out. ,lopej001,1,G
,12,7,,,,,66,9,SFBC,remlm001,1,0,edmoj001 strikes out. ,edmoj001,0,
,32,7,clarw001,,,,67,20,BCFFBFBFFFX,remlm001,0,0,clarw001 singles. ,clarw001,0,P
clarw001 to 2B. ,11,7,lankr001,clarw001,,,68,23,BSX,remlm001,0,0,lankr001 singles. ,lankr001,0,
,21,7,lankr001,clarw001,,,69,27,BBFX,remlm001,1,0,,hernc001,0,F
,20,7,lankr001,clarw001,,,70,30,BBX,remlm001,1,0,drewj001 grounds out. ,drewj001,0,G
,21,7,,,,,72,11,BCBX,jamem001,1,0,,jordb001,1,F
