id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
hendr001,0,1,7,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
javis001,0,1,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
camem001,0,2,8,5,4,2,0,2,1,0,2,0,0,0,1,1,0,0,1,0,0,0
rodra001,0,3,6,5,5,3,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0
marte001,0,4,10,5,5,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
olerj001,0,5,3,5,5,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0
buhnj001,0,6,9,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibanr001,0,6,12,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
belld002,0,7,5,5,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
olivj001,0,8,2,2,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
marta001,0,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilsd001,0,8,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mclem001,0,9,4,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
durhr001,1,1,4,5,3,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0
valej003,1,2,6,5,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
thomf001,1,3,10,5,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ordom001,1,4,9,5,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
lee-c001,1,5,7,5,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
konep001,1,6,3,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perrh001,1,7,5,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
singc001,1,8,8,5,5,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
johnc002,1,9,2,4,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
paulj001,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
