id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
garcf002,0,10,6,3,4,4,85,2,1,2,1,2,1,0,19,16,0,0,0,0
tomkb001,0,8,1,1,0,0,38,0,0,1,0,0,1,0,9,8,0,0,0,0
panij001,0,6,1,1,0,0,39,2,0,1,0,0,0,0,8,7,0,0,0,0
rhoda001,0,2,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,1,0,0
mesaj001,0,1,0,1,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,1
sasak001,0,3,1,0,0,0,18,2,0,0,1,0,0,0,4,4,0,0,0,0
parqj001,1,18,6,1,3,3,96,2,1,5,0,0,0,1,23,21,0,0,0,0
howrb001,1,2,1,2,1,1,23,1,0,0,1,0,0,0,5,3,0,0,0,0
bradc001,1,2,2,0,0,0,17,0,0,2,0,0,0,0,3,3,0,0,0,0
wunsk001,1,1,1,0,0,0,5,0,0,1,0,0,0,0,2,2,0,0,0,0
simab001,1,1,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0
foulk001,1,6,3,1,3,3,38,2,2,1,0,0,0,0,10,9,0,0,0,0
