advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,22,1,hendr001,,,,0,7,BCCFBFX,parqj001,0,0,hendr001 singles. ,hendr001,0,
hendr001 to 2B. ,00,1,camem001,hendr001,,,1,8,H,parqj001,0,0,camem001 hit by pitch. ,camem001,0,
hendr001 scores. camem001 to 3B. ,31,1,rodra001,,camem001,,2,13,BBBCX,parqj001,0,1,rodra001 singles. ,rodra001,0,
,11,1,rodra001,,camem001,,3,16,CBX,parqj001,1,0,,marte001,0,L
camem001 scores. rodra001 out. ,22,1,olerj001,,,,4,22,CBBFFX,parqj001,1,1,olerj001 reaches on fielder's choice. ,olerj001,0,
olerj001 to 2B. ,31,1,buhnj001,olerj001,,,5,27,CBBBB,parqj001,0,0,buhnj001 walks. ,buhnj001,0,
,21,1,buhnj001,olerj001,,,6,31,CBBX,parqj001,1,0,,belld002,0,P
,22,1,,,,,7,5,BBCCS,garcf002,1,0,durhr001 strikes out. ,durhr001,1,
,11,1,,valej003,,,8,8,CBX,garcf002,0,0,valej003 doubles. ,valej003,1,
,21,1,,valej003,,,9,12,BBFX,garcf002,1,0,,thomf001,1,P
,12,1,,,valej003,ordom001,10,16,FBFB,garcf002,0,0,valej003 steals 3B. ,ordom001,1,
,22,1,,,valej003,,11,21,FBFBX,garcf002,1,0,ordom001 grounds out. ,ordom001,1,G
,10,2,,,,,12,33,BX,parqj001,0,1,olivj001 homers. ,olivj001,0,
,22,2,mclem001,,,,13,38,BCFBX,parqj001,0,0,mclem001 singles. ,mclem001,0,
,20,2,mclem001,,,,14,41,BBX,parqj001,1,0,,hendr001,0,P
,02,2,,,,,15,45,CCFX,parqj001,2,0,Double Play. ,camem001,0,
,22,2,,,,,16,26,BFBFX,garcf002,1,0,,lee-c001,1,F
,32,2,konep001,,,,17,33,BCBSFBB,garcf002,0,0,konep001 walks. ,konep001,1,
konep001 to 2B. ,11,2,,konep001,,,18,36,BCX,garcf002,1,0,perrh001 grounds out. ,perrh001,1,G
konep001 scores. ,21,2,,,singc001,,19,40,FBBX,garcf002,0,1,singc001 triples. ,singc001,1,
singc001 scores. ,01,2,,,,johnc002,20,42,SB,garcf002,0,1,Wild Pitch. ,johnc002,1,
,12,2,,,,,21,46,SBFX,garcf002,1,0,johnc002 grounds out. ,johnc002,1,G
,32,3,rodra001,,,,22,52,CBCBBFX,parqj001,0,0,rodra001 singles. ,rodra001,0,
rodra001 to 2B. ,21,3,marte001,rodra001,,,23,56,CBBX,parqj001,0,0,marte001 singles. ,marte001,0,
,00,3,marte001,,,olerj001,24,57,B,parqj001,1,0,rodra001 caught stealing. ,olerj001,0,
,10,3,,,,,25,59,BX,parqj001,2,0,Double Play. ,olerj001,0,
,21,3,,,,,26,50,BLBX,garcf002,0,1,durhr001 homers. ,durhr001,1,
,32,3,valej003,,,,27,57,CFBBBFB,garcf002,0,0,valej003 walks. ,valej003,1,
,21,3,valej003,,,,28,61,BBSX,garcf002,1,0,,thomf001,1,
valej003 scores. ,01,3,,,ordom001,,29,63,FX,garcf002,0,1,ordom001 triples. ,ordom001,1,
,22,3,,,ordom001,,30,69,CFBFBS,garcf002,1,0,lee-c001 strikes out. ,lee-c001,1,
,00,3,,,ordom001,,31,70,X,garcf002,1,0,,konep001,1,F
,11,4,,,,,32,62,CBX,parqj001,1,0,,buhnj001,0,F
,02,4,,,,,33,65,FSC,parqj001,1,0,belld002 strikes out. ,belld002,0,
,31,4,,,,,34,70,BBSBX,parqj001,1,0,,olivj001,0,P
,22,4,perrh001,,,,35,76,SFFBBX,garcf002,0,0,perrh001 singles. ,perrh001,1,
perrh001 out. ,01,4,singc001,,,,36,78,CX,garcf002,1,0,singc001 reaches on fielder's choice. ,singc001,1,
