advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,12,1,,,,,0,6,CBCFFX,herno001,1,0,,longt002,0,G
,22,1,,,,,1,11,BCBFX,herno001,1,0,,velar001,0,L
,22,1,,,,,2,16,BFBFX,herno001,1,0,giamj001 grounds out. ,giamj001,0,G
,11,1,,,,,3,3,CBX,hudst001,1,0,jeted001 grounds out. ,jeted001,1,G
,02,1,,,,,4,6,CSS,hudst001,1,0,posaj001 strikes out. ,posaj001,1,
,32,1,,,,,5,12,SBSBBX,hudst001,1,0,,justd001,1,F
,21,2,,,,,6,20,CBBX,herno001,1,0,,chave001,0,F
,31,2,tejam001,,,,7,25,CBBBB,herno001,0,0,tejam001 walks. ,tejam001,0,
,12,2,tejam001,,,,8,30,BSFFX,herno001,1,0,,staim001,0,
tejam001 to 2B. ,32,2,grieb001,tejam001,,,9,36,BBSBCB,herno001,0,0,grieb001 walks. ,grieb001,0,
tejam001 scores. grieb001 to 3B. ,22,2,giamj002,,grieb001,,10,41,BCFBX,herno001,0,1,giamj002 singles. ,giamj002,0,
,02,2,giamj002,,grieb001,,11,44,FFS,herno001,1,0,hernr002 strikes out. ,hernr002,0,
,21,2,,willb002,,,12,16,CBBX,hudst001,0,0,willb002 doubles. ,willb002,1,
,12,2,,willb002,,,13,20,FBFS,hudst001,1,0,martt002 strikes out. ,martt002,1,
willb002 to 3B. ,02,2,oneip001,,willb002,,14,23,SFX,hudst001,0,0,oneip001 singles. ,oneip001,1,G
willb002 scores. oneip001 to 2B. hillg001 to 1B. ,11,2,hillg001,oneip001,,,15,26,BSX,hudst001,0,1,hillg001 hits into a fielder's choice. ,hillg001,1,
,01,2,hillg001,oneip001,,,16,28,CX,hudst001,1,0,,sojol001,1,F
oneip001 to 3B. hillg001 to 2B. ,30,2,bross001,hillg001,oneip001,,17,32,BBBB,hudst001,0,0,bross001 walks. ,bross001,1,
oneip001 scores. hillg001 to 3B. bross001 to 2B. ,11,2,jeted001,bross001,hillg001,,18,35,CBX,hudst001,0,1,jeted001 singles. ,jeted001,1,
,02,2,jeted001,bross001,hillg001,,19,38,SFC,hudst001,1,0,posaj001 strikes out. ,posaj001,1,
,01,3,longt002,,,,20,46,CX,herno001,0,0,longt002 singles. ,longt002,0,
,21,3,longt002,,,,21,50,BBCX,herno001,1,0,,velar001,0,F
longt002 to 2B. ,32,3,giamj001,longt002,,,22,56,BFFBBB,herno001,0,0,giamj001 walks. ,giamj001,0,
,11,3,giamj001,longt002,,,23,59,CBX,herno001,1,0,,chave001,0,
,32,3,giamj001,longt002,,,24,65,CBBFBX,herno001,1,0,,tejam001,0,
,21,3,justd001,,,,25,42,CBBX,hudst001,0,0,justd001 singles. ,justd001,1,G
,00,3,justd001,,,,26,43,X,hudst001,1,0,,willb002,1,F
justd001 to 2B. ,10,3,martt002,justd001,,,27,45,BX,hudst001,0,0,martt002 reaches on error. ,martt002,1,
,22,3,martt002,justd001,,,28,50,CFBBS,hudst001,1,0,oneip001 strikes out. ,oneip001,1,
justd001 to 3B. martt002 out. ,22,3,hillg001,,justd001,,29,55,SFBBX,hudst001,1,0,hillg001 reaches on fielder's choice. ,hillg001,1,
,12,4,,,,,30,70,BCCFX,herno001,1,0,,staim001,0,
,31,4,grieb001,,,,31,75,BBCBB,herno001,0,0,grieb001 walks. ,grieb001,0,
,32,4,grieb001,,,,32,81,BCFBBX,herno001,1,0,,giamj002,0,F
,12,4,grieb001,,,,33,85,BSFS,herno001,1,0,hernr002 strikes out. ,hernr002,0,
,30,4,sojol001,,,,34,59,BBBB,hudst001,0,0,sojol001 walks. ,sojol001,1,
sojol001 to 3B. ,01,4,bross001,,sojol001,,35,61,LX,hudst001,0,0,bross001 reaches on error. ,bross001,1,
sojol001 scores. bross001 out. ,20,4,jeted001,,,,36,64,BBX,hudst001,1,1,jeted001 reaches on fielder's choice. ,jeted001,1,
,22,4,,,,posaj001,37,69,FBSBB,hudst001,1,0,jeted001 caught stealing. ,posaj001,1,
,32,4,,,,,38,76,FBSBBFX,hudst001,1,0,,posaj001,1,F
,21,5,,,,,39,89,BBCX,herno001,0,1,longt002 homers. ,longt002,0,
,32,5,,,,,40,100,BSFBFFBFFFX,herno001,1,0,,velar001,0,L
,32,5,giamj001,,,,41,107,CBSBBFB,herno001,0,0,giamj001 walks. ,giamj001,0,
,00,5,,,,,42,108,X,herno001,2,0,Double Play. ,chave001,0,
,12,5,,,,,43,80,BSFX,hudst001,1,0,justd001 grounds out. ,justd001,1,G
,22,5,,,,,44,85,CBBSX,hudst001,1,0,willb002 grounds out. ,willb002,1,G
,30,5,martt002,,,,45,89,BBBB,hudst001,0,0,martt002 walks. ,martt002,1,
,02,5,martt002,,,,46,92,SCX,hudst001,1,0,,oneip001,1,F
,00,6,,,,,47,109,X,herno001,1,0,,tejam001,0,F
,12,6,,,,,48,113,CFBS,herno001,1,0,staim001 strikes out. ,staim001,0,
,31,6,,,,,49,118,CBBBX,herno001,1,0,,grieb001,0,F
,11,6,,,,,50,95,BFX,hudst001,1,0,hillg001 grounds out. ,hillg001,1,G
,20,6,,,,,51,98,BBX,hudst001,1,0,,sojol001,1,L
,11,6,,,,,52,101,BFX,hudst001,1,0,,bross001,1,L
,12,7,,,,,53,122,BCFS,herno001,1,0,giamj002 strikes out. ,giamj002,0,
,01,7,hernr002,,,,54,124,FX,herno001,0,0,hernr002 singles. ,hernr002,0,
,22,7,,,,,55,130,CFFBBX,herno001,2,0,Double Play. ,longt002,0,
,10,7,,,,,56,103,BX,hudst001,1,0,jeted001 grounds out. ,jeted001,1,G
,00,7,,,,,57,104,X,hudst001,1,0,posaj001 grounds out. ,posaj001,1,G
,02,7,,,,,58,107,FCS,hudst001,1,0,justd001 strikes out. ,justd001,1,
,21,8,,,,,60,4,BCBX,rivem002,1,0,,velar001,0,L
,11,8,,,,,61,7,CBX,rivem002,1,0,giamj001 grounds out. ,giamj001,0,G
,02,8,,,,,62,10,SCS,rivem002,1,0,chave001 strikes out. ,chave001,0,
,22,8,,,,,63,112,CBBCX,hudst001,1,0,,willb002,1,L
,00,8,martt002,,,,64,113,X,hudst001,0,0,martt002 singles. ,martt002,1,
martt002 to 2B. ,22,8,,martt002,,,65,118,BFBFX,hudst001,1,0,oneip001 grounds out. ,oneip001,1,G
,32,8,hillg001,martt002,,,66,124,BSSBBB,hudst001,0,0,hillg001 walks. ,hillg001,1,
martt002 scores. knobc001 to 3B. sojol001 out. ,11,8,,,knobc001,,68,127,FBX,hudst001,1,1,sojol001 singles. ,sojol001,1,
,11,9,,,,,69,13,CBX,rivem002,1,0,,tejam001,0,F
,00,9,,,,,70,14,X,rivem002,1,0,,staim001,0,P
,21,9,grieb001,,,,71,18,BBFX,rivem002,0,0,grieb001 reaches on error. ,grieb001,0,G
,22,9,grieb001,,,,72,23,BFFBX,rivem002,1,0,,giamj002,0,G
