id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
benam001,0,1,8,7,6,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
muelb001,0,2,5,7,6,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
bondb001,0,3,7,7,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
kentj001,0,4,4,6,6,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
burke001,0,5,9,6,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fulta001,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowj001,0,6,3,6,4,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
aurir001,0,7,6,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nen-r001,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riosa001,0,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mirad001,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estab001,0,8,2,4,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
cresf001,0,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodrf002,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murrc001,0,8,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ortir001,0,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
embra001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
henrd002,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martr003,0,9,6,3,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
peret004,1,1,9,6,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
alfoe001,1,2,4,6,5,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
piazm001,1,3,2,5,4,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
mcewj001,1,3,12,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ventr001,1,4,5,6,5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
agbab001,1,5,7,6,6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
paytj001,1,6,8,5,5,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
zeilt001,1,7,3,5,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
whitr002,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bordm001,1,8,6,4,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
benia001,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pratt001,1,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reedr002,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hamid001,1,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cookd001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wendt001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harrl001,1,9,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
franj001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbok002,1,9,6,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
