id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
ortir001,0,16,2,4,1,1,95,4,0,2,0,0,0,0,21,17,0,0,0,1
embra001,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
henrd002,0,5,0,0,1,1,18,1,0,0,0,0,0,1,6,5,0,0,0,0
nen-r001,0,4,2,1,0,0,34,3,0,1,1,0,0,0,7,6,0,0,0,0
rodrf002,0,6,2,1,0,0,47,2,0,2,0,0,0,0,9,8,0,0,0,0
fulta001,0,4,3,0,1,1,19,0,1,2,0,0,0,0,6,6,0,0,0,0
reedr002,1,18,7,2,2,2,105,6,0,6,1,0,0,0,27,25,0,0,0,1
cookd001,1,2,0,1,0,0,12,0,0,0,0,0,0,0,3,1,0,1,0,0
wendt001,1,4,0,1,0,0,24,3,0,0,0,0,0,0,5,4,0,0,0,0
franj001,1,3,1,0,0,0,16,1,0,1,0,0,0,0,4,4,0,0,0,0
benia001,1,6,1,1,0,0,40,3,0,1,0,0,0,0,8,7,0,0,0,1
whitr002,1,6,2,2,0,0,40,4,0,2,0,0,0,0,10,8,0,0,0,0
