id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
petta001,0,11,10,2,5,5,88,4,0,9,1,0,0,0,23,19,0,0,2,0
stanm003,0,6,1,0,0,0,33,3,0,1,0,0,0,0,7,7,0,0,0,0
nelsj001,0,4,0,0,0,0,18,2,0,0,0,0,0,0,4,4,0,0,0,0
herno001,0,1,1,0,0,0,8,1,0,0,1,0,0,0,2,2,0,0,0,0
rivem002,0,5,1,0,0,0,17,1,0,1,0,0,0,0,6,6,0,0,0,0
hereg001,1,1,4,2,6,6,23,0,0,3,1,0,0,0,7,4,0,0,1,0
tam-j001,1,2,2,0,0,0,8,0,0,2,0,0,0,0,4,3,0,0,1,0
appik001,1,12,4,1,1,1,69,6,1,3,0,0,0,0,17,16,0,0,0,0
mecij001,1,9,1,0,0,0,42,1,0,0,1,0,0,0,10,10,0,0,0,0
isrij001,1,3,1,0,0,0,23,1,0,0,1,0,0,0,4,4,0,0,0,0
