advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,00,1,knobc001,,,,0,1,X,hereg001,0,0,knobc001 singles. ,knobc001,0,
knobc001 to 2B. ,31,1,jeted001,knobc001,,,1,6,BBBCB,hereg001,0,0,jeted001 walks. ,jeted001,0,
knobc001 to 3B. jeted001 to 2B. ,11,1,oneip001,jeted001,knobc001,,2,9,BCX,hereg001,0,0,oneip001 singles. ,oneip001,0,G
knobc001 scores. ,11,1,oneip001,jeted001,,,3,12,BSX,hereg001,1,1,willb002 hits sacrifice fly. ,willb002,0,
jeted001 to 3B. oneip001 to 2B. ,31,1,justd001,oneip001,jeted001,,4,17,BBBCB,hereg001,0,0,justd001 walks. ,justd001,0,
jeted001 scores. oneip001 scores. justd001 scores. ,12,1,,martt002,,,5,21,CBFX,hereg001,0,3,martt002 doubles. ,martt002,0,F
martt002 to 3B. ,10,1,posaj001,,martt002,,6,23,BX,hereg001,0,0,posaj001 singles. ,posaj001,0,
martt002 scores. ,00,1,posaj001,,,,8,1,X,tam-j001,1,1,sojol001 hits sacrifice fly. ,sojol001,0,
posaj001 to 2B. ,01,1,bross001,posaj001,,,9,3,CX,tam-j001,0,0,bross001 singles. ,bross001,0,
posaj001 scores. bross001 to 3B. ,01,1,knobc001,,bross001,,10,5,CX,tam-j001,0,1,knobc001 singles. ,knobc001,0,
,00,1,,knobc001,bross001,jeted001,11,6,B,tam-j001,0,0,knobc001 steals 2B. ,jeted001,0,
,10,1,,knobc001,bross001,,12,8,BX,tam-j001,1,0,,jeted001,0,F
,02,1,,,,,13,3,CFX,petta001,1,0,longt002 grounds out. ,longt002,1,G
,31,1,velar001,,,,14,8,CBBBX,petta001,0,0,velar001 singles. ,velar001,1,G
,02,1,velar001,,,,15,11,SFS,petta001,1,0,giamj001 strikes out. ,giamj001,1,
velar001 to 3B. ,12,1,saeno001,,velar001,,16,16,BCSFX,petta001,0,0,saeno001 singles. ,saeno001,1,
,20,1,saeno001,,velar001,,17,19,BBX,petta001,1,0,tejam001 grounds out. ,tejam001,1,G
,12,2,,,,,19,5,FBFFS,appik001,1,0,oneip001 strikes out. ,oneip001,0,
,00,2,,,,,20,6,X,appik001,1,0,,willb002,0,F
,30,2,justd001,,,,21,10,BBBB,appik001,0,0,justd001 walks. ,justd001,0,
justd001 to 2B. ,21,2,martt002,justd001,,,22,14,BFBX,appik001,0,0,martt002 singles. ,martt002,0,
,22,2,martt002,justd001,,,23,20,CBBSFS,appik001,1,0,posaj001 strikes out. ,posaj001,0,
,02,2,,,,,24,22,CFS,petta001,1,0,chave001 strikes out. ,chave001,1,
,22,2,piata001,,,,25,28,CBFFBX,petta001,0,0,piata001 singles. ,piata001,1,
,32,2,piata001,,,,26,34,CCBBBS,petta001,1,0,grieb001 strikes out. ,grieb001,1,
piata001 to 2B. ,11,2,hernr002,piata001,,,27,37,BSX,petta001,0,0,hernr002 singles. ,hernr002,1,G
piata001 to 3B. hernr002 to 2B. ,32,2,longt002,hernr002,piata001,,28,43,CBBFBB,petta001,0,0,longt002 walks. ,longt002,1,
piata001 scores. hernr002 scores. longt002 to 2B. ,32,2,velar001,longt002,,,29,49,BSSBBX,petta001,0,2,velar001 singles. ,velar001,1,G
,10,2,velar001,longt002,,,30,51,BX,petta001,1,0,,giamj001,1,P
,00,3,,,,,31,21,X,appik001,1,0,,sojol001,0,F
,10,3,bross001,,,,32,23,BX,appik001,0,0,bross001 singles. ,bross001,0,
,21,3,bross001,,,,33,28,B1CBX,appik001,1,0,,knobc001,0,
bross001 to 3B. ,01,3,jeted001,,bross001,,34,30,CX,appik001,0,0,jeted001 singles. ,jeted001,0,
,11,3,jeted001,,bross001,,35,33,BFX,appik001,1,0,,oneip001,0,F
,11,3,,,,,36,54,BCX,petta001,1,0,,saeno001,1,F
,01,3,tejam001,,,,37,56,CX,petta001,0,0,tejam001 singles. ,tejam001,1,
tejam001 scores. ,21,3,,chave001,,,38,60,BCBX,petta001,0,1,chave001 doubles. ,chave001,1,
,00,3,,chave001,,,39,61,X,petta001,1,0,,piata001,1,F
,12,3,,chave001,,,40,66,CSBFS,petta001,1,0,grieb001 strikes out. ,grieb001,1,
,32,4,,,,,41,40,CCBBBFS,appik001,1,0,willb002 strikes out. ,willb002,0,
,31,4,,,,,42,45,BBBFX,appik001,0,1,justd001 homers. ,justd001,0,
,32,4,,,,,43,52,BBCBFFS,appik001,1,0,martt002 strikes out. ,martt002,0,
,00,4,,,,,44,53,X,appik001,1,0,,posaj001,0,P
,10,4,hernr002,,,,45,68,BX,petta001,0,0,hernr002 singles. ,hernr002,1,
hernr002 to 2B. ,32,4,longt002,hernr002,,,46,75,CBBFFBB,petta001,0,0,longt002 walks. ,longt002,1,
hernr002 to 3B. longt002 to 2B. ,12,4,velar001,longt002,hernr002,,47,79,FCBX,petta001,0,0,velar001 singles. ,velar001,1,
hernr002 scores. longt002 to 3B. ,32,4,velar001,,longt002,,48,86,BBFBSFX,petta001,1,1,giamj001 hits sacrifice fly. ,giamj001,1,
longt002 scores. ,00,4,velar001,,,,49,87,X,petta001,1,1,saeno001 hits sacrifice fly. ,saeno001,1,
velar001 to 2B. ,00,4,tejam001,velar001,,,50,88,X,petta001,0,0,tejam001 singles. ,tejam001,1,
,22,4,tejam001,velar001,,,52,5,BSBFX,stanm003,1,0,chave001 grounds out. ,chave001,1,G
,22,5,,,,,53,58,CBCBX,appik001,1,0,,sojol001,0,
,32,5,,,,,54,64,BBBCSC,appik001,1,0,bross001 strikes out. ,bross001,0,
,22,5,,,,,55,69,BBCFC,appik001,1,0,knobc001 strikes out. ,knobc001,0,
,32,5,,,,,56,11,BBCBFS,stanm003,1,0,piata001 strikes out. ,piata001,1,
,12,5,,,,,57,16,CCBFS,stanm003,1,0,grieb001 strikes out. ,grieb001,1,
,12,5,,,,,58,20,BSSX,stanm003,1,0,hernr002 grounds out. ,hernr002,1,G
,22,6,,,,,60,8,CFBFFBFX,mecij001,1,0,jeted001 grounds out. ,jeted001,0,G
,11,6,,,,,61,11,CBX,mecij001,1,0,oneip001 grounds out. ,oneip001,0,G
,00,6,,,,,62,12,X,mecij001,1,0,willb002 grounds out. ,willb002,0,G
,32,6,,,,,63,27,CBCBBFS,stanm003,1,0,longt002 strikes out. ,longt002,1,
,11,6,,,,,64,30,SBX,stanm003,1,0,velar001 grounds out. ,velar001,1,G
,11,6,giamj001,,,,65,33,BCX,stanm003,0,0,giamj001 singles. ,giamj001,1,
,22,6,giamj001,,,,67,5,BCBCS,nelsj001,1,0,saeno001 strikes out. ,saeno001,1,
