id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
agbab001,0,1,7,4,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
cookd001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitr002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcewj001,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harrl001,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paytj001,0,2,8,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
alfoe001,0,3,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
piazm001,0,4,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ventr001,0,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeilt001,0,6,3,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
belld001,0,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hamid001,0,7,9,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ruscg001,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bordm001,0,8,6,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
hampm001,0,9,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
wendt001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peret004,0,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benam001,1,1,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
davir002,1,1,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nen-r001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muelb001,1,2,5,5,5,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
bondb001,1,3,7,4,3,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
kentj001,1,4,4,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
burke001,1,5,9,4,3,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0
aurir001,1,6,6,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
snowj001,1,7,3,4,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
estab001,1,8,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hernl003,1,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rodrf002,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cresf001,1,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
murrc001,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
