id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
maddg002,0,12,9,3,7,5,75,2,1,8,0,0,0,0,25,21,0,1,0,2
remlm001,0,3,2,0,0,0,22,1,0,2,0,0,0,0,5,5,0,0,0,0
mulht001,0,6,0,1,0,0,34,0,0,0,0,0,0,0,7,6,0,0,0,0
rockj001,0,2,0,1,0,0,19,0,0,0,0,0,0,0,3,2,0,0,0,0
ligtk001,0,1,0,1,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,1
ankir001,1,8,4,6,4,4,83,3,0,3,1,0,4,0,16,10,0,0,0,0
jamem001,1,7,1,1,0,0,32,0,0,0,1,0,0,0,8,7,0,0,0,0
timlm001,1,3,2,1,0,0,21,1,0,1,1,0,0,0,6,5,0,0,0,0
reamb001,1,6,0,1,0,0,19,1,0,0,0,0,0,0,7,6,0,0,0,0
vered001,1,3,1,0,1,0,20,2,0,1,0,0,0,1,6,5,0,0,0,0
