id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
furcr001,0,1,6,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonea002,0,2,8,4,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
jonec004,0,3,5,4,4,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
galaa001,0,4,3,4,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
jordb001,0,5,9,4,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
lopej001,0,6,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandr002,0,7,7,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
lockk001,0,8,4,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
glavt001,0,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ashba002,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surhb001,0,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maddg002,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burkj001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mulht001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joynw001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ligtk001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remlm001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bonib001,0,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vinaf001,1,1,4,5,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
rente001,1,2,6,5,4,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0
edmoj001,1,3,8,5,4,3,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0
clarw001,1,4,3,4,2,1,1,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0
davie001,1,5,9,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
lankr001,1,6,7,4,4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
hernc001,1,7,2,4,4,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0
polap001,1,8,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kiled001,1,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chrij002,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timlm001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcgwm001,1,9,11,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
morrm001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
