advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,furcr001,,,,0,6,BCBCBB,kiled001,0,0,furcr001 walks. ,furcr001,0,
furcr001 to 2B. ,32,1,,furcr001,,,1,12,BBFBSX,kiled001,1,0,jonea002 grounds out. ,jonea002,0,G
furcr001 scores. ,10,1,jonec004,,,,2,14,BX,kiled001,0,1,jonec004 singles. ,jonec004,0,
jonec004 to 3B. ,21,1,,galaa001,jonec004,,3,18,BFBX,kiled001,0,0,galaa001 doubles. ,galaa001,0,
jonec004 scores. ,11,1,,galaa001,,,4,21,CBX,kiled001,1,1,jordb001 grounds out. ,jordb001,0,G
,21,1,,galaa001,,,5,25,BFBX,kiled001,1,0,,lopej001,0,L
,11,1,vinaf001,,,,6,3,CBX,glavt001,0,0,vinaf001 singles. ,vinaf001,1,
vinaf001 out. ,01,1,rente001,,,,7,5,CX,glavt001,1,0,rente001 reaches on fielder's choice. ,rente001,1,
rente001 to 2B. ,30,1,edmoj001,rente001,,,8,9,BBBB,glavt001,0,0,edmoj001 walks. ,edmoj001,1,
rente001 scores. edmoj001 scores. ,32,1,,,,,9,16,BSCBBFX,glavt001,0,3,clarw001 homers. ,clarw001,1,
,21,1,,,,,10,20,BBSX,glavt001,1,0,davie001 grounds out. ,davie001,1,G
,32,1,,,,,11,26,CCBBBC,glavt001,1,0,lankr001 strikes out. ,lankr001,1,
,22,2,,,,,12,30,BCFBS,kiled001,1,0,sandr002 strikes out. ,sandr002,0,
,12,2,,,,,13,36,CSFBFC,kiled001,1,0,lockk001 strikes out. ,lockk001,0,
,12,2,,,,,14,41,CFFBS,kiled001,1,0,glavt001 strikes out. ,glavt001,0,
,12,2,,,,,15,30,CBCX,glavt001,0,1,hernc001 homers. ,hernc001,1,
,00,2,,,,,16,31,X,glavt001,1,0,,polap001,1,L
,02,2,,,,,17,35,CFFS,glavt001,1,0,kiled001 strikes out. ,kiled001,1,
,12,2,,,,,18,40,BCSFX,glavt001,1,0,vinaf001 grounds out. ,vinaf001,1,G
,01,3,,,,,19,43,CX,kiled001,1,0,,furcr001,0,F
,32,3,,,,,20,49,BCBBCX,kiled001,1,0,jonea002 grounds out. ,jonea002,0,G
,10,3,,,,,21,51,BX,kiled001,1,0,jonec004 grounds out. ,jonec004,0,G
,00,3,rente001,,,,22,41,X,glavt001,0,0,rente001 singles. ,rente001,1,
rente001 to 3B. ,31,3,,edmoj001,rente001,,23,46,BBCBX,glavt001,0,0,edmoj001 doubles. ,edmoj001,1,
,00,3,clarw001,edmoj001,rente001,,24,47,H,glavt001,0,0,clarw001 hit by pitch. ,clarw001,1,
rente001 scores. edmoj001 to 3B. ,21,3,clarw001,,edmoj001,,25,51,BCBX,glavt001,1,1,davie001 hits sacrifice fly. ,davie001,1,
edmoj001 scores. clarw001 scores. ,01,3,,lankr001,,,26,53,CX,glavt001,0,2,lankr001 doubles. ,lankr001,1,
lankr001 to 3B. ,12,3,,,lankr001,hernc001,28,4,CCBB,ashba002,0,0,Wild Pitch. ,hernc001,1,
,22,3,,,lankr001,,29,10,CCBBFS,ashba002,1,0,hernc001 strikes out. ,hernc001,1,
