version,2
info,visteam,SDN
info,hometeam,FLO
info,site,MIA01
info,date,2000/05/18
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,fostm901
info,ump1b,kulpr901
info,ump2b,herna901
info,ump3b,timmt901
info,pitches,pitches
info,temp,81
info,winddir,fromcf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,197
info,attendance,7832
info,wp,spens002
info,lp,ferna001
info,save,
start,owene001,"Eric Owens",0,1,9
start,marta001,"Al Martin",0,2,7
start,klesr001,"Ryan Klesko",0,3,3
start,nevip001,"Phil Nevin",0,4,5
start,boonb002,"Bret Boone",0,5,4
start,jackd003,"Damian Jackson",0,6,6
start,gonzw001,"Wiki Gonzalez",0,7,2
start,river002,"Ruben Rivera",0,8,8
start,spens002,"Stan Spencer",0,9,1
start,castl001,"Luis Castillo",1,1,4
start,kotsm001,"Mark Kotsay",1,2,9
start,floyc001,"Cliff Floyd",1,3,7
start,wilsp002,"Preston Wilson",1,4,8
start,millk005,"Kevin Millar",1,5,5
start,browb003,"Brant Brown",1,6,3
start,gonza002,"Alex Gonzalez",1,7,6
start,redmm001,"Mike Redmond",1,8,2
start,ferna001,"Alex Fernandez",1,9,1
play,1,0,owene001,22,CBFBFX,6/P6
play,1,0,marta001,11,FBX,S8/8S
play,1,0,klesr001,22,BBFFX,5/P5
play,1,0,nevip001,21,CBBB,SB2
play,1,0,nevip001,32,CBBBCFB,W
play,1,0,boonb002,32,CBBCFFBX,4/P4
play,1,1,castl001,32,CBBCBB,W
play,1,1,kotsm001,01,LC,SB2
play,1,1,kotsm001,02,LCX,9/F9.2-3
play,1,1,floyc001,11,SBX,S/78.3-H
play,1,1,wilsp002,20,BBC,SB2
play,1,1,wilsp002,32,BBCBSB,W+SB3
play,1,1,millk005,02,FFX,3/P3
play,1,1,browb003,00,B,SB2
play,1,1,browb003,22,BCCBS,K
play,2,0,jackd003,32,BFFBBX,S8/8S
play,2,0,gonzw001,31,BCBBX,S7/7S.1-2
play,2,0,river002,32,BSCFBBS,K
play,2,0,spens002,00,X,14/SH.2-3;1-2
play,2,0,owene001,32,BCCBFBX,S9.3-H;2-H
play,2,0,marta001,00,X,7/F7
play,2,1,gonza002,11,CBX,31/G
play,2,1,redmm001,11,BCX,143/G
play,2,1,ferna001,12,BFFC,K/C
play,3,0,klesr001,10,BX,S8/8S
play,3,0,nevip001,12,CSBFFFX,7/F7
play,3,0,boonb002,02,FCS,K
play,3,0,jackd003,10,BB,SB2
play,3,0,jackd003,22,BBCCS,K
play,3,1,castl001,10,BX,7/F7
play,3,1,kotsm001,00,X,S7
play,3,1,floyc001,11,CBS,SB2
play,3,1,floyc001,12,CBSC,K/C
play,3,1,wilsp002,21,BBCC,SB3
play,3,1,wilsp002,32,BBCCBB,W
play,3,1,millk005,01,CB,SB2
play,3,1,millk005,22,CBBSX,53/G
play,4,0,gonzw001,01,CX,143/G
play,4,0,river002,10,BX,S9/9S
play,4,0,spens002,00,X,S7.1-3
play,4,0,owene001,01,CX,4/P4
play,4,0,marta001,02,CSS,K
play,4,1,browb003,11,FBX,5/FL
play,4,1,gonza002,12,CBSC,K/C
play,4,1,redmm001,02,CFX,4/P4
play,5,0,klesr001,11,SBX,HR/9
play,5,0,nevip001,11,BFX,S9
play,5,0,boonb002,00,X,7/F7
play,5,0,jackd003,22,FBCBFS,K
play,5,0,gonzw001,11,BCX,53/G
play,5,1,ferna001,00,,NP
sub,clapc001,"Chris Clapinski",1,9,11
play,5,1,clapc001,02,CFS,K
play,5,1,castl001,00,X,S
play,5,1,kotsm001,10,BC,SB2
play,5,1,kotsm001,32,BCBBFX,5/FL
play,5,1,floyc001,02,SSB,SB3
play,5,1,floyc001,32,SSBBFBFX,S9.3-H
play,5,1,wilsp002,20,BBB,SB2
play,5,1,wilsp002,32,BBBCFC,K/C
play,6,0,river002,00,,NP
sub,mahar001,"Ron Mahay",1,9,1
play,6,0,river002,31,CBBBX,3/FL
play,6,0,spens002,02,FSS,K
play,6,0,owene001,32,BBBCFX,D8/8D
play,6,0,marta001,31,BBCBX,8/F8
play,6,1,millk005,20,BBX,7/F7D
play,6,1,browb003,02,CFX,4/P4
play,6,1,gonza002,22,SBSBX,43/G
play,7,0,klesr001,22,BCFBS,K
play,7,0,nevip001,22,CBBFS,K
play,7,0,boonb002,12,SBSS,K
play,7,1,redmm001,22,CBFBFX,8/F8
play,7,1,mahar001,00,,NP
sub,bautd001,"Danny Bautista",1,9,11
play,7,1,bautd001,00,X,D9
play,7,1,castl001,00,,NP
sub,whism001,"Matt Whisenant",0,9,1
play,7,1,castl001,32,BBCFBB,W
play,7,1,kotsm001,12,CBCFX,S.2-3;1-2
play,7,1,floyc001,11,FBX,12(3)/FO.2-3;1-2
play,7,1,wilsp002,00,,NP
sub,walld002,"Donne Wall",0,9,1
play,7,1,wilsp002,22,BCCBS,K
play,8,0,jackd003,00,,NP
sub,darev001,"Vic Darensbourg",1,9,1
play,8,0,jackd003,32,BBCBFFB,W
play,8,0,gonzw001,12,SFFBX,D7.1-3
play,8,0,river002,01,SX,S9/9S.3-H;2-H
play,8,0,walld002,12,LLBX,14/SH.1-2
play,8,0,owene001,00,X,9/F9.2-3
play,8,0,marta001,10,BX,7/F7
play,8,1,millk005,01,FX,8/F8
play,8,1,browb003,11,CBX,7/F7
play,8,1,gonza002,01,FX,2/FL
play,9,0,klesr001,00,,NP
sub,bergd002,"Dave Berg",1,5,5
play,9,0,klesr001,01,FX,D/78.B-3(E7/TH2)
play,9,0,nevip001,12,SSFFBX,T8.3-H
play,9,0,boonb002,00,,NP
sub,stroj001,"Joe Strong",1,9,1
play,9,0,boonb002,02,CFB,OA.3XH(2)#
play,9,0,boonb002,32,CFBBBX,S8/8S
play,9,0,jackd003,32,CBBBFS,K+CS2(24)/DP
play,9,1,redmm001,00,,NP
sub,hofft001,"Trevor Hoffman",0,9,1
play,9,1,redmm001,12,FBSS,K
play,9,1,stroj001,00,,NP
sub,lee-d002,"Derrek Lee",1,9,11
play,9,1,lee-d002,21,BCBX,5/L5
play,9,1,castl001,21,BCBX,63/G
data,er,spens002,2
data,er,whism001,0
data,er,walld002,0
data,er,hofft001,0
data,er,ferna001,3
data,er,mahar001,0
data,er,darev001,3
data,er,stroj001,0
