advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,00,1,,bradm001,,,0,1,X,sancj001,0,0,bradm001 doubles. ,bradm001,0,
bradm001 to 2B. ,10,1,guerw001,bradm001,,,1,3,BX,sancj001,0,0,guerw001 singles. ,guerw001,0,G
,00,1,guerw001,bradm001,,,2,4,X,sancj001,1,0,,traca001,0,F
bradm001 to 3B. guerw001 to 2B. vidrj001 to 1B. ,21,1,vidrj001,guerw001,bradm001,,3,8,BCBX,sancj001,0,0,vidrj001 hits into a fielder's choice. ,vidrj001,0,
bradm001 scores. guerw001 to 3B. vidrj001 to 2B. ,21,1,blumg001,vidrj001,guerw001,,4,12,BBFX,sancj001,0,1,blumg001 singles. ,blumg001,0,
guerw001 scores. vidrj001 to 3B. blumg001 to 2B. seguf001 out. ,10,1,,blumg001,vidrj001,,5,14,BX,sancj001,1,1,seguf001 singles. ,seguf001,0,
,11,1,,blumg001,vidrj001,,6,17,CBX,sancj001,1,0,delat001 grounds out. ,delat001,0,G
castl001 to 2B. ,22,1,,castl001,,,7,8,BFCBFFFX,vazqj001,0,0,castl001 singles. ,castl001,1,
castl001 to 3B. ,01,1,kotsm001,,castl001,,8,10,CX,vazqj001,0,0,kotsm001 singles. ,kotsm001,1,G
,02,1,kotsm001,,castl001,,9,13,CFX,vazqj001,1,0,,smitm004,1,P
,02,1,kotsm001,,castl001,,10,17,SCFS,vazqj001,1,0,wilsp002 strikes out. ,wilsp002,1,
kotsm001 to 2B. ,30,1,lowem001,kotsm001,castl001,,11,21,BBBB,vazqj001,0,0,lowem001 walks. ,lowem001,1,
castl001 scores. kotsm001 scores. lowem001 to 3B. lee-d002 out. ,21,1,,,lowem001,,12,25,BFBX,vazqj001,1,2,lee-d002 singles. ,lee-d002,1,
,32,2,,,,,13,23,CBBBFX,sancj001,1,0,,websl001,0,F
,11,2,vazqj001,,,,14,26,CBX,sancj001,0,0,vazqj001 singles. ,vazqj001,0,
vazqj001 to 2B. ,10,2,bradm001,vazqj001,,,15,28,BX,sancj001,0,0,bradm001 singles. ,bradm001,0,
,11,2,bradm001,vazqj001,,,16,31,FBX,sancj001,1,0,,guerw001,0,P
vazqj001 to 3B. bradm001 to 2B. ,21,2,,bradm001,vazqj001,traca001,17,35,SBBB,sancj001,0,0,Passed Ball. ,traca001,0,
,31,2,traca001,bradm001,vazqj001,,18,40,SBBBB,sancj001,0,0,traca001 walks. ,traca001,0,
,12,2,traca001,bradm001,vazqj001,,19,45,FBFFS,sancj001,1,0,vidrj001 strikes out. ,vidrj001,0,
,22,2,,,,,20,30,FBFBX,vazqj001,1,0,,bergd002,1,F
,12,2,,,,,21,39,CSFFFFBFX,vazqj001,1,0,redmm001 grounds out. ,redmm001,1,G
,02,2,,,,,22,42,SFS,vazqj001,1,0,sancj001 strikes out. ,sancj001,1,
,12,3,,,,,23,49,BCFX,sancj001,1,0,,blumg001,0,F
,01,3,,,,,24,51,FX,sancj001,0,1,seguf001 homers. ,seguf001,0,
,20,3,delat001,,,,25,54,BBX,sancj001,0,0,delat001 singles. ,delat001,0,
delat001 to 3B. ,11,3,websl001,,delat001,,26,57,CBX,sancj001,0,0,websl001 singles. ,websl001,0,
websl001 to 2B. ,00,3,,websl001,delat001,,27,58,X,sancj001,1,0,Sacrifice bunt by vazqj001.,vazqj001,0,
,22,3,,websl001,delat001,,28,63,BBCFS,sancj001,1,0,bradm001 strikes out. ,bradm001,0,
,00,3,castl001,,,,29,43,X,vazqj001,0,0,castl001 singles. ,castl001,1,G
castl001 to 2B. ,12,3,,castl001,,,30,47,CCBX,vazqj001,1,0,kotsm001 grounds out. ,kotsm001,1,G
,32,3,smitm004,castl001,,,31,54,BBFFBFB,vazqj001,0,0,smitm004 walks. ,smitm004,1,
castl001 to 3B. smitm004 out. ,22,3,wilsp002,,castl001,,32,59,SBCBX,vazqj001,1,0,wilsp002 reaches on fielder's choice. ,wilsp002,1,
,01,3,wilsp002,,castl001,,33,61,CX,vazqj001,1,0,lowem001 grounds out. ,lowem001,1,G
,22,4,,,,,34,69,FFBFBX,sancj001,1,0,guerw001 grounds out. ,guerw001,0,G
,12,4,,,,,36,73,BSCS,sancj001,1,0,traca001 strikes out. ,traca001,0,
,01,4,vidrj001,,,,37,75,CX,sancj001,0,0,vidrj001 singles. ,vidrj001,0,
,20,4,vidrj001,,,,38,78,BBX,sancj001,1,0,,blumg001,0,F
,12,4,lee-d002,,,,39,65,CCBX,vazqj001,0,0,lee-d002 reaches on error. ,lee-d002,1,
,11,4,lee-d002,,,,40,68,CBX,vazqj001,1,0,,bergd002,1,F
lee-d002 to 3B. ,11,4,redmm001,,lee-d002,,41,71,BCX,vazqj001,0,0,redmm001 singles. ,redmm001,1,
lee-d002 scores. redmm001 to 3B. ,12,4,sancj001,,redmm001,,42,77,BSSFFX,vazqj001,0,1,sancj001 singles. ,sancj001,1,
,32,4,sancj001,,redmm001,,43,83,BBBCSS,vazqj001,1,0,castl001 strikes out. ,castl001,1,
