id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
tollb001,0,20,8,2,2,1,95,4,0,7,1,0,0,0,28,26,0,0,0,0
walkk001,0,2,0,0,0,0,11,2,0,0,0,0,0,0,2,2,0,0,0,0
sloch001,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2,2,0,0,0,0
almac001,0,0,3,0,1,1,9,0,1,2,0,0,0,0,3,3,0,0,0,0
walld002,0,2,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0
hofft001,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
cornr001,1,21,4,3,2,2,102,6,0,1,2,1,0,0,26,23,0,0,0,0
almaa001,1,2,2,1,3,3,20,0,0,1,1,0,0,0,5,4,0,0,0,1
loopb001,1,1,2,0,2,2,14,0,1,1,0,0,0,0,3,3,0,0,0,0
darev001,1,3,0,0,0,0,11,2,0,0,0,0,0,0,3,3,0,0,0,0
