id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
polap001,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drewj001,0,2,9,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
edmoj001,0,3,8,4,4,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
clarw001,0,4,3,4,4,2,0,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0
paquc001,0,5,5,4,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
lankr001,0,6,7,4,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
rente001,0,7,6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
mathm001,0,8,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
reamb001,0,9,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
chrij002,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davie001,0,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
morrm001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vered001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castl001,1,1,4,5,5,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
fox-a001,1,2,6,5,5,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0
floyc001,1,3,7,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
boner001,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bergd002,1,3,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
miced001,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfoa001,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loopb001,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilsp002,1,4,8,4,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
lowem001,1,5,5,4,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rodrh001,1,6,9,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smitm004,1,6,9,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
lee-d002,1,7,3,4,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
castr002,1,8,2,4,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
cornr001,1,9,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
millk005,1,9,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
