id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
castl001,PIT200005290,1,4,4,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bergd002,PIT200005290,1,12,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
kotsm001,PIT200005290,2,9,5,4,2,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
floyc001,PIT200005290,3,7,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
browb003,PIT200005290,3,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wilsp002,PIT200005290,4,8,4,3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
bautd001,PIT200005290,4,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lowem001,PIT200005290,5,5,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lee-d002,PIT200005290,6,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gonza002,PIT200005290,7,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bakop001,PIT200005290,8,2,4,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nunev001,PIT200005290,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
miced001,PIT200005290,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
mahar001,PIT200005290,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
millk005,PIT200005290,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
darev001,PIT200005290,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
castl001,PIT200005300,1,4,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
kotsm001,PIT200005300,2,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
floyc001,PIT200005300,3,7,4,3,1,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,PIT,0,1,0
almaa001,PIT200005300,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
alfoa001,PIT200005300,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wilsp002,PIT200005300,4,8,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lowem001,PIT200005300,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lee-d002,PIT200005300,6,3,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gonza002,PIT200005300,7,6,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bakop001,PIT200005300,8,2,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
cornr001,PIT200005300,9,1,3,3,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
loopb001,PIT200005300,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bautd001,PIT200005300,9,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
castl001,PIT200005310,1,4,5,5,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
kotsm001,PIT200005310,2,9,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
floyc001,PIT200005310,3,7,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wilsp002,PIT200005310,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
lowem001,PIT200005310,5,5,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lee-d002,PIT200005310,6,3,4,3,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
gonza002,PIT200005310,7,6,4,4,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bakop001,PIT200005310,8,2,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sancj001,PIT200005310,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
browb003,PIT200005310,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
boner001,PIT200005310,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
