id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
nunev001,PIT200005290,15,9,3,6,6,113,3,0,7,2,0,1,0,27,23,0,0,1,1,PIT,0,1,1
miced001,PIT200005290,2,3,4,4,4,36,0,0,1,2,0,0,0,9,5,0,0,0,1,PIT,0,1,0
mahar001,PIT200005290,4,0,0,0,0,9,0,0,0,0,0,0,0,4,4,0,0,0,0,PIT,0,1,0
darev001,PIT200005290,3,1,0,0,0,15,1,0,1,0,0,0,0,5,5,0,0,0,0,PIT,0,1,0
cornr001,PIT200005300,21,8,2,1,1,106,2,0,7,1,0,2,0,29,27,0,0,0,0,PIT,0,1,1
loopb001,PIT200005300,2,0,1,0,0,16,0,0,0,0,0,0,0,3,2,0,0,0,1,PIT,0,1,0
almaa001,PIT200005300,1,0,0,0,0,7,1,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
alfoa001,PIT200005300,4,3,0,2,2,26,1,1,0,2,0,0,0,7,7,0,0,0,0,PIT,0,1,0
sancj001,PIT200005310,18,5,3,5,4,82,4,2,2,1,0,1,0,27,23,0,0,1,0,PIT,0,1,1
boner001,PIT200005310,6,0,0,0,0,24,3,0,0,0,0,0,0,6,6,0,0,0,0,PIT,0,1,0
cornr001,PIT200006160,16,5,1,3,3,72,1,0,4,1,0,1,1,22,20,0,0,0,0,PIT,0,1,1
boner001,PIT200006160,7,3,1,0,0,34,0,0,3,0,0,0,0,9,8,0,0,0,0,PIT,0,1,0
loopb001,PIT200006160,4,0,0,0,0,14,1,0,0,0,0,0,0,4,4,0,0,0,0,PIT,0,1,0
sancj001,PIT200006170,22,5,2,2,2,97,6,0,2,3,0,0,0,28,26,0,0,0,1,PIT,0,1,1
loopb001,PIT200006170,1,1,0,0,0,9,0,0,1,0,0,0,0,2,2,0,0,0,0,PIT,0,1,0
almaa001,PIT200006170,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
alfoa001,PIT200006170,6,4,2,1,1,36,1,0,3,1,0,0,0,11,9,0,0,0,2,PIT,0,1,0
mahar001,PIT200006170,2,1,1,0,0,15,0,0,1,0,0,0,0,3,2,0,0,0,0,PIT,0,1,0
stroj001,PIT200006170,1,1,0,0,0,7,1,0,1,0,0,0,0,2,2,0,0,0,0,PIT,0,1,0
pennb002,PIT200006180,18,6,3,3,1,112,7,0,4,1,1,1,0,27,24,0,0,0,0,PIT,0,1,1
boner001,PIT200006180,6,2,1,1,1,28,2,0,1,1,0,0,0,9,8,0,0,0,1,PIT,0,1,0
alfoa001,PIT200006180,3,0,0,0,0,9,2,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
pennb002,LAN200004280,19,7,5,4,4,114,2,0,7,0,0,0,0,30,23,0,2,0,0,LAN,0,1,1
almaa001,LAN200004280,2,1,0,1,0,12,1,0,0,1,0,0,0,3,3,0,0,0,0,LAN,0,1,0
loopb001,LAN200004280,3,1,0,0,0,11,0,0,1,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
sancj001,LAN200004290,4,8,1,8,8,63,1,3,4,1,0,0,0,13,12,0,0,0,0,LAN,0,1,1
boner001,LAN200004290,11,5,2,2,1,85,5,1,3,1,0,0,0,19,17,0,0,0,1,LAN,0,1,0
darev001,LAN200004290,3,1,3,2,2,38,2,0,1,0,0,1,0,7,4,0,0,0,0,LAN,0,1,0
miced001,LAN200004290,6,1,1,0,0,35,2,0,1,0,0,0,0,8,7,0,0,0,0,LAN,0,1,0
alfoa001,LAN200004290,0,2,1,1,1,14,0,0,2,0,0,0,0,3,2,0,0,0,0,LAN,0,1,0
ferna001,LAN200004300,18,7,2,5,5,88,3,3,3,1,0,0,0,26,24,0,0,0,0,LAN,0,1,1
almaa001,LAN200004300,6,2,3,2,2,41,2,0,1,1,0,0,0,11,8,0,0,0,1,LAN,0,1,0
ferna001,CHN200004140,21,8,2,4,4,109,3,1,6,1,0,0,0,29,27,0,0,0,0,CHN,0,1,1
miced001,CHN200004140,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
alfoa001,CHN200004140,3,0,1,0,0,13,0,0,0,0,0,0,1,4,2,0,0,0,0,CHN,0,1,0
dempr002,CHN200004150,20,4,1,4,2,93,9,0,4,0,0,0,0,26,24,0,0,1,0,CHN,0,1,1
darev001,CHN200004150,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
loopb001,CHN200004150,2,1,0,0,0,13,0,0,0,1,0,0,0,3,3,0,0,0,0,CHN,0,1,0
