id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
neagd001,0,15,5,4,3,2,124,5,0,5,0,0,1,0,24,19,0,0,1,0
sulls001,0,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0
wills002,0,6,1,2,0,0,37,4,0,0,0,1,0,0,8,6,0,0,0,1
gravd001,0,9,3,1,0,0,40,1,0,3,0,0,0,0,12,11,0,0,0,0
doteo001,1,18,4,4,2,2,104,6,1,2,1,0,0,0,26,21,0,1,0,1
cabrj001,1,5,1,0,0,0,20,1,0,1,0,0,0,0,6,6,0,0,0,0
wagnb001,1,4,2,0,1,1,25,1,0,0,2,0,0,0,6,6,0,0,0,0
powej001,1,3,0,1,0,0,15,0,0,0,0,0,0,0,4,3,0,0,0,0
maddm002,1,1,2,2,4,4,14,0,2,0,0,0,0,0,5,2,0,1,0,0
perey001,1,2,1,0,0,0,7,0,0,1,0,0,0,0,3,3,0,0,0,0
