advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,,,0,7,CCBFBBX,holtc001,1,0,,browa001,0,F
,02,1,,,,,1,10,CCX,holtc001,1,0,kendj001 grounds out. ,kendj001,0,G
,30,1,gileb002,,,,2,14,BBBB,holtc001,0,0,gileb002 walks. ,gileb002,0,
gileb002 to 2B. ,22,1,,gileb002,,younk001,3,19,FBCBB,holtc001,0,0,Wild Pitch. ,younk001,0,
,32,1,,gileb002,,,4,27,FBCBBFFX,holtc001,1,0,,younk001,0,L
,32,1,lugoj001,,,,5,7,BSBFFBB,silvj001,0,0,lugoj001 walks. ,lugoj001,1,
,10,1,,,,spieb001,6,9,BS,silvj001,1,0,lugoj001 caught stealing. ,spieb001,1,
,12,1,spieb001,,,,7,13,BSCX,silvj001,0,0,spieb001 singles. ,spieb001,1,
spieb001 to 2B. ,32,1,bagwj001,spieb001,,,8,20,BBFBFFB,silvj001,0,0,bagwj001 walks. ,bagwj001,1,
spieb001 scores. bagwj001 to 3B. ,11,1,,berkl001,bagwj001,,9,23,BSX,silvj001,0,1,berkl001 doubles. ,berkl001,1,
bagwj001 scores. ,11,1,,berkl001,,,10,26,SBX,silvj001,1,1,aloum001 hits sacrifice fly. ,aloum001,1,
berkl001 scores. hidar001 to 2B. ,00,1,,hidar001,,,11,27,X,silvj001,0,1,hidar001 singles. ,hidar001,1,
hidar001 scores. ,21,1,euset001,,,,12,31,FBBX,silvj001,0,1,euset001 singles. ,euset001,1,
euset001 to 3B. ,11,1,bogat001,,euset001,,13,34,CBX,silvj001,0,0,bogat001 singles. ,bogat001,1,
,02,1,bogat001,,euset001,,14,37,CCS,silvj001,1,0,holtc001 strikes out. ,holtc001,1,
,01,2,ramia001,,,,15,29,FH,holtc001,0,0,ramia001 hit by pitch. ,ramia001,0,
,00,2,,,,,16,30,X,holtc001,2,0,Double Play. ,morrw001,0,
,32,2,ramia002,,,,17,37,BFBSBFB,holtc001,0,0,ramia002 walks. ,ramia002,0,
,22,2,ramia002,,,,18,43,BBFFFS,holtc001,1,0,mearp001 strikes out. ,mearp001,0,
,11,2,,,,,20,40,FBX,silvj001,1,0,,lugoj001,1,L
,32,2,,,,,21,46,BBFCBX,silvj001,1,0,,spieb001,1,F
,00,2,,,,,22,47,X,silvj001,1,0,,bagwj001,1,F
,12,3,,,,,23,47,CCBC,holtc001,1,0,silvj001 strikes out. ,silvj001,0,
,32,3,browa001,,,,24,53,CBSBBB,holtc001,0,0,browa001 walks. ,browa001,0,
,21,3,,,,,25,57,BBSX,holtc001,2,0,Double Play. ,kendj001,0,
,32,3,berkl001,,,,26,53,BFBFBX,silvj001,0,0,berkl001 singles. ,berkl001,1,
berkl001 to 2B. ,00,3,aloum001,berkl001,,,27,54,X,silvj001,0,0,aloum001 singles. ,aloum001,1,
,32,3,aloum001,berkl001,,,28,61,BBBCFFX,silvj001,1,0,,hidar001,1,F
berkl001 scores. aloum001 scores. ,22,3,,euset001,,,29,66,FBCBX,silvj001,0,2,euset001 doubles. ,euset001,1,
euset001 to 3B. ,00,3,bogat001,,euset001,,30,67,X,silvj001,0,0,bogat001 singles. ,bogat001,1,
bogat001 to 2B. ,02,3,,bogat001,euset001,,31,70,CSX,silvj001,1,0,Sacrifice bunt by holtc001.,holtc001,1,
,21,3,lugoj001,bogat001,euset001,,32,74,BCBH,silvj001,0,0,lugoj001 hit by pitch. ,lugoj001,1,
euset001 scores. bogat001 to 3B. lugoj001 to 2B. ,30,3,spieb001,lugoj001,bogat001,,33,78,BBBB,silvj001,0,1,spieb001 walks. ,spieb001,1,
bogat001 scores. lugoj001 scores. spieb001 to 3B. ,31,3,,bagwj001,spieb001,,35,5,BCBBX,wilkm001,0,2,bagwj001 doubles. ,bagwj001,1,
,10,3,,bagwj001,spieb001,,36,7,BX,wilkm001,1,0,berkl001 grounds out. ,berkl001,1,G
,32,4,,,,,37,64,CBBFBFC,holtc001,1,0,gileb002 strikes out. ,gileb002,0,
,22,4,,,,,38,70,SBSBFX,holtc001,1,0,,younk001,0,F
,10,4,,,,,39,72,BX,holtc001,1,0,wilse001 grounds out. ,wilse001,0,G
,02,4,,,,,40,10,CCX,wilkm001,0,1,aloum001 homers. ,aloum001,1,
,31,4,hidar001,,,,41,15,BSBBB,wilkm001,0,0,hidar001 walks. ,hidar001,1,
hidar001 to 2B. ,12,4,,hidar001,,,42,19,FSBX,wilkm001,1,0,euset001 grounds out. ,euset001,1,G
