version,2
info,visteam,FLO
info,hometeam,HOU
info,site,HOU03
info,date,2000/09/04
info,number,0
info,starttime,2:05PM
info,daynight,day
info,usedh,false
info,umphome,schrp901
info,ump1b,mcclt901
info,ump2b,rapue901
info,ump3b,cuzzp901
info,pitches,pitches
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,158
info,attendance,33388
info,wp,smitc001
info,lp,holtc001
info,save,alfoa001
start,castl001,"Luis Castillo",0,1,4
start,kotsm001,"Mark Kotsay",0,2,9
start,floyc001,"Cliff Floyd",0,3,7
start,wilsp002,"Preston Wilson",0,4,8
start,lowem001,"Mike Lowell",0,5,5
start,lee-d002,"Derrek Lee",0,6,3
start,gonza002,"Alex Gonzalez",0,7,6
start,castr002,"Ramon Castro",0,8,2
start,smitc001,"Chuck Smith",0,9,1
start,ceder001,"Roger Cedeno",1,1,7
start,lugoj001,"Julio Lugo",1,2,4
start,bagwj001,"Jeff Bagwell",1,3,3
start,melum001,"Mitch Meluskey",1,4,2
start,aloum001,"Moises Alou",1,5,9
start,hidar001,"Richard Hidalgo",1,6,8
start,trubc001,"Chris Truby",1,7,5
start,bogat001,"Tim Bogar",1,8,6
start,holtc001,"Chris Holt",1,9,1
play,1,0,castl001,31,BBCBX,7/F7
play,1,0,kotsm001,00,X,S7
play,1,0,floyc001,12,BCFX,S7.1-3
play,1,0,wilsp002,22,BBFFX,E4/G.3-H;1-2
play,1,0,lowem001,11,BFX,8/F8.2-3
play,1,0,lee-d002,02,CFS,K
play,1,1,ceder001,11,CBX,3/G
play,1,1,lugoj001,00,X,T/78D
play,1,1,bagwj001,12,BSFB,WP.3-H
play,1,1,bagwj001,22,BSFBS,K
play,1,1,melum001,12,CCFBS,K23
play,2,0,gonza002,12,FFBX,63/G
play,2,0,castr002,00,X,6/L6
play,2,0,smitc001,32,CBSBBX,63/G
play,2,1,aloum001,11,CBX,9/F9D
play,2,1,hidar001,20,BBX,8/F8S
play,2,1,trubc001,12,CSBS,K
play,3,0,castl001,31,BBBCB,W
play,3,0,kotsm001,00,X,163/G.1-2
play,3,0,floyc001,21,BFBX,7/F7D
play,3,0,wilsp002,31,BFBBX,S7.2-H
play,3,0,lowem001,01,CB,SB2.1-3(E2/TH2)
play,3,0,lowem001,22,CBBFX,S8.3-H(UR)
play,3,0,lee-d002,11,CBX,64(1)/FO
play,3,1,bogat001,12,CBCS,K
play,3,1,holtc001,12,CBCS,K
play,3,1,ceder001,32,CBBBCB,W
play,3,1,lugoj001,00,X,64(1)/FO
play,4,0,gonza002,12,BFFS,K
play,4,0,castr002,32,BBCFBX,S7/7S
play,4,0,smitc001,12,CSBX,16(1)4/BG/GDP
play,4,1,bagwj001,10,BX,53/G
play,4,1,melum001,00,X,31/G
play,4,1,aloum001,12,CBFS,K
play,5,0,castl001,21,BBFX,13/G
play,5,0,kotsm001,31,BSBBB,W
play,5,0,floyc001,01,SX,S9.1-3
play,5,0,wilsp002,00,X,64(1)/FO.3-H
play,5,0,lowem001,10,BX,C/E2.1-2
play,5,0,lee-d002,00,X,43/G
play,5,1,hidar001,01,CX,63/G
play,5,1,trubc001,22,CFBBX,7/F7S
play,5,1,bogat001,00,X,D/89D
play,5,1,holtc001,32,BBBCCX,D7.2-H
play,5,1,ceder001,22,BBFCS,K
play,6,0,gonza002,02,FFX,S7/7S
play,6,0,castr002,22,FBFBX,8/F8
play,6,0,smitc001,02,CFL,K/BF
play,6,0,castl001,00,X,S7/7S.1-2
play,6,0,kotsm001,01,FX,64(1)/FO.2-3
play,6,1,lugoj001,12,CSBS,K
play,6,1,bagwj001,11,CBX,8/F8D
play,6,1,melum001,32,BCCBBB,W
play,6,1,aloum001,00,X,8/F8D
play,7,0,floyc001,12,CCFBX,S7
play,7,0,wilsp002,21,BFBX,D9.1-3
play,7,0,lowem001,32,CFBBBS,K
play,7,0,lee-d002,30,IIII,IW
play,7,0,gonza002,01,CX,8/SF.3-H
play,7,0,castr002,32,BBFBCX,5(2)/FO.1-2
play,7,1,hidar001,00,X,D/78D
play,7,1,trubc001,11,BFX,43/G.2-3
play,7,1,bogat001,22,CBBFS,K
play,7,1,holtc001,00,,NP
sub,wardd002,"Daryle Ward",1,9,11
play,7,1,wardd002,12,CSBS,K
play,8,0,smitc001,00,,NP
sub,valdm001,"Marc Valdes",1,9,1
play,8,0,smitc001,01,CX,53/G
play,8,0,castl001,11,CBX,1/BP1
play,8,0,kotsm001,01,CX,3/G#
play,8,1,ceder001,12,BFCX,S8
play,8,1,lugoj001,11,FBX,6(1)3/GDP
play,8,1,bagwj001,02,CFC,K/C
play,9,0,floyc001,32,BFFFFFBBX,7/F7
play,9,0,wilsp002,31,CBBBB,W
play,9,0,lowem001,32,BBSFFBX,S7.1-3
play,9,0,lee-d002,02,CFS,K
play,9,0,gonza002,00,X,53/G
play,9,1,melum001,00,,NP
sub,alfoa001,"Antonio Alfonseca",0,9,1
play,9,1,melum001,31,BCBBB,W
play,9,1,aloum001,10,BX,64(1)3/GDP
play,9,1,hidar001,12,BFFX,8/F8
data,er,smitc001,2
data,er,alfoa001,0
data,er,holtc001,4
data,er,valdm001,0
