id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
castl001,0,1,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gonza002,0,2,6,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
rodrh001,0,3,7,4,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fox-a001,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castr002,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilsp002,0,4,8,4,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
lowem001,0,5,5,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
smitm004,0,6,9,4,4,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
lee-d002,0,7,3,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
redmm001,0,8,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotsm001,0,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dempr002,0,9,1,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
millk005,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almaa001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miced001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceder001,1,1,7,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spieb001,1,2,4,5,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bagwj001,1,3,3,4,3,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
berkl001,1,4,9,4,3,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
barkg001,1,4,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hidar001,1,5,8,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
melum001,1,6,2,4,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
trubc001,1,7,5,4,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
lugoj001,1,8,6,3,3,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
wardd002,1,8,11,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
bogat001,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elars001,1,9,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aloum001,1,9,11,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
doteo001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
