id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
biggc001,PIT200004040,1,4,5,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
spieb001,PIT200004040,2,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
barkg001,PIT200004040,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bagwj001,PIT200004040,3,3,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
camik001,PIT200004040,4,5,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
aloum001,PIT200004040,5,9,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hidar001,PIT200004040,6,8,4,4,3,0,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
euset001,PIT200004040,7,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bogat001,PIT200004040,8,6,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
reyns001,PIT200004040,9,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
henrd002,PIT200004040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
ceder001,PIT200004040,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wagnb001,PIT200004040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
biggc001,PIT200004050,1,4,5,3,1,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
spieb001,PIT200004050,2,6,5,5,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bagwj001,PIT200004050,3,3,5,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,PIT,0,1,0
camik001,PIT200004050,4,5,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bogat001,PIT200004050,4,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
aloum001,PIT200004050,5,9,5,5,2,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
wardd002,PIT200004050,6,7,4,3,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
barkg001,PIT200004050,6,12,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hidar001,PIT200004050,7,8,5,4,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
euset001,PIT200004050,8,2,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
limaj001,PIT200004050,9,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
melum001,PIT200004050,9,11,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
powej001,PIT200004050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
maddm002,PIT200004050,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
ceder001,PIT200004060,1,8,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
spieb001,PIT200004060,2,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bagwj001,PIT200004060,3,3,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
camik001,PIT200004060,4,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
aloum001,PIT200004060,5,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wardd002,PIT200004060,6,7,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
melum001,PIT200004060,7,2,3,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bogat001,PIT200004060,8,6,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
holtc001,PIT200004060,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
johnr006,PIT200004060,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
cabrj001,PIT200004060,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
perey001,PIT200004060,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hidar001,PIT200004060,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
maddm002,PIT200004060,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lugoj001,PIT200009260,1,4,5,4,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
melum001,PIT200009260,2,2,5,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bagwj001,PIT200009260,3,3,5,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wardd002,PIT200009260,4,7,5,5,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
aloum001,PIT200009260,5,9,4,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hidar001,PIT200009260,6,8,4,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
trubc001,PIT200009260,7,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bogat001,PIT200009260,8,6,4,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
holtc001,PIT200009260,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
berkl001,PIT200009260,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
franw001,PIT200009260,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
valdm001,PIT200009260,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
spieb001,PIT200009260,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lines001,PIT200009260,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
lugoj001,PIT200009270,1,4,5,4,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
bogat001,PIT200009270,2,6,5,4,2,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,PIT,0,1,0
bagwj001,PIT200009270,3,3,4,4,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
ensbm001,PIT200009270,3,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
wardd002,PIT200009270,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hidar001,PIT200009270,4,8,5,3,2,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
aloum001,PIT200009270,5,9,5,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
ceder001,PIT200009270,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
berkl001,PIT200009270,6,7,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
barkg001,PIT200009270,6,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
melum001,PIT200009270,7,2,4,4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
trubc001,PIT200009270,8,5,4,3,2,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
mcknt001,PIT200009270,9,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
spieb001,PIT200009280,1,4,5,4,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,PIT,0,1,0
bogat001,PIT200009280,2,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
bagwj001,PIT200009280,3,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hidar001,PIT200009280,4,8,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
aloum001,PIT200009280,5,9,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
barkg001,PIT200009280,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
berkl001,PIT200009280,6,7,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
trubc001,PIT200009280,7,5,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
chavr001,PIT200009280,8,2,3,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
melum001,PIT200009280,8,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PIT,0,1,0
limaj001,PIT200009280,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,PIT,0,1,0
wardd002,PIT200009280,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
doteo001,PIT200009280,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
franw001,PIT200009280,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
biggc001,LAN200004180,1,4,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
ceder001,LAN200004180,2,8,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
bagwj001,LAN200004180,3,3,4,2,2,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,LAN,0,1,0
camik001,LAN200004180,4,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,LAN,0,1,0
hidar001,LAN200004180,5,9,4,4,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,LAN,0,1,0
