id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
reyns001,PIT200004040,21,6,1,2,2,89,4,1,5,0,0,0,1,28,26,0,0,0,0,PIT,0,1,1
henrd002,PIT200004040,3,0,1,0,0,16,0,0,0,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
wagnb001,PIT200004040,3,0,1,0,0,22,1,0,0,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
limaj001,PIT200004050,21,8,2,2,2,102,2,0,6,2,0,0,0,30,27,0,1,0,0,PIT,0,1,1
powej001,PIT200004050,3,1,1,0,0,14,0,0,1,0,0,0,0,5,4,0,0,0,0,PIT,0,1,0
maddm002,PIT200004050,3,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
holtc001,PIT200004060,15,7,3,2,2,100,5,2,4,1,0,0,0,25,22,0,0,0,0,PIT,0,1,1
cabrj001,PIT200004060,3,2,1,2,2,34,2,0,1,1,0,0,0,6,5,0,0,0,0,PIT,0,1,0
perey001,PIT200004060,3,2,0,2,1,24,2,0,1,1,0,0,0,5,5,0,0,0,0,PIT,0,1,0
maddm002,PIT200004060,3,5,0,4,3,15,0,0,3,1,1,0,0,8,8,0,0,0,0,PIT,0,1,0
holtc001,PIT200009260,18,5,5,4,4,101,3,1,3,1,0,0,0,28,23,0,0,0,0,PIT,0,1,1
franw001,PIT200009260,1,4,0,4,4,14,0,0,2,2,0,0,0,5,5,0,0,0,0,PIT,0,1,0
valdm001,PIT200009260,2,1,0,1,1,16,2,1,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
lines001,PIT200009260,3,0,1,0,0,27,0,0,0,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
mcknt001,PIT200009270,27,4,1,1,1,101,7,1,3,0,0,1,0,35,34,0,0,0,0,PIT,0,1,1
limaj001,PIT200009280,24,1,1,1,1,99,6,1,0,0,0,0,0,27,26,0,0,0,0,PIT,0,1,1
doteo001,PIT200009280,2,1,2,2,2,24,1,0,1,0,0,0,0,5,3,0,0,0,0,PIT,0,1,0
franw001,PIT200009280,0,1,0,0,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
doteo001,LAN200004180,18,7,2,4,4,107,10,2,3,2,0,1,0,27,23,0,1,1,0,LAN,0,1,1
henrd002,LAN200004180,1,1,0,1,1,11,1,1,0,0,0,0,1,3,2,0,0,0,0,LAN,0,1,0
perey001,LAN200004180,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
cabrj001,LAN200004180,2,0,0,0,0,11,1,0,0,0,0,0,0,2,2,0,0,0,0,LAN,0,1,0
reyns001,LAN200004190,18,4,2,1,1,107,3,1,2,1,0,0,0,24,22,0,0,0,0,LAN,0,1,1
maddm002,LAN200004190,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
powej001,LAN200004190,3,2,2,1,1,27,0,0,2,0,0,0,0,7,5,0,0,0,0,LAN,0,1,0
wagnb001,LAN200004190,3,1,0,1,1,19,3,1,0,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
reyns001,LAN200005050,21,7,3,2,2,102,2,1,4,2,0,0,0,30,26,0,1,0,0,LAN,0,1,1
henrd002,LAN200005050,4,1,1,1,1,24,1,0,0,1,0,0,0,6,4,0,1,0,0,LAN,0,1,0
powej001,LAN200005050,0,1,0,0,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,LAN,0,1,0
doteo001,LAN200005060,13,5,4,8,8,84,2,2,1,2,0,0,1,23,18,0,0,0,0,LAN,0,1,1
perey001,LAN200005060,2,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
slusj001,LAN200005060,6,1,1,1,1,21,0,0,0,0,1,0,0,7,5,0,0,1,0,LAN,0,1,0
cabrj001,LAN200005060,3,1,0,0,0,20,1,0,1,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
limaj001,LAN200005070,12,6,1,7,4,79,2,3,3,0,0,1,0,22,20,0,0,1,0,LAN,0,1,1
maddm002,LAN200005070,6,1,0,0,0,24,1,0,1,0,0,0,0,7,7,0,0,0,0,LAN,0,1,0
henrd002,LAN200005070,3,2,0,0,0,21,0,0,2,0,0,0,0,5,5,0,0,0,0,LAN,0,1,0
perey001,LAN200005070,2,1,0,0,0,9,1,0,1,0,0,0,0,3,2,0,1,0,0,LAN,0,1,0
powej001,LAN200005070,0,0,2,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,LAN,0,1,0
wagnb001,LAN200005070,4,0,0,0,0,15,2,0,0,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
cabrj001,LAN200005070,3,2,0,1,1,22,2,0,2,0,0,0,0,5,5,0,0,0,0,LAN,0,1,0
holtc001,LAN200006080,21,9,3,5,5,115,4,1,7,1,0,0,0,32,28,0,1,0,0,LAN,0,1,1
slusj001,LAN200006080,3,0,0,0,0,20,0,0,0,0,0,1,0,3,3,0,0,0,0,LAN,0,1,0
limaj001,CHN200005020,14,13,3,10,9,102,5,3,7,3,0,0,0,30,26,0,1,0,0,CHN,0,1,1
cabrj001,CHN200005020,4,1,0,0,0,24,0,0,1,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
powej001,CHN200005020,3,0,0,0,0,10,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
henrd002,CHN200005020,3,2,0,1,1,7,0,0,0,2,0,0,0,5,5,0,0,0,0,CHN,0,1,0
holtc001,CHN200005030,18,7,4,4,4,112,2,1,5,1,0,1,1,29,24,0,0,0,0,CHN,0,1,1
powej001,CHN200005030,6,0,0,0,0,23,1,0,0,0,0,0,0,6,6,0,0,0,0,CHN,0,1,0
elars001,CHN200005040,18,4,2,1,1,73,2,1,1,2,0,0,0,24,22,0,0,0,0,CHN,0,1,1
maddm002,CHN200005040,3,2,0,1,1,17,1,1,1,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
cabrj001,CHN200005040,2,3,0,0,0,15,0,0,3,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
wagnb001,CHN200005040,4,0,0,0,0,24,1,0,0,0,0,0,0,4,4,0,0,0,0,CHN,0,1,0
millw001,CHN200009080,16,5,4,5,5,110,6,3,2,0,0,0,1,25,20,0,0,0,0,CHN,0,1,1
cabrj001,CHN200009080,2,2,1,3,3,23,0,1,1,0,0,0,0,5,4,0,0,0,0,CHN,0,1,0
valdm001,CHN200009080,3,0,1,2,2,18,0,0,0,0,0,0,1,6,4,0,0,0,0,CHN,0,1,0
slusj001,CHN200009080,4,3,1,0,0,37,2,0,2,1,0,0,0,8,7,0,0,0,1,CHN,0,1,0
doteo001,CHN200009080,2,0,0,0,0,11,1,0,0,0,0,0,0,2,2,0,0,0,0,CHN,0,1,0
holtc001,CHN200009090,20,9,1,4,4,89,2,0,6,2,1,0,0,30,29,0,0,0,0,CHN,0,1,1
franw001,CHN200009090,4,0,0,0,0,16,1,0,0,0,0,0,0,4,4,0,0,0,0,CHN,0,1,0
meacr001,CHN200009090,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
