version,2
info,visteam,MIN
info,hometeam,KCA
info,site,KAN06
info,date,2000/04/07
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,gibsg901
info,ump1b,ripps901
info,ump2b,tscht901
info,ump3b,meric901
info,pitches,pitches
info,temp,63
info,winddir,torf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,191
info,attendance,40474
info,wp,fussc001
info,lp,millt001
info,save,
start,walkt002,"Todd Walker",0,1,4
start,guzmc001,"Cristian Guzman",0,2,6
start,lawtm002,"Matt Lawton",0,3,9
start,huskb001,"Butch Huskey",0,4,10
start,koskc001,"Corey Koskie",0,5,5
start,coomr001,"Ron Coomer",0,6,3
start,jonej003,"Jacque Jones",0,7,7
start,lecrm001,"Matt LeCroy",0,8,2
start,huntt001,"Torii Hunter",0,9,8
start,santj003,"Johan Santana",0,0,1
start,damoj001,"Johnny Damon",1,1,7
start,feblc001,"Carlos Febles",1,2,4
start,beltc001,"Carlos Beltran",1,3,8
start,dye-j001,"Jermaine Dye",1,4,9
start,sweem002,"Mike Sweeney",1,5,3
start,randj002,"Joe Randa",1,6,5
start,quinm001,"Mark Quinn",1,7,10
start,johnb002,"Brian Johnson",1,8,2
start,sancr001,"Rey Sanchez",1,9,6
start,suzum001,"Mac Suzuki",1,0,1
play,1,0,walkt002,22,BBCFFX,31/G
play,1,0,guzmc001,22,SBCFFBFX,S9
play,1,0,lawtm002,11,CBX,53/G.1-2
play,1,0,huskb001,02,FSX,5/P5
play,1,1,damoj001,21,BBCX,8/F8
play,1,1,feblc001,22,CFBBX,7/L7
play,1,1,beltc001,21,BFBX,7/L7
play,2,0,koskc001,32,CSBBFBB,W
play,2,0,coomr001,11,BCX,S9/9S.1-3
play,2,0,jonej003,00,X,31/G.3-H;1-2
play,2,0,lecrm001,32,BSSBBB,W
play,2,0,huntt001,32,BBFFBFB,W.2-3;1-2
play,2,0,walkt002,12,SBCFS,K
play,2,0,guzmc001,31,BBFBX,T8.3-H;2-H;1-H
play,2,0,lawtm002,21,BBFX,3/G
play,2,1,dye-j001,01,CX,43/G
play,2,1,sweem002,22,FBBFX,7/F7
play,2,1,randj002,32,CBCFBBB,W
play,2,1,quinm001,01,FX,S.1-2
play,2,1,johnb002,01,CX,4/P4
play,3,0,huskb001,22,BFFFBS,K23
play,3,0,koskc001,02,FCC,K/C
play,3,0,coomr001,21,CBBX,63/G
play,3,1,sancr001,10,BX,S8
play,3,1,damoj001,12,CFBFX,64(1)/FO
play,3,1,feblc001,31,BFBBB,W.1-2
play,3,1,beltc001,00,X,143/DP.2XH(4352)
play,4,0,jonej003,32,CBFBBX,31/G
