version,2
info,visteam,SEA
info,hometeam,KCA
info,site,KAN06
info,date,2000/04/29
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,mcclt901
info,ump1b,fostm901
info,ump2b,kulpr901
info,ump3b,herna901
info,pitches,pitches
info,temp,70
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,175
info,attendance,26879
info,wp,selea001
info,lp,suppj001
info,save,
start,mclem001,"Mark McLemore",0,1,4
start,javis001,"Stan Javier",0,2,7
start,rodra001,"Alex Rodriguez",0,3,6
start,olerj001,"John Olerud",0,4,3
start,marte001,"Edgar Martinez",0,5,10
start,lampt001,"Tom Lampkin",0,6,2
start,ibanr001,"Raul Ibanez",0,7,9
start,guilc001,"Carlos Guillen",0,8,5
start,camem001,"Mike Cameron",0,9,8
start,selea001,"Aaron Sele",0,0,1
start,damoj001,"Johnny Damon",1,1,7
start,feblc001,"Carlos Febles",1,2,4
start,sweem002,"Mike Sweeney",1,3,3
start,dye-j001,"Jermaine Dye",1,4,9
start,beltc001,"Carlos Beltran",1,5,8
start,randj002,"Joe Randa",1,6,5
start,poses001,"Scott Pose",1,7,10
start,johnb002,"Brian Johnson",1,8,2
start,sancr001,"Rey Sanchez",1,9,6
start,suppj001,"Jeff Suppan",1,0,1
play,1,0,mclem001,22,BCFBX,43/G
play,1,0,javis001,12,BCCX,43/G
play,1,0,rodra001,12,CBFX,HR/7
play,1,0,olerj001,00,X,D7
play,1,0,marte001,12,BFFX,63/G
play,1,1,damoj001,01,FX,S1/BG1
play,1,1,feblc001,00,X,53/SH.1-2
play,1,1,sweem002,02,CFX,HR/7.2-H
play,1,1,dye-j001,32,CBBBCX,S7
play,1,1,beltc001,10,BX,64(1)3/GDP
play,2,0,lampt001,12,CCBC,K/C
play,2,0,ibanr001,01,CX,S9
play,2,0,guilc001,12,BCFX,8/F8
play,2,0,camem001,31,BBBCX,HR/7.1-H
play,2,0,mclem001,10,BX,T8
play,2,0,javis001,00,X,63/G
play,2,1,randj002,10,BX,53/G
play,2,1,poses001,12,SBFX,53/G
play,2,1,johnb002,00,X,D9
play,2,1,sancr001,12,CFBFX,41/G
play,3,0,rodra001,11,BCX,S8/8S
play,3,0,olerj001,01,CX,D9/9S.1-3
play,3,0,marte001,21,BBCX,53/G.3-H
play,3,0,lampt001,01,FX,43/G.2-3
play,3,0,ibanr001,11,BFX,63/G
play,3,1,damoj001,10,BX,T/78
play,3,1,feblc001,02,CCFX,13/G
play,3,1,sweem002,30,BBBB,W
play,3,1,dye-j001,00,X,S7.3-H;1-2
play,3,1,beltc001,01,CB,OA.2X3(25);1-2
play,3,1,beltc001,21,CBBX,S7/7S.2-3
play,3,1,randj002,10,BX,9/F9
play,4,0,guilc001,00,X,S3/BG3
play,4,0,camem001,32,CBBLFB1,PO1(E1).1-2
play,4,0,camem001,32,CBBLFB1X,S9.2-3
play,4,0,mclem001,00,,NP
sub,suzum001,"Mac Suzuki",1,0,1
play,4,0,mclem001,01,CX,3/G.3-H;1-2
play,4,0,javis001,00,X,S9.2-H;B-2(THH)
play,4,0,rodra001,12,CBSFFS,K
play,4,0,olerj001,01,CB,WP.2-3
play,4,0,olerj001,31,CBBBI,IW
play,4,0,marte001,11,CBX,54(1)/FO
play,4,1,poses001,31,BBBCB,W
play,4,1,johnb002,32,FBBFFBFS,K+CS2(26)/DP
