version,2
info,visteam,CHA
info,hometeam,KCA
info,site,KAN06
info,date,2000/05/07
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,fleta901
info,ump1b,morrd901
info,ump2b,mckej901
info,ump3b,danlk901
info,pitches,pitches
info,temp,68
info,winddir,rtol
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,205
info,attendance,23107
info,wp,bottr001
info,lp,wunsk001
info,save,
start,durhr001,"Ray Durham",0,1,4
start,valej003,"Jose Valentin",0,2,6
start,thomf001,"Frank Thomas",0,3,10
start,ordom001,"Magglio Ordonez",0,4,9
start,konep001,"Paul Konerko",0,5,3
start,singc001,"Chris Singleton",0,6,8
start,lee-c001,"Carlos Lee",0,7,7
start,nortg001,"Greg Norton",0,8,5
start,paulj001,"Josh Paul",0,9,2
start,wellk001,"Kip Wells",0,0,1
start,damoj001,"Johnny Damon",1,1,8
start,feblc001,"Carlos Febles",1,2,4
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,quinm001,"Mark Quinn",1,5,7
start,randj002,"Joe Randa",1,6,5
start,mccad001,"David McCarty",1,7,3
start,fabrj001,"Jorge Fabregas",1,8,2
start,sancr001,"Rey Sanchez",1,9,6
start,batim001,"Miguel Batista",1,0,1
play,1,0,durhr001,22,BCSBFX,9/F9S
play,1,0,valej003,11,CBX,8/F8S
play,1,0,thomf001,21,FBBX,9/F9D
play,1,1,damoj001,20,BBX,S8/8S
play,1,1,feblc001,10,BB,SB2
play,1,1,feblc001,30,BBBB,W
play,1,1,sweem002,00,B,WP.2-3;1-2
play,1,1,sweem002,11,BFX,63/G.3-H
play,1,1,dye-j001,02,SFX,HR/78.2-H
play,1,1,quinm001,02,CSX,D7/7S
play,1,1,randj002,12,SBCFS,K
play,1,1,mccad001,20,BBX,63/G
play,2,0,ordom001,32,BCFBFBFX,HR/7
play,2,0,konep001,21,BBFX,4/P4
play,2,0,singc001,12,FFBX,5/FL
play,2,0,lee-c001,10,BX,8/L8
play,2,1,fabrj001,32,BBBCFFX,8/F8
play,2,1,sancr001,10,BX,63/G
play,2,1,damoj001,22,BFBFX,5/P5
play,3,0,nortg001,12,BFFX,9/F9
play,3,0,paulj001,32,BCBFFFBB,W
play,3,0,durhr001,22,CCBBX,HR/78.1-H
play,3,0,valej003,10,BX,31/G
play,3,0,thomf001,20,BBX,43/G
play,3,1,feblc001,01,CX,3E1/G
play,3,1,sweem002,10,BX,9/F9D
play,3,1,dye-j001,21,BCBB,CS2(24)
play,3,1,dye-j001,31,BCBBB,W
play,3,1,quinm001,22,CBBFX,9/F9D
play,4,0,ordom001,32,BBFBCX,9/L9
play,4,0,konep001,20,BBX,53/G
play,4,0,singc001,01,CX,5/FL
play,4,1,randj002,22,CBBCX,63/G
play,4,1,mccad001,31,BCBBX,S8/8S
play,4,1,fabrj001,01,CX,43/G.1-2
play,4,1,sancr001,01,CX,S9.2-H;B-3(E9)
play,4,1,damoj001,21,BBFX,6/L6
play,5,0,lee-c001,20,BBX,53/G
play,5,0,nortg001,10,BX,S9
play,5,0,paulj001,00,X,16(1)/FO
play,5,0,durhr001,30,BBBB,W.1-2
