version,2
info,visteam,PIT
info,hometeam,KCA
info,site,KAN06
info,date,2000/06/09
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,relic901
info,ump1b,carlm901
info,ump2b,demud901
info,ump3b,eddid901
info,pitches,pitches
info,temp,80
info,winddir,rtol
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,187
info,attendance,30963
info,wp,spraj001
info,lp,chrij002
info,save,
start,morrw001,"Warren Morris",0,1,4
start,kendj001,"Jason Kendall",0,2,2
start,cordw001,"Wil Cordero",0,3,7
start,gileb002,"Brian Giles",0,4,8
start,vandj001,"John Vander Wal",0,5,10
start,younk001,"Kevin Young",0,6,3
start,mearp001,"Pat Meares",0,7,6
start,sojol001,"Luis Sojo",0,8,5
start,browa001,"Adrian Brown",0,9,9
start,schmj001,"Jason Schmidt",0,0,1
start,damoj001,"Johnny Damon",1,1,7
start,reboj001,"Jeff Reboulet",1,2,4
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,beltc001,"Carlos Beltran",1,5,8
start,randj002,"Joe Randa",1,6,5
start,mccad001,"David McCarty",1,7,3
start,johnb002,"Brian Johnson",1,8,2
start,sancr001,"Rey Sanchez",1,9,6
start,suppj001,"Jeff Suppan",1,0,1
play,1,0,morrw001,12,FCBS,K
play,1,0,kendj001,22,BCFBX,9/F9
play,1,0,cordw001,10,BX,6/L6
play,1,1,damoj001,10,BX,8/F8
play,1,1,reboj001,01,CX,8/F8
play,1,1,sweem002,32,BBFBFX,HR/78
play,1,1,dye-j001,32,FBBBCFFX,D/78
play,1,1,beltc001,31,BFBBB,W
play,1,1,randj002,11,BCX,63/G
play,2,0,gileb002,22,CCBBX,31/G
play,2,0,vandj001,20,BBX,S8
play,2,0,younk001,12,CBFX,3(B)3(1)/LDP
play,2,1,mccad001,22,CFBBFX,8/F8
play,2,1,johnb002,32,CBBFBFC,K/C
play,2,1,sancr001,10,BX,63/G
play,3,0,mearp001,22,BFBFX,3/FL
play,3,0,sojol001,32,BBFCBX,S9
play,3,0,browa001,00,X,16(1)/FO
play,3,0,morrw001,11,BCB,SB2
play,3,0,morrw001,31,BCBBX,D/78.2-H
play,3,0,kendj001,22,CBCBX,63/G
play,3,1,damoj001,32,BCBFFBX,S7
play,3,1,reboj001,10,BX,64(1)3/GDP
play,3,1,sweem002,32,CBBBFX,S9
play,3,1,dye-j001,31,BBBFB,W.1-2
play,3,1,beltc001,31,BBFBX,6/FL
play,4,0,cordw001,32,BSBSFBFFX,7/F7
play,4,0,gileb002,11,CBX,43/G
play,4,0,vandj001,22,BFBFS,K
play,4,1,randj002,32,BBCFBFX,3/G
play,4,1,mccad001,32,BSFBBFB,W
play,4,1,johnb002,00,X,46(1)/FO
play,4,1,sancr001,10,BX,S9.1-2
