version,2
info,visteam,PIT
info,hometeam,KCA
info,site,KAN06
info,date,2000/06/10
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,carlm901
info,ump1b,demud901
info,ump2b,eddid901
info,ump3b,relic901
info,pitches,pitches
info,temp,69
info,winddir,tolf
info,windspeed,14
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,230
info,attendance,34868
info,wp,bottr001
info,lp,silvj001
info,save,
start,morrw001,"Warren Morris",0,1,4
start,kendj001,"Jason Kendall",0,2,2
start,cordw001,"Wil Cordero",0,3,7
start,gileb002,"Brian Giles",0,4,8
start,vandj001,"John Vander Wal",0,5,10
start,younk001,"Kevin Young",0,6,3
start,browa001,"Adrian Brown",0,7,9
start,benjm001,"Mike Benjamin",0,8,5
start,nunea001,"Abraham O. Nunez",0,9,6
start,bensk001,"Kris Benson",0,0,1
start,damoj001,"Johnny Damon",1,1,7
start,reboj001,"Jeff Reboulet",1,2,4
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,beltc001,"Carlos Beltran",1,5,8
start,randj002,"Joe Randa",1,6,5
start,mccad001,"David McCarty",1,7,3
start,zaung001,"Gregg Zaun",1,8,2
start,sancr001,"Rey Sanchez",1,9,6
start,suzum001,"Mac Suzuki",1,0,1
play,1,0,morrw001,21,BBCX,S8
play,1,0,kendj001,00,X,8/F8
play,1,0,cordw001,22,CSBBS,K
play,1,0,gileb002,11,FBX,3/G
play,1,1,damoj001,01,CX,13/G
play,1,1,reboj001,00,X,53/G
play,1,1,sweem002,31,BBBCX,9/F9
play,2,0,vandj001,12,CSBFS,K
play,2,0,younk001,00,X,S8/8S
play,2,0,browa001,11,CBS,SB2.1-3(E2/TH2)
play,2,0,browa001,12,CBSS,K
play,2,0,benjm001,12,BSSS,K
play,2,1,dye-j001,01,CX,43/G
play,2,1,beltc001,12,BFCX,7/F7
play,2,1,randj002,21,BFBX,53/G
play,3,0,nunea001,10,BX,4/L4
play,3,0,morrw001,22,FBCBX,S8
play,3,0,kendj001,00,S,CS2(24)
play,3,0,kendj001,12,SSBX,S7
play,3,0,cordw001,00,B,WP.1-2
play,3,0,cordw001,22,BBSSS,K
play,3,1,mccad001,00,X,43/G
play,3,1,zaung001,20,BBX,63/G
play,3,1,sancr001,10,BX,S8
play,3,1,damoj001,30,BBBB,W.1-2
play,3,1,reboj001,12,SBCX,63/G
play,4,0,gileb002,32,BFBBFFX,3/G
play,4,0,vandj001,32,BFBBCS,K23
play,4,0,younk001,32,BCBSBS,K
play,4,1,sweem002,22,LBSFFBS,K
play,4,1,dye-j001,30,BBBB,W
play,4,1,beltc001,00,X,13/G.1-2
play,4,1,randj002,31,BBBFX,S7.2-H
play,4,1,mccad001,12,SSBS,K
play,5,0,browa001,21,BFBX,S9/9S
play,5,0,benjm001,31,BBBCX,7/F7S
play,5,0,nunea001,21,FBBX,46(1)3/GDP
play,5,1,zaung001,32,BBBCSFS,K
play,5,1,sancr001,12,FCBC,K/C
play,5,1,damoj001,10,BX,43/G
play,6,0,morrw001,20,BBX,S9
play,6,0,kendj001,11,BCX,6(1)3/GDP
play,6,0,cordw001,32,LCBBBFB,W
play,6,0,gileb002,22,SBBSX,7/F7
play,6,1,reboj001,20,BBX,S/78
play,6,1,sweem002,12,BCSX,64(1)/FO
play,6,1,dye-j001,00,X,6/P6
play,6,1,beltc001,00,X,8/F8
play,7,0,vandj001,00,X,3/G
play,7,0,younk001,00,X,8/F8D
play,7,0,browa001,20,BBX,3/G
play,7,1,randj002,01,SX,7/F7
play,7,1,mccad001,11,BSX,53/G
play,7,1,zaung001,31,CBBBB,W
play,7,1,sancr001,21,BBCX,S.1-2
play,7,1,damoj001,32,BFFBFFBS,K
play,8,0,benjm001,12,SFFBX,63/G
play,8,0,nunea001,10,BX,5/L5
play,8,0,morrw001,00,X,S
play,8,0,kendj001,12,BCFH,HP.1-2
play,8,0,cordw001,12,CFFFBX,5(2)/FO.1-2
play,8,1,reboj001,00,X,9/F9
play,8,1,sweem002,32,BBFSFBC,K/C
play,8,1,dye-j001,11,BFX,S7/7S
play,8,1,beltc001,32,BCBBCB,W.1-2
play,8,1,randj002,22,SBBSFX,9/F9D
play,9,0,gileb002,32,CFFFBBBX,7/F7
play,9,0,vandj001,11,BCX,63/G
play,9,0,younk001,01,SX,S7
play,9,0,browa001,01,CB,SB2
play,9,0,browa001,11,CBX,S8/8S.2-H
play,9,0,benjm001,00,,NP
sub,reicd001,"Dan Reichert",1,0,1
play,9,0,benjm001,11,BSX,7/F7
play,9,1,mccad001,00,,NP
sub,benjm001,"Mike Benjamin",0,8,6
play,9,1,mccad001,00,,NP
sub,sojol001,"Luis Sojo",0,9,5
play,9,1,mccad001,00,,NP
sub,willm005,"Mike Williams",0,0,1
play,9,1,mccad001,00,X,63/G
play,9,1,zaung001,01,CX,43/G
play,9,1,sancr001,22,CSBBS,K
play,10,0,sojol001,01,CX,S7
play,10,0,morrw001,12,LBFX,16(1)/FO
play,10,0,kendj001,32,BSBBCX,S7/7S.1-3
play,10,0,cordw001,32,BCBFBFFFB,W.1-2
play,10,0,gileb002,11,BSX,3/L3
play,10,0,vandj001,22,BSCBS,K
play,10,1,damoj001,21,BBCX,8/F8
play,10,1,reboj001,12,CSBFX,S9
play,10,1,sweem002,00,,NP
sub,ordal001,"Luis Ordaz",1,2,12
play,10,1,sweem002,31,BBBCX,8/F8
play,10,1,dye-j001,12,SBSB,SB2
play,10,1,dye-j001,32,SBSBBFX,S.2-3
play,10,1,beltc001,00,B,DI.1-2
play,10,1,beltc001,22,BBCFX,43/G
play,11,0,younk001,00,,NP
sub,ordal001,"Luis Ordaz",1,2,4
play,11,0,younk001,00,,NP
sub,bottr001,"Ricky Bottalico",1,0,1
play,11,0,younk001,12,BCSS,K
play,11,0,browa001,22,CCBBX,S8
play,11,0,benjm001,22,FSBBS,K
play,11,0,sojol001,21,BCBX,7/F7
play,11,1,randj002,00,,NP
sub,silvj001,"Jose Silva",0,0,1
play,11,1,randj002,11,BCX,3/FL
play,11,1,mccad001,01,FX,13/G
play,11,1,zaung001,10,BX,S9
play,11,1,sancr001,21,CBBX,63/G
play,12,0,morrw001,12,CFBX,S9
play,12,0,kendj001,00,X,13/SH.1-2
play,12,0,cordw001,00,X,7/F7
play,12,0,gileb002,30,IIII,IW
play,12,0,vandj001,22,BBFCS,K
play,12,1,damoj001,02,CFX,S
play,12,1,ordal001,10,BX,14/SH.1-2
play,12,1,sweem002,02,CSX,S8.2-H
data,er,bensk001,1
data,er,willm005,0
data,er,silvj001,1
data,er,suzum001,1
data,er,reicd001,0
data,er,bottr001,0
