version,2
info,visteam,CHA
info,hometeam,KCA
info,site,KAN06
info,date,2000/07/05
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,danlk901
info,ump1b,katzt901
info,ump2b,mckej901
info,ump3b,fichm901
info,pitches,pitches
info,temp,83
info,winddir,torf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,262
info,attendance,15009
info,wp,wunsk001
info,lp,bochd001
info,save,
start,durhr001,"Ray Durham",0,1,4
start,valej003,"Jose Valentin",0,2,6
start,thomf001,"Frank Thomas",0,3,10
start,ordom001,"Magglio Ordonez",0,4,9
start,konep001,"Paul Konerko",0,5,3
start,singc001,"Chris Singleton",0,6,8
start,lee-c001,"Carlos Lee",0,7,7
start,perrh001,"Herbert Perry",0,8,5
start,fordb001,"Brook Fordyce",0,9,2
start,parqj001,"Jim Parque",0,0,1
start,damoj001,"Johnny Damon",1,1,8
start,sancr001,"Rey Sanchez",1,2,6
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,quinm001,"Mark Quinn",1,5,7
start,randj002,"Joe Randa",1,6,5
start,mccad001,"David McCarty",1,7,3
start,zaung001,"Gregg Zaun",1,8,2
start,ordal001,"Luis Ordaz",1,9,4
start,reicd001,"Dan Reichert",1,0,1
play,1,0,durhr001,11,BFX,13/G
play,1,0,valej003,01,CX,7/F7D
play,1,0,thomf001,20,BBX,S
play,1,0,ordom001,00,B,WP.1-2
play,1,0,ordom001,12,BCCX,63/G
play,1,1,damoj001,32,BCBBCX,S8
play,1,1,sancr001,22,FBFBX,64(1)3/GDP
play,1,1,sweem002,12,BFFS,K
play,2,0,konep001,22,CBBFC,K/C
play,2,0,singc001,01,SX,T/78
play,2,0,lee-c001,21,BBSX,9/SF.3-H
play,2,0,perrh001,00,X,S9
play,2,0,fordb001,02,FCX,8/L8
play,2,1,dye-j001,32,BBCFBC,K/C
play,2,1,quinm001,12,CFBC,K/C
play,2,1,randj002,10,BX,S8
play,2,1,mccad001,12,CCBS,K
play,3,0,durhr001,30,BBBB,W
play,3,0,valej003,00,X,53/SH.1-2
play,3,0,thomf001,12,BCSB,WP.2-3
play,3,0,thomf001,22,BCSBFX,S8/8S.3-H
play,3,0,ordom001,01,FX,9/L9
play,3,0,konep001,12,CBCX,43/G
play,3,1,zaung001,11,CBX,63/G
play,3,1,ordal001,32,CBBFFBX,S7
play,3,1,damoj001,00,X,3/G.1-2
play,3,1,sancr001,21,BBCX,9/F9D
play,4,0,singc001,22,SFBBS,K
play,4,0,lee-c001,12,CBSFS,K
play,4,0,perrh001,00,X,13/G
play,4,1,sweem002,00,X,S8
play,4,1,dye-j001,11,FBX,S8.1-2
play,4,1,quinm001,00,X,3/G.2-3;1-2
play,4,1,randj002,12,CBCX,63/G.3-H
play,4,1,mccad001,00,X,D9.2-H
play,4,1,zaung001,30,BBBB,W
play,4,1,ordal001,12,CFFBFX,53/G
play,5,0,fordb001,11,CBH,HP
play,5,0,durhr001,20,BBX,46(1)3/GDP
play,5,0,valej003,12,SFFBX,9/F9
play,5,1,damoj001,22,CBFFBX,8/F8D
play,5,1,sancr001,00,X,S8/8S
play,5,1,sweem002,12,FCFBX,S9.1-2
play,5,1,dye-j001,32,FBFBBX,4/P4
play,5,1,quinm001,00,X,3/L3
play,6,0,thomf001,22,FFFBBX,63/G
play,6,0,ordom001,22,BBCSFX,S
play,6,0,konep001,11,CBX,53/G.1-2
play,6,0,singc001,00,X,6/P6
play,6,1,randj002,11,CBX,E6/G
play,6,1,mccad001,32,BCBFBFX,D/78.1-H(UR)
play,6,1,zaung001,12,BFCX,S.2X2(4)#
com,"ej,muset101,M,mckej901,Call at 2B"
com,"Royals manager Tony Muser ejected by 2B umpire Jim McKean"
play,6,1,ordal001,11,CBX,36(1)/FO
play,6,1,damoj001,00,X,46(1)/FO
play,7,0,lee-c001,31,BBCBX,53/G
play,7,0,perrh001,12,SBSFX,S8/8S
play,7,0,fordb001,01,FX,S/78S.1-2
play,7,0,durhr001,12,CSFBFS,K
play,7,0,valej003,12,FBFS,K
play,7,1,sancr001,00,,NP
sub,simab001,"Bill Simas",0,0,1
play,7,1,sancr001,01,CX,S7
play,7,1,sweem002,00,X,S5/BG5.1-2
play,7,1,dye-j001,02,FCX,8/F8.2-3
play,7,1,quinm001,00,X,46(1)3/GDP
play,8,0,thomf001,11,BFX,53/G
play,8,0,ordom001,22,BBCCS,K
play,8,0,konep001,22,BCBSX,HR/7
play,8,0,singc001,11,BFX,5/P5
play,8,1,randj002,00,,NP
sub,howrb001,"Bobby Howry",0,0,1
play,8,1,randj002,01,FX,S8
play,8,1,mccad001,12,FCBX,16(1)3/GDP
play,8,1,zaung001,31,CBBBX,63/G
play,9,0,lee-c001,00,,NP
sub,bottr001,"Ricky Bottalico",1,0,1
play,9,0,lee-c001,01,CX,S8/8S
play,9,0,perrh001,01,LX,54/SH.1-2
play,9,0,fordb001,12,BCFS,K
play,9,0,durhr001,22,SBFBS,K
play,9,1,ordal001,00,,NP
sub,dunwt001,"Todd Dunwoody",1,9,11
play,9,1,dunwt001,22,CBSFBFS,K
play,9,1,damoj001,32,CBCFBBFX,6/FL
play,9,1,sancr001,00,X,S
play,9,1,sweem002,12,BSFFS,K
play,10,0,valej003,00,,NP
sub,reboj001,"Jeff Reboulet",1,9,4
play,10,0,valej003,11,CBX,D9/9D
play,10,0,thomf001,02,CFS,K
play,10,0,ordom001,10,BX,8/F8D.2-3
play,10,0,konep001,10,BX,7/F7
play,10,1,dye-j001,00,,NP
sub,foulk001,"Keith Foulke",0,0,1
play,10,1,dye-j001,12,FCFBFX,S9
play,10,1,quinm001,21,FBBX,54(1)/FO
play,10,1,randj002,11,CBX,8/F8
play,10,1,mccad001,22,FBBSS,K
play,11,0,singc001,11,CBX,E7/F
play,11,0,lee-c001,01,LX,54/SH.1-2
play,11,0,perrh001,21,FBBX,4/P4
play,11,0,fordb001,00,,NP
sub,abboj002,"Jeff Abbott",0,9,11
play,11,0,abboj002,01,CX,43/G
play,11,1,zaung001,00,,NP
sub,johnm003,"Mark Johnson",0,9,2
play,11,1,zaung001,32,BFFBFBFB,W
play,11,1,reboj001,00,X,34/SH.1-2
play,11,1,damoj001,30,IIII,IW
play,11,1,sancr001,01,CX,S3/BG3.2-3;1-2
play,11,1,sweem002,32,BBBCCX,4(1)3/GDP
play,12,0,durhr001,00,,NP
sub,bochd001,"Doug Bochtler",1,0,1
play,12,0,durhr001,21,BCBX,E4/G
play,12,0,valej003,00,X,34/SH.1-2
play,12,0,thomf001,01,CB,WP.2-3
play,12,0,thomf001,31,CBIII,IW
play,12,0,ordom001,00,,NP
sub,graft001,"Tony Graffanino",0,3,12
play,12,0,ordom001,02,FFX,64(1)3/GDP
play,12,1,dye-j001,00,,NP
sub,wunsk001,"Kelly Wunsch",0,0,1
play,12,1,dye-j001,21,BCBX,43/G
play,12,1,quinm001,11,BFX,53/G
play,12,1,randj002,01,CX,S
play,12,1,mccad001,30,BBBB,W.1-2
play,12,1,zaung001,00,X,8/F8S
play,13,0,konep001,32,BCSBBFFFFFB,W
play,13,0,singc001,00,,NP
sub,nortg001,"Greg Norton",0,5,12
play,13,0,singc001,00,X,46(1)/FO
play,13,0,lee-c001,12,BFFX,9/L9
play,13,0,perrh001,00,B,SB2
play,13,0,perrh001,20,BBX,HR/78.2-H
play,13,0,johnm003,21,BBCX,HR/9
play,13,0,durhr001,02,CFX,D7
play,13,0,valej003,30,IIII,IW
play,13,0,graft001,20,BBX,9/F9S
play,13,1,reboj001,00,,NP
sub,nortg001,"Greg Norton",0,5,3
play,13,1,reboj001,00,,NP
sub,poses001,"Scott Pose",1,9,11
play,13,1,poses001,22,CBFFBS,K
play,13,1,damoj001,22,BCSBFS,K
play,13,1,sancr001,11,BCX,53/G
data,er,parqj001,2
data,er,simab001,0
data,er,howrb001,0
data,er,foulk001,0
data,er,wunsk001,0
data,er,reicd001,3
data,er,bottr001,0
data,er,bochd001,3
