version,2
info,visteam,CHN
info,hometeam,KCA
info,site,KAN06
info,date,2000/07/16
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,iassd901
info,ump1b,nelsj901
info,ump2b,cousd901
info,ump3b,marqa901
info,pitches,pitches
info,temp,88
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,206
info,attendance,36855
info,wp,woodk002
info,lp,reicd001
info,save,aguir001
start,youne001,"Eric Young",0,1,4
start,gutir001,"Ricky Gutierrez",0,2,6
start,gracm001,"Mark Grace",0,3,3
start,sosas001,"Sammy Sosa",0,4,9
start,rodrh001,"Henry Rodriguez",0,5,7
start,hillg001,"Glenallen Hill",0,6,10
start,greew001,"Willie Greene",0,7,5
start,giraj001,"Joe Girardi",0,8,2
start,browb003,"Brant Brown",0,9,8
start,woodk002,"Kerry Wood",0,0,1
start,damoj001,"Johnny Damon",1,1,8
start,sancr001,"Rey Sanchez",1,2,6
start,sweem002,"Mike Sweeney",1,3,3
start,dye-j001,"Jermaine Dye",1,4,9
start,quinm001,"Mark Quinn",1,5,7
start,randj002,"Joe Randa",1,6,5
start,dunwt001,"Todd Dunwoody",1,7,10
start,zaung001,"Gregg Zaun",1,8,2
start,ordal001,"Luis Ordaz",1,9,4
start,reicd001,"Dan Reichert",1,0,1
play,1,0,youne001,31,BBBCB,W
play,1,0,gutir001,21,BBCX,46(1)3/GDP
play,1,0,gracm001,32,BCBBCB,W
play,1,0,sosas001,02,CCX,HR/8.1-H
play,1,0,rodrh001,32,SBBFBFX,43/G
play,1,1,damoj001,01,CX,S8
play,1,1,sancr001,00,B,SB2
play,1,1,sancr001,10,BX,3/G.2-3
play,1,1,sweem002,22,BFBSFFX,S.3-H
play,1,1,dye-j001,01,SX,S9.1-3
play,1,1,quinm001,01,CX,S9.3-H;1-2
play,1,1,randj002,00,X,3/G.2-3;1-2
play,1,1,dunwt001,20,BBX,S8.3-H;2-H
play,1,1,zaung001,20,BBX,43/G
play,2,0,hillg001,10,BX,S7
play,2,0,greew001,20,BBX,4/P4
play,2,0,giraj001,01,CX,64(1)/FO
play,2,0,browb003,10,BX,43/G
play,2,1,ordal001,11,BCX,8/F8S
play,2,1,damoj001,01,CX,D7/7S
play,2,1,sancr001,00,X,3/G.2-3
play,2,1,sweem002,20,BBX,E6/G.3-H(NR)(UR)
play,2,1,dye-j001,00,C,CS2(24)
play,3,0,youne001,22,CBFFFBC,K/C
play,3,0,gutir001,32,SBBBCB,W
play,3,0,gracm001,12,BCSFX,3/G.1-2
play,3,0,sosas001,32,CBBSBX,HR/8.2-H
play,3,0,rodrh001,11,CBX,S7
play,3,0,hillg001,10,BX,9/F9
play,3,1,dye-j001,20,BBX,S7/7S
play,3,1,quinm001,21,FBBX,54(1)3/GDP
play,3,1,randj002,02,CFX,HR/7
play,3,1,dunwt001,30,BBBB,W
play,3,1,zaung001,30,BBBB,W.1-2
play,3,1,ordal001,10,BX,46(1)/FO.2-3
play,4,0,greew001,31,CBBBX,43/G
play,4,0,giraj001,00,X,53/G
play,4,0,browb003,31,BBBCB,W
play,4,0,youne001,00,X,64(1)/FO
play,4,1,damoj001,12,CBSX,7/F7
play,4,1,sancr001,12,CCBFX,63/G
play,4,1,sweem002,22,FFBBFS,K
play,5,0,gutir001,32,BBCFBFX,53/G
play,5,0,gracm001,30,BBBB,W
play,5,0,sosas001,31,BBBFB,W.1-2
play,5,0,rodrh001,00,X,S9.2-H;1-3
play,5,0,hillg001,32,CBBSBX,S7/7S.3-H;1-2
play,5,0,greew001,00,,NP
sub,witaj001,"Jay Witasick",1,0,1
play,5,0,greew001,32,BBCSBX,T9.2-H;1-H
play,5,0,giraj001,21,BFBX,S8.3-H
play,5,0,browb003,11,CBX,64(1)3/GDP
play,5,1,dye-j001,22,CBBFX,31/G
play,5,1,quinm001,32,FCBBBFB,W
play,5,1,randj002,20,BBX,S9.1-3
play,5,1,dunwt001,00,X,S8/8S.3-H;1-2
play,5,1,zaung001,00,X,9/F9
play,5,1,ordal001,32,BCBBFS,K
play,6,0,youne001,32,BBFBCX,9/F9S
play,6,0,gutir001,10,BX,9/F9
play,6,0,gracm001,11,CBX,63/G
play,6,1,damoj001,00,,NP
sub,vanpt001,"Todd Van Poppel",0,0,1
play,6,1,damoj001,01,CX,S9
play,6,1,sancr001,32,BFBBFS,K+SB2
play,6,1,sweem002,12,CSBX,8/L8
play,6,1,dye-j001,32,BCFFBFFBFS,K
play,7,0,sosas001,12,CFBS,K
play,7,0,rodrh001,11,CBX,3/G
play,7,0,hillg001,00,X,53/G
play,7,1,quinm001,22,FBBCX,6/P6
play,7,1,randj002,12,CCBX,S8
play,7,1,dunwt001,12,BFFS,K
play,7,1,zaung001,01,CX,8/F8S
play,8,0,greew001,30,BBBB,W
play,8,0,giraj001,10,BX,S.1-2
play,8,0,browb003,10,BX,8/F8
play,8,0,youne001,00,X,54(1)/FO.2-3
play,8,0,gutir001,01,CX,S7/7S.3-H;1-2
play,8,0,gracm001,00,,NP
sub,byrdt001,"Tim Byrdak",1,0,1
play,8,0,gracm001,00,X,31/G
play,8,1,ordal001,00,,NP
sub,poses001,"Scott Pose",1,9,11
play,8,1,poses001,02,CCX,13/G
play,8,1,damoj001,20,BBX,S7
play,8,1,sancr001,30,BBBB,W.1-2
play,8,1,sweem002,00,,NP
sub,worrt002,"Tim Worrell",0,0,1
play,8,1,sweem002,10,BX,9/F9.2-3
play,8,1,dye-j001,32,BCFBBB,W.1-2
play,8,1,quinm001,12,CSBX,53/G
play,9,0,sosas001,00,,NP
sub,reboj001,"Jeff Reboulet",1,9,4
play,9,0,sosas001,00,,NP
sub,bochd001,"Doug Bochtler",1,0,1
play,9,0,sosas001,01,FX,53/G
play,9,0,rodrh001,12,BFSS,K
play,9,0,hillg001,01,FX,63/G
play,9,1,randj002,00,,NP
sub,mattg002,"Gary Jr. Matthews",0,5,7
play,9,1,randj002,00,,NP
sub,aguir001,"Rick Aguilera",0,0,1
play,9,1,randj002,22,CSBFBFX,S8
play,9,1,dunwt001,02,SSS,K
play,9,1,zaung001,12,CBSX,31/G.1-2
play,9,1,reboj001,00,,NP
sub,fabrj001,"Jorge Fabregas",1,9,11
play,9,1,fabrj001,22,SFBFBX,341/G
data,er,woodk002,6
data,er,vanpt001,0
data,er,worrt002,0
data,er,aguir001,0
data,er,reicd001,8
data,er,witaj001,2
