advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,21,1,,,,,0,4,FBBX,suzum001,1,0,,willg001,0,F
,21,1,,,,,1,8,BFBX,suzum001,1,0,,cairm001,0,
,12,1,,,,,2,12,CCBS,suzum001,1,0,vaugg001 strikes out. ,vaugg001,0,
,11,1,,,,,3,3,CBX,lopea002,1,0,damoj001 grounds out. ,damoj001,1,G
,10,1,,,,,4,5,BX,lopea002,1,0,sancr001 grounds out. ,sancr001,1,G
,01,1,,,,,5,7,CX,lopea002,1,0,sweem002 grounds out. ,sweem002,1,G
,02,2,,,,,6,15,FFC,suzum001,1,0,mcgrf001 strikes out. ,mcgrf001,0,
,22,2,,,,,7,20,CSBBC,suzum001,1,0,cansj001 strikes out. ,cansj001,0,
,12,2,,,,,8,26,CCBFFS,suzum001,1,0,cox-s001 strikes out. ,cox-s001,0,
,11,2,,,,,9,10,CBX,lopea002,1,0,dye-j001 grounds out. ,dye-j001,1,G
,00,2,,,,,10,11,X,lopea002,1,0,,randj002,1,F
,12,2,,,,,11,15,CSBS,lopea002,1,0,quinm001 strikes out. ,quinm001,1,
,01,3,,,,,12,28,SX,suzum001,1,0,castv001 grounds out. ,castv001,0,G
,12,3,flahj001,,,,13,34,CBSFFX,suzum001,0,0,flahj001 singles. ,flahj001,0,
,10,3,flahj001,,,,14,36,BX,suzum001,1,0,,martf001,0,F
,02,3,flahj001,,,,15,39,FSS,suzum001,1,0,willg001 strikes out. ,willg001,0,
,02,3,,,,,16,19,CFFX,lopea002,1,0,dunwt001 grounds out. ,dunwt001,1,G
,01,3,zaung001,,,,17,21,CX,lopea002,0,0,zaung001 singles. ,zaung001,1,
zaung001 to 2B. ,00,3,feblc001,zaung001,,,18,22,X,lopea002,0,0,feblc001 singles. ,feblc001,1,
,22,3,feblc001,zaung001,,,19,28,BCFFBX,lopea002,1,0,,damoj001,1,F
,20,3,feblc001,zaung001,,,20,31,BBX,lopea002,1,0,sancr001 grounds out. ,sancr001,1,G
,01,4,,,,,21,41,CX,suzum001,1,0,cairm001 grounds out. ,cairm001,0,G
,31,4,vaugg001,,,,22,46,BBFBB,suzum001,0,0,vaugg001 walks. ,vaugg001,0,
,22,4,vaugg001,,,,23,51,BCSBS,suzum001,1,0,mcgrf001 strikes out. ,mcgrf001,0,
vaugg001 to 2B. ,32,4,cansj001,vaugg001,,,24,57,CFBBBB,suzum001,0,0,cansj001 walks. ,cansj001,0,
vaugg001 to 3B. cansj001 to 2B. ,31,4,cox-s001,cansj001,vaugg001,,25,62,BBBCB,suzum001,0,0,cox-s001 walks. ,cox-s001,0,
,11,4,cox-s001,cansj001,vaugg001,,26,65,SBX,suzum001,1,0,,castv001,0,
,11,4,,,,,27,34,BLX,lopea002,1,0,,sweem002,1,F
,22,4,,,,,28,39,CBFBS,lopea002,1,0,dye-j001 strikes out. ,dye-j001,1,
,10,4,,,,,29,41,BX,lopea002,1,0,randj002 grounds out. ,randj002,1,G
,12,5,,,,,30,69,CFBX,suzum001,1,0,,flahj001,0,F
,21,5,,,,,31,73,BBCX,suzum001,1,0,,martf001,0,F
,00,5,,,,,32,74,X,suzum001,1,0,,willg001,0,L
,12,5,,,,,33,45,CFBX,lopea002,1,0,quinm001 grounds out. ,quinm001,1,G
,10,5,,,,,34,47,BX,lopea002,1,0,,dunwt001,1,L
,02,5,zaung001,,,,35,50,FFH,lopea002,0,0,zaung001 hit by pitch. ,zaung001,1,
,11,5,zaung001,,,,36,53,CBX,lopea002,1,0,feblc001 grounds out. ,feblc001,1,G
,10,6,cairm001,,,,37,76,BX,suzum001,0,0,cairm001 singles. ,cairm001,0,
,10,6,,,,,38,78,BX,suzum001,2,0,Double Play. ,vaugg001,0,
,30,6,mcgrf001,,,,39,82,BBBB,suzum001,0,0,mcgrf001 walks. ,mcgrf001,0,
,12,6,mcgrf001,,,,40,86,CBCS,suzum001,1,0,cansj001 strikes out. ,cansj001,0,
,12,6,,,,,41,58,FBFFX,lopea002,1,0,,damoj001,1,F
,01,6,,,,,42,60,CX,lopea002,1,0,sancr001 grounds out. ,sancr001,1,G
,11,6,,,,,43,63,CBX,lopea002,1,0,sweem002 grounds out. ,sweem002,1,G
,31,7,,,,,44,91,BBSBX,suzum001,1,0,,cox-s001,0,F
,12,7,,,,,45,95,CFBX,suzum001,1,0,,castv001,0,F
