version,2
info,visteam,TBA
info,hometeam,KCA
info,site,KAN06
info,date,2000/07/30
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,bellw901
info,ump1b,hirsm901
info,ump2b,iassd901
info,ump3b,onorb901
info,pitches,pitches
info,temp,76
info,winddir,ltor
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,228
info,attendance,16612
info,wp,sturt001
info,lp,spraj001
info,save,hernr001
start,willg001,"Gerald Williams",0,1,8
start,cairm001,"Miguel Cairo",0,2,4
start,cox-s001,"Steve Cox",0,3,3
start,cansj001,"Jose Canseco",0,4,10
start,flahj001,"John Flaherty",0,5,2
start,guilj001,"Jose Guillen",0,6,9
start,johnr006,"Russ Johnson",0,7,5
start,tynej001,"Jason Tyner",0,8,7
start,martf001,"Felix Martinez",0,9,6
start,tracs001,"Steve Trachsel",0,0,1
start,damoj001,"Johnny Damon",1,1,8
start,sancr001,"Rey Sanchez",1,2,6
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,randj002,"Joe Randa",1,5,5
start,quinm001,"Mark Quinn",1,6,7
start,mccad001,"David McCarty",1,7,3
start,ortih001,"Hector Ortiz",1,8,2
start,feblc001,"Carlos Febles",1,9,4
start,suppj001,"Jeff Suppan",1,0,1
play,1,0,willg001,00,X,63/G
play,1,0,cairm001,11,BCX,43/G
play,1,0,cox-s001,32,BFBBFB,W
play,1,0,cansj001,22,SBCBX,D/78D.1-H
play,1,0,flahj001,10,BX,S.2-3
play,1,0,guilj001,12,CFBFX,S8/8S.3-H;1-2
play,1,0,johnr006,12,BCFX,S7/7S.2XH(72);1-2
play,1,1,damoj001,11,CBX,8/F8S
play,1,1,sancr001,31,BBCBX,S5/BG5
play,1,1,sweem002,31,BCBBX,3/P3
play,1,1,dye-j001,22,CFBBFX,S9/9S.1-3
play,1,1,randj002,10,BX,9/F9
play,2,0,tynej001,11,BCX,7/F7
play,2,0,martf001,22,BCBCS,K
play,2,0,willg001,12,LBCFFX,7/F7
play,2,1,quinm001,21,BFBX,53/G
play,2,1,mccad001,20,BBX,9/F9D
play,2,1,ortih001,11,BCX,7/L7
play,3,0,cairm001,32,BCBCBX,53/G
play,3,0,cox-s001,01,FX,8/F8D
play,3,0,cansj001,12,FCBS,K
play,3,1,feblc001,11,CBX,63/G
play,3,1,damoj001,11,BFX,S8/8S
play,3,1,sancr001,00,B,CS2(26)
play,3,1,sancr001,10,BX,T9
play,3,1,sweem002,12,SFBS,K
play,4,0,flahj001,00,X,S9
play,4,0,guilj001,00,X,8/F8
play,4,0,johnr006,10,BX,9/F9S
