version,2
info,visteam,BAL
info,hometeam,KCA
info,site,KAN06
info,date,2000/08/12
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,scotd901
info,ump1b,hudsm901
info,ump2b,cedeg901
info,ump3b,guccc901
info,pitches,pitches
info,temp,85
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,226
info,attendance,36658
info,wp,groob001
info,lp,bottr001
info,save,kohlr001
start,hairj002,"Jerry Hairston",0,1,4
start,moram002,"Melvin Mora",0,2,6
start,deshd001,"Delino DeShields",0,3,10
start,bellj002,"Albert Belle",0,4,9
start,conij001,"Jeff Conine",0,5,7
start,richc001,"Chris Richard",0,6,3
start,fordb001,"Brook Fordyce",0,7,2
start,minor001,"Ryan Minor",0,8,5
start,matol001,"Luis Matos",0,9,8
start,parrj003,"John Parrish",0,0,1
start,damoj001,"Johnny Damon",1,1,8
start,sancr001,"Rey Sanchez",1,2,6
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,randj002,"Joe Randa",1,5,5
start,quinm001,"Mark Quinn",1,6,7
start,mccad001,"David McCarty",1,7,3
start,ortih001,"Hector Ortiz",1,8,2
start,feblc001,"Carlos Febles",1,9,4
start,steib002,"Blake Stein",1,0,1
play,1,0,hairj002,31,BCBBB,W
play,1,0,moram002,02,CCFB,WP.1-2
play,1,0,moram002,22,CCFBBX,D7/7S.2-H
play,1,0,deshd001,00,X,5/FL
play,1,0,bellj002,22,CCBBFFX,S9.2-H(E9);B-2
play,1,0,conij001,00,X,31/G.2-3
play,1,0,richc001,12,CFBS,K
play,1,1,damoj001,31,BBCBB,W
play,1,1,sancr001,02,CFS,K
play,1,1,sweem002,12,CFBFX,64(1)/FO
play,1,1,dye-j001,22,BBCFFX,9/F9S
play,2,0,fordb001,00,X,13/G
play,2,0,minor001,22,BFSBFFC,K/C
play,2,0,matol001,31,BBBCX,7/F7S
play,2,1,randj002,31,BBFBB,W
play,2,1,quinm001,20,BBX,S8.1-2
play,2,1,mccad001,12,FSBS,K
play,2,1,ortih001,31,BBBCB,W.2-3;1-2
play,2,1,feblc001,22,CSBBX,S8.3-H;2-3;1-2
play,2,1,damoj001,02,SSX,8/SF.3-H
play,2,1,sancr001,22,FCBBX,S9.2-H;1-3
play,2,1,sweem002,00,X,8/F8S
play,3,0,hairj002,22,CBFBX,S
play,3,0,moram002,01,CS,SB2
play,3,0,moram002,12,CSBFFX,S7.2-3;B-2(THH)
play,3,0,deshd001,02,CFC,K/C
play,3,0,bellj002,31,BCBBI,IW
play,3,0,conij001,32,CBBFBB,W.3-H;2-3;1-2
play,3,0,richc001,32,BFBFBB,W.3-H;2-3;1-2
play,3,0,fordb001,01,CB,WP.3-H;2-3;1-2
play,3,0,fordb001,22,CBFBFFFFX,HR/78.3-H;2-H
play,3,0,minor001,00,,NP
sub,wilsk001,"Kris Wilson",1,0,1
play,3,0,minor001,12,SBSS,K
play,3,0,matol001,21,CBBX,63/G
play,3,1,dye-j001,00,X,63/G
play,3,1,randj002,11,CBX,8/F8
play,3,1,quinm001,12,BCSX,8/F8D
play,4,0,hairj002,32,BBBCFX,63/G
play,4,0,moram002,11,BCX,3/L3
play,4,0,deshd001,31,BFBBX,D9
play,4,0,bellj002,12,FBFX,8/L8
play,4,1,mccad001,32,BCFBFBX,53/G
play,4,1,ortih001,10,BX,53/G
play,4,1,feblc001,22,CBBCX,S9
play,4,1,damoj001,11,BCX,9/L9
play,5,0,conij001,01,CX,63/G
play,5,0,richc001,00,X,43/G
play,5,0,fordb001,02,CSC,K/C
play,5,1,sancr001,10,BX,63/G
play,5,1,sweem002,30,BBBB,W
play,5,1,dye-j001,31,BBBCX,HR/9.1-H
play,5,1,randj002,12,CFBX,8/F8
play,5,1,quinm001,02,CFS,K
play,6,0,minor001,11,CBX,8/F8S
play,6,0,matol001,21,BFBX,8/F8D
play,6,0,hairj002,02,CSX,S7
play,6,0,moram002,11,CB1,PO1(13)
play,6,1,mccad001,32,BSSBBX,9/F9
play,6,1,ortih001,31,BBBCX,63/G
play,6,1,feblc001,10,BX,S7/7S
play,6,1,damoj001,00,,NP
sub,mcelc001,"Chuck McElroy",0,0,1
play,6,1,damoj001,12,CBFX,S7.1-3
play,6,1,sancr001,01,CX,3/P3
play,7,0,moram002,21,CBBX,53/G
play,7,0,deshd001,31,BFBBX,8/F8
play,7,0,bellj002,22,SBBCX,8/F8
play,7,1,sweem002,00,,NP
sub,tromm001,"Mike Trombley",0,0,1
play,7,1,sweem002,32,BBCFBFB,W
play,7,1,dye-j001,11,CBX,HR/7.1-H
play,7,1,randj002,00,X,D7
play,7,1,quinm001,00,X,S8.2-H
play,7,1,mccad001,22,BFCBS,K
play,7,1,ortih001,11,CBB,CS2(24)
play,7,1,ortih001,31,CBBBX,63/G
play,8,0,conij001,00,X,S/78
play,8,0,richc001,10,BX,46(1)3/GDP
play,8,0,fordb001,31,BSBBX,8/F8
play,8,1,feblc001,00,,NP
sub,groob001,"Buddy Groom",0,0,1
play,8,1,feblc001,22,CBSBX,S9
play,8,1,damoj001,22,BBFFX,46(1)/FO
play,8,1,sancr001,21,FBBX,E5/G.1-2
play,8,1,sweem002,00,B,SB3;SB2
play,8,1,sweem002,30,BBBB,W
play,8,1,dye-j001,31,BBBCX,S8.3-H;2-H(UR);1-2
play,8,1,randj002,00,X,S7.2-H;1-2
play,8,1,quinm001,12,BCSS,K
play,8,1,mccad001,00,X,43/G
play,9,0,minor001,00,,NP
sub,spraj001,"Jerry Spradlin",1,0,1
play,9,0,minor001,00,,NP
sub,myerg001,"Greg Myers",0,8,11
play,9,0,myerg001,12,CFBX,7/F7D
play,9,0,matol001,22,BBFCH,HP
play,9,0,hairj002,22,BCCBX,43/G.1-2
play,9,0,moram002,12,CCBX,S.2-3
play,9,0,deshd001,00,B,DI.1-2
play,9,0,deshd001,31,BBCBX,S/89S.3-H;2-H
play,9,0,bellj002,00,,NP
sub,bottr001,"Ricky Bottalico",1,0,1
play,9,0,bellj002,21,BBFX,HR/7.1-H
play,9,0,conij001,22,FFBBFX,9/F9
play,9,1,ortih001,00,,NP
sub,deshd001,"Delino DeShields",0,3,8
play,9,1,ortih001,00,,NP
sub,hubbt001,"Trenidad Hubbard",0,4,9
play,9,1,ortih001,00,,NP
sub,lewim001,"Mark Lewis",0,8,5
play,9,1,ortih001,00,,NP
sub,dunwt001,"Todd Dunwoody",1,8,11
play,9,1,dunwt001,00,,NP
sub,kohlr001,"Ryan Kohlmeier",0,9,1
play,9,1,dunwt001,22,BBCSX,S7
play,9,1,feblc001,11,BLX,24/SH.1-2
play,9,1,damoj001,32,BBBCFX,9/F9
play,9,1,sancr001,00,,NP
sub,zaung001,"Gregg Zaun",1,2,11
play,9,1,zaung001,11,FBX,53/G
data,er,parrj003,5
data,er,mcelc001,0
data,er,tromm001,3
data,er,groob001,2
data,er,kohlr001,0
data,er,steib002,8
data,er,wilsk001,0
data,er,spraj001,3
data,er,bottr001,1
