version,2
info,visteam,BOS
info,hometeam,KCA
info,site,KAN06
info,date,2000/08/25
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,morrd901
info,ump1b,fleta901
info,ump2b,spiep901
info,ump3b,timmt901
info,pitches,pitches
info,temp,94
info,winddir,fromrf
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,155
info,attendance,20028
info,wp,suppj001
info,lp,florb001
info,save,
start,offej001,"Jose Offerman",0,1,10
start,nixot001,"Trot Nixon",0,2,9
start,daubb001,"Brian Daubach",0,3,3
start,everc001,"Carl Everett",0,4,8
start,oleat001,"Troy O'Leary",0,5,7
start,merll001,"Lou Merloni",0,6,5
start,hatts001,"Scott Hatteberg",0,7,2
start,lansm001,"Mike Lansing",0,8,4
start,alexm001,"Manny Alexander",0,9,6
start,fassj001,"Jeff Fassero",0,0,1
start,damoj001,"Johnny Damon",1,1,8
start,sancr001,"Rey Sanchez",1,2,6
start,sweem002,"Mike Sweeney",1,3,10
start,dye-j001,"Jermaine Dye",1,4,9
start,randj002,"Joe Randa",1,5,5
start,quinm001,"Mark Quinn",1,6,7
start,mccad001,"David McCarty",1,7,3
start,ortih001,"Hector Ortiz",1,8,2
start,reboj001,"Jeff Reboulet",1,9,4
start,suppj001,"Jeff Suppan",1,0,1
play,1,0,offej001,21,BCBX,7/F7D
play,1,0,nixot001,12,CBCX,63/G
play,1,0,daubb001,32,CBBCBX,D7/7D
play,1,0,everc001,12,FCFBX,HR/9.2-H
play,1,0,oleat001,12,CBSFX,7/F7
play,1,1,damoj001,31,BBCBB,W
play,1,1,sancr001,32,BFBBFX,63/G.1-2
play,1,1,sweem002,22,BSFFBS,K
play,1,1,dye-j001,00,X,9/F9
play,2,0,merll001,21,CBBX,8/L8
play,2,0,hatts001,21,BBFX,D/89
play,2,0,lansm001,11,BCX,53/G
play,2,0,alexm001,22,BFBFX,31/G
play,2,1,randj002,12,CFBC,K/C
play,2,1,quinm001,30,BBBX,43/G
play,2,1,mccad001,00,X,7/L7
play,3,0,offej001,00,X,S8/8S
play,3,0,nixot001,01,FX,9(B)3(1)/LDP
play,3,0,daubb001,21,FBBX,43/G
play,3,1,ortih001,11,BCX,53/G
play,3,1,reboj001,31,BBCBX,S7/7S
play,3,1,damoj001,22,CBBFB,SB2
play,3,1,damoj001,32,CBBFBX,31/G.2-3
play,3,1,sancr001,00,X,S7.3-H
play,3,1,sweem002,11,BCX,7/F7D
play,4,0,everc001,02,CFS,K
play,4,0,oleat001,31,BBFBB,W
play,4,0,merll001,11,CBX,13/G.1-2
play,4,0,hatts001,21,CBBX,8/L8
play,4,1,dye-j001,12,CFFFBX,S9
play,4,1,randj002,01,FX,64(1)3/GDP
play,4,1,quinm001,21,BFBX,S/89
play,4,1,mccad001,00,B,WP.1-2
play,4,1,mccad001,30,BBBX,53/G
play,5,0,lansm001,01,FX,63/G
play,5,0,alexm001,30,BBBB,W
play,5,0,offej001,12,CFBC,K/C
play,5,0,nixot001,11,BCX,43/G
play,5,1,ortih001,21,FBBX,8/F8
play,5,1,reboj001,00,X,43/G
play,5,1,damoj001,11,CBX,S9
play,5,1,sancr001,00,X,S5/BG5.1-3(E5)
play,5,1,sweem002,10,BX,13/G
play,6,0,daubb001,01,CX,63/G
play,6,0,everc001,00,X,7/F7
play,6,0,oleat001,30,BBBB,W
play,6,0,merll001,31,BBBCX,53/G
play,6,1,dye-j001,11,BCX,D7
play,6,1,randj002,10,BX,S/89.2-H
play,6,1,quinm001,10,BX,4/P4
play,6,1,mccad001,11,BFX,D/89.1-3
play,6,1,ortih001,30,IIII,IW
play,6,1,reboj001,00,,NP
sub,florb001,"Bryce Florie",0,0,1
play,6,1,reboj001,32,FFBBBFS,K
play,6,1,damoj001,31,BBCBX,9/F9
play,7,0,hatts001,32,CBCBBX,1/G
play,7,0,lansm001,10,BX,53/G
play,7,0,alexm001,02,CFX,7/F7
play,7,1,sancr001,11,FBX,S8/8S
play,7,1,sweem002,21,BBFX,HR/8.1-H
play,7,1,dye-j001,12,BSCS,K
play,7,1,randj002,00,X,6/L6
play,7,1,quinm001,00,X,8/F8
play,8,0,offej001,12,CBSFS,K
play,8,0,nixot001,21,CBBX,3/G
play,8,0,daubb001,12,CBFFX,13/G
play,8,1,mccad001,22,FSBBS,K
play,8,1,ortih001,11,CBX,S8
play,8,1,reboj001,12,CCBS,K
play,8,1,damoj001,20,BBX,HR/9.1-H
play,8,1,sancr001,32,CBSBBX,63/G
play,9,0,everc001,21,BCBX,9/F9
play,9,0,oleat001,22,CBFBX,S/89
play,9,0,merll001,00,X,46(1)3/GDP
data,er,fassj001,2
data,er,florb001,4
data,er,suppj001,2
