version,2
info,visteam,NYA
info,hometeam,KCA
info,site,KAN06
info,date,2000/09/05
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,roe-r901
info,ump1b,lampi901
info,ump2b,shulj901
info,ump3b,fichm901
info,pitches,pitches
info,temp,72
info,winddir,fromcf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,194
info,attendance,15025
info,wp,goodd001
info,lp,suppj001
info,save,
start,polol001,"Luis Polonia",0,1,10
start,jeted001,"Derek Jeter",0,2,6
start,oneip001,"Paul O'Neill",0,3,9
start,martt002,"Tino Martinez",0,4,3
start,justd001,"David Justice",0,5,7
start,bross001,"Scott Brosius",0,6,5
start,turnc001,"Chris Turner",0,7,2
start,bellc001,"Clay Bellinger",0,8,8
start,vizcj001,"Jose Vizcaino",0,9,4
start,coned001,"David Cone",0,0,1
start,damoj001,"Johnny Damon",1,1,10
start,sancr001,"Rey Sanchez",1,2,6
start,sweem002,"Mike Sweeney",1,3,3
start,dye-j001,"Jermaine Dye",1,4,9
start,quinm001,"Mark Quinn",1,5,7
start,randj002,"Joe Randa",1,6,5
start,beltc001,"Carlos Beltran",1,7,8
start,zaung001,"Gregg Zaun",1,8,2
start,feblc001,"Carlos Febles",1,9,4
start,suppj001,"Jeff Suppan",1,0,1
play,1,0,polol001,12,FCBX,13/G
play,1,0,jeted001,22,BFFBX,53/G
play,1,0,oneip001,12,CFBS,K
play,1,1,damoj001,10,BX,7/F7
play,1,1,sancr001,22,CBBCX,6/P6
play,1,1,sweem002,30,BBBB,W
play,1,1,dye-j001,12,CBFX,D7.1-H;B-3(E6/THH)
play,1,1,quinm001,12,SSBS,K
play,2,0,martt002,00,X,6/P6
play,2,0,justd001,22,BBFFFX,S9
play,2,0,bross001,01,CX,9/F9
play,2,0,turnc001,22,CSBBFX,53/G
play,2,1,randj002,20,BBX,8/L8
play,2,1,beltc001,01,CX,9/L9
play,2,1,zaung001,32,BBCBCB,W
play,2,1,feblc001,11,BSB,CS2(24)
play,3,0,bellc001,01,CX,HR/7
play,3,0,vizcj001,11,LBX,S9
play,3,0,polol001,10,BX,S9.1-3
play,3,0,jeted001,21,BFBB,SB2
play,3,0,jeted001,31,BFBBB,W
play,3,0,oneip001,00,X,S7/7S.3-H;2-3;1-2
play,3,0,martt002,22,BCBFX,8/SF.3-H;2-3
play,3,0,justd001,22,FFFBBS,K+CS2(263)/DP.3-H
play,3,1,feblc001,11,BCX,63/G
play,3,1,damoj001,30,BBBB,W
play,3,1,sancr001,00,C,SB2
play,3,1,sancr001,01,CX,1/BP1
com,"Cone dislocates left shoulder making catch"
play,3,1,sweem002,00,,NP
sub,goodd001,"Dwight Gooden",0,0,1
play,3,1,sweem002,10,BX,7/F7D
play,4,0,bross001,00,X,9/F9
play,4,0,turnc001,12,CCBS,K
play,4,0,bellc001,10,BX,S7
play,4,0,vizcj001,10,BX,D7.1-3
play,4,0,polol001,00,X,8/L8
play,4,1,dye-j001,00,X,9/F9S
play,4,1,quinm001,10,BX,8/F8
play,4,1,randj002,21,CBBX,163/G
play,5,0,jeted001,00,X,D9
play,5,0,oneip001,00,X,9/L9.2-3
play,5,0,martt002,30,BBBI,IW
play,5,0,justd001,11,CBX,8/SF.3-H
play,5,0,bross001,30,BBBB,W.1-2
play,5,0,turnc001,21,BCB+2,PO2(E2).2-3
play,5,0,turnc001,21,BCB+2X,54(1)/FO
play,5,1,beltc001,10,BX,S/89
play,5,1,zaung001,20,BBX,9/F9
play,5,1,feblc001,12,CBSB,SB2
play,5,1,feblc001,22,CBSBX,S.2-3
play,5,1,damoj001,10,BX,9/SF.3-H
play,5,1,sancr001,00,X,63/G
play,6,0,bellc001,31,CBBBX,2/FL
play,6,0,vizcj001,10,BX,S/89
play,6,0,polol001,01,LX,S/89.1-3
play,6,0,jeted001,01,CB,SB2
play,6,0,jeted001,32,CBBSBFFFFB,W
play,6,0,oneip001,00,,NP
sub,spolp001,"Paul Spoljaric",1,0,1
play,6,0,oneip001,12,BFFX,4/L4
play,6,0,martt002,11,CBX,9/F9
play,6,1,sweem002,11,BSX,S7
play,6,1,dye-j001,12,FBSS,K
play,6,1,quinm001,00,X,S9.1-2
play,6,1,randj002,00,X,8/F8
play,6,1,beltc001,01,FX,S7.2-H;1-H(E7)(UR);B-2
play,6,1,zaung001,31,BBFBB,W
play,6,1,feblc001,12,BFSX,64(1)/FO.2-3
play,7,0,justd001,20,BBX,HR/9
play,7,0,bross001,00,,NP
sub,larka001,"Andy Larkin",1,0,1
play,7,0,bross001,02,CCX,S9/9S
play,7,0,turnc001,02,LSS,K
play,7,0,bellc001,31,BBFBB,W.1-2
play,7,0,vizcj001,00,X,8/F8.2-3
play,7,0,polol001,12,CFBS,K
play,7,1,damoj001,22,CFFBBFFX,13/G
play,7,1,sancr001,10,BX,S7/7S
play,7,1,sweem002,11,FBX,16(1)3/GDP
play,8,0,jeted001,32,BCBSBX,43/G
play,8,0,oneip001,11,BCX,S7
play,8,0,martt002,22,CCBBX,S8.1-3
play,8,0,justd001,31,CBBBB,W.1-2
play,8,0,bross001,00,,NP
sub,thomr004,"Ryan Thompson",0,5,12
play,8,0,bross001,00,X,HR/7.3-H;2-H;1-H
play,8,0,turnc001,10,BX,1/P1
play,8,0,bellc001,02,CCX,6/P6
play,8,1,dye-j001,00,,NP
sub,thomr004,"Ryan Thompson",0,5,7
play,8,1,dye-j001,11,BCX,9/F9
play,8,1,quinm001,00,X,9/F9
play,8,1,randj002,10,BX,S7/7S
play,8,1,beltc001,00,X,3/G
play,9,0,vizcj001,00,,NP
sub,fussc001,"Chris Fussell",1,0,1
play,9,0,vizcj001,00,X,S
play,9,0,polol001,10,BX,46(1)3/GDP
play,9,0,jeted001,22,FBBFX,S
play,9,0,oneip001,32,CFBBFBFFFFX,7/F7
play,9,1,zaung001,00,,NP
sub,stanm003,"Mike Stanton",0,0,1
play,9,1,zaung001,31,CBBBB,W
play,9,1,feblc001,12,CFBS,K
play,9,1,damoj001,00,,NP
sub,mccad001,"David McCarty",1,1,11
play,9,1,mccad001,00,X,S.1-2
play,9,1,sancr001,10,BX,S8.2-3;1-2
play,9,1,sweem002,10,BX,7/SF.3-H
play,9,1,dye-j001,32,BBCCFFBFFX,8/L8
data,er,coned001,1
data,er,goodd001,2
data,er,stanm003,1
data,er,suppj001,5
data,er,spolp001,1
data,er,larka001,4
data,er,fussc001,0
