id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
levia001,0,13,6,4,2,2,94,2,0,5,1,0,0,0,22,18,0,0,0,0
webeb001,0,6,0,0,0,0,13,0,0,0,0,0,0,0,5,5,0,0,0,0
holtm001,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0
hases001,0,4,2,0,0,0,15,0,0,2,0,0,0,0,5,5,0,0,0,0
perct001,0,3,2,2,2,2,44,2,0,2,0,0,0,0,7,5,0,0,0,0
petkm001,0,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0
suzum001,1,21,11,2,4,4,113,5,0,8,3,0,1,0,32,30,0,0,0,1
wilsk001,1,6,1,1,0,0,36,1,0,0,1,0,0,0,8,7,0,0,0,1
santj002,1,1,2,1,3,2,14,0,0,1,1,0,0,0,6,5,0,0,0,1
spolp001,1,2,0,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0
