id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
damoj001,PIT200006020,1,7,4,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
feblc001,PIT200006020,2,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
poses001,PIT200006020,2,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sweem002,PIT200006020,3,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
dye-j001,PIT200006020,4,9,3,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
beltc001,PIT200006020,5,8,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
randj002,PIT200006020,6,5,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
zaung001,PIT200006020,7,2,3,3,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
sancr001,PIT200006020,8,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
batim001,PIT200006020,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
quinm001,PIT200006020,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
rakej001,PIT200006020,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
damoj001,PIT200006030,1,7,5,4,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
mccad001,PIT200006030,1,11,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
reboj001,PIT200006030,2,6,6,4,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,PIT,0,1,0
sweem002,PIT200006030,3,3,6,5,4,1,3,5,0,3,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
dye-j001,PIT200006030,4,9,4,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
dunwt001,PIT200006030,4,11,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
beltc001,PIT200006030,5,8,6,5,1,1,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,PIT,0,1,0
randj002,PIT200006030,6,5,6,5,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
damij002,PIT200006030,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
johnb002,PIT200006030,7,2,6,6,2,0,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
feblc001,PIT200006030,8,4,6,5,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
witaj001,PIT200006030,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
poses001,PIT200006030,9,11,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
reicd001,PIT200006030,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
bottr001,PIT200006030,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
ordal001,PIT200006030,9,11,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
dunwt001,PIT200006040,1,7,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
reicd001,PIT200006040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sancr001,PIT200006040,2,6,5,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sweem002,PIT200006040,3,3,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
