id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
batim001,PIT200006020,21,4,5,4,4,128,5,2,2,0,0,0,0,30,25,0,0,0,0,PIT,0,1,1
rakej001,PIT200006020,3,4,2,5,5,38,1,0,2,2,0,0,0,9,7,0,0,0,0,PIT,0,1,0
witaj001,PIT200006030,15,5,2,3,2,80,3,0,4,1,0,0,1,23,20,0,0,0,0,PIT,0,1,1
reicd001,PIT200006030,6,2,1,0,0,25,0,0,2,0,0,0,0,9,8,0,0,0,0,PIT,0,1,0
bottr001,PIT200006030,3,1,0,0,0,30,2,0,1,0,0,1,0,5,5,0,0,0,0,PIT,0,1,0
damij002,PIT200006030,3,0,1,0,0,16,1,0,0,0,0,0,0,4,3,0,0,0,0,PIT,0,1,0
suppj001,PIT200006040,21,5,3,3,3,129,5,2,2,1,0,1,0,32,29,0,0,0,0,PIT,0,1,1
spraj001,PIT200006040,6,1,1,1,1,33,2,1,0,0,0,0,0,8,7,0,0,0,0,PIT,0,1,0
rakej001,PIT200006040,3,2,1,1,1,16,1,0,1,1,0,0,0,6,5,0,0,0,0,PIT,0,1,0
reicd001,PIT200006040,3,1,2,0,0,29,2,0,1,0,0,0,0,6,4,0,0,0,0,PIT,0,1,0
suzum001,SLN200006050,16,5,2,4,4,87,4,0,3,2,0,0,0,23,21,0,0,0,0,SLN,0,1,1
rakej001,SLN200006050,2,0,0,0,0,14,0,0,0,0,0,1,0,2,2,0,0,0,0,SLN,0,1,0
damij002,SLN200006050,6,1,1,0,0,40,4,0,1,0,0,0,0,8,7,0,0,0,0,SLN,0,1,0
spraj001,SLN200006050,3,0,0,0,0,13,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
fussc001,SLN200006060,15,5,6,4,4,88,2,2,2,1,0,0,0,25,18,0,1,0,0,SLN,0,1,1
witaj001,SLN200006060,6,2,0,1,1,34,3,0,1,1,0,0,0,8,7,0,0,1,0,SLN,0,1,0
bottr001,SLN200006060,3,0,1,0,0,18,0,0,0,0,0,0,0,4,3,0,0,0,0,SLN,0,1,0
batim001,SLN200006070,15,6,1,4,2,78,2,0,5,1,0,0,0,23,22,0,0,0,1,SLN,0,1,1
reicd001,SLN200006070,6,3,1,0,0,37,3,0,3,0,0,0,0,10,9,0,0,0,0,SLN,0,1,0
santj002,SLN200006070,3,1,0,0,0,10,1,0,1,0,0,0,0,4,4,0,0,0,0,SLN,0,1,0
steib002,HOU200007070,15,7,2,6,6,113,5,2,4,1,0,1,1,24,21,0,0,0,0,HOU,0,1,1
damij002,HOU200007070,6,3,2,3,3,39,0,1,1,1,0,0,0,10,8,0,0,0,0,HOU,0,1,0
santj002,HOU200007070,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0,HOU,0,1,0
suzum001,HOU200007080,21,8,2,1,0,109,7,0,6,2,0,0,0,30,28,0,0,0,0,HOU,0,1,1
spraj001,HOU200007080,6,1,0,1,1,33,2,1,0,0,0,0,0,7,7,0,0,0,0,HOU,0,1,0
witaj001,HOU200007090,9,6,0,5,5,62,4,2,2,1,1,0,0,15,14,0,0,1,0,HOU,0,1,1
suppj001,HOU200007090,6,5,3,4,4,57,0,1,3,1,0,0,0,13,8,0,1,1,0,HOU,0,1,0
bochd001,HOU200007090,6,2,2,0,0,36,2,0,1,1,0,0,0,9,7,0,0,0,1,HOU,0,1,0
bottr001,HOU200007090,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,HOU,0,1,0
suppj001,TBA200008310,23,7,3,2,2,122,5,0,4,3,0,0,0,32,29,0,0,0,0,TBA,0,1,1
mulls002,TBA200008310,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,TBA,0,1,0
