version,2
info,visteam,PHI
info,hometeam,LAN
info,site,LOS03
info,date,2000/05/28
info,number,0
info,starttime,1:10PM
info,daynight,day
info,usedh,false
info,umphome,ripps901
info,ump1b,tscht901
info,ump2b,meric901
info,ump3b,gibsg901
info,pitches,pitches
info,temp,89
info,winddir,ltor
info,windspeed,13
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,170
info,attendance,28603
info,wp,wolfr001
info,lp,osuna002
info,save,
start,sefck001,"Kevin Sefcik",0,1,8
start,gantr001,"Ron Gant",0,2,7
start,abreb001,"Bobby Abreu",0,3,9
start,liebm001,"Mike Lieberthal",0,4,2
start,burrp001,"Pat Burrell",0,5,3
start,jordk001,"Kevin Jordan",0,6,5
start,moram001,"Mickey Morandini",0,7,4
start,relad001,"Desi Relaford",0,8,6
start,wolfr001,"Randy Wolf",0,9,1
start,santf001,"F.P. Santangelo",1,1,8
start,grudm001,"Mark Grudzielanek",1,2,4
start,grees001,"Shawn Green",1,3,9
start,shefg001,"Gary Sheffield",1,4,7
start,karre001,"Eric Karros",1,5,3
start,elstk001,"Kevin Elster",1,6,6
start,kreuc001,"Chad Kreuter",1,7,2
start,vizcj001,"Jose Vizcaino",1,8,5
start,perec001,"Carlos Perez",1,9,1
play,1,0,sefck001,32,CBFBBFX,4/L4
play,1,0,gantr001,12,LSFBS,K
play,1,0,abreb001,22,BFBCX,S9
play,1,0,liebm001,20,BBX,S7/7S.1-2
play,1,0,burrp001,12,BCFS,K
play,1,1,santf001,01,CH,HP
play,1,1,grudm001,21,CBBX,54(1)3/GDP
play,1,1,grees001,01,SX,D7
play,1,1,shefg001,21,CBBX,S7/7S.2-H;B-2(THH)
play,1,1,karre001,31,CBBBX,4/P4
play,2,0,jordk001,22,CBBFX,9/F9
play,2,0,moram001,11,BFX,5/FL
play,2,0,relad001,32,BCBFBFFB,W
play,2,0,wolfr001,02,CSFS,K
play,2,1,elstk001,00,X,6/P6
play,2,1,kreuc001,12,FCBX,7/L7
play,2,1,vizcj001,31,BBFBB,W
play,2,1,perec001,01,SX,23/BG
play,3,0,sefck001,01,CX,S9
play,3,0,gantr001,00,X,D7.1-3
play,3,0,abreb001,21,BCBX,7/F7
play,3,0,liebm001,30,BBBB,W
play,3,0,burrp001,10,BX,52(3)/FO.2-3;1-2
play,3,0,jordk001,12,BSFS,K
play,3,1,santf001,32,LFBBBFB,W
play,3,1,grudm001,11,FBX,S9.1-2
play,3,1,grees001,32,BBCBCS,K
play,3,1,shefg001,11,BSX,64(1)3/GDP
play,4,0,moram001,21,BFBX,4/P4
play,4,0,relad001,31,BBBCX,53/G
play,4,0,wolfr001,11,BCX,63/G
play,4,1,karre001,10,BX,3/P3
play,4,1,elstk001,02,CCX,3/FL
play,4,1,kreuc001,11,BCX,HR/78
play,4,1,vizcj001,00,X,D7
play,4,1,perec001,12,FSBS,K
play,5,0,sefck001,01,CX,S7
play,5,0,gantr001,00,X,9/F9
play,5,0,abreb001,20,BBX,7/F7
play,5,0,liebm001,21,BCBX,S7.1-2
play,5,0,burrp001,21,BCBX,S7.2-H;1-2
play,5,0,jordk001,02,CFX,S.2-3;1-2
play,5,0,moram001,02,CSFX,43/G
play,5,1,santf001,22,BCBCC,K/C
play,5,1,grudm001,02,FCX,S7
play,5,1,grees001,21,BFBX,9/F9D
play,5,1,shefg001,11,CBX,8/F8
play,6,0,relad001,02,CFFS,K
play,6,0,wolfr001,11,BCX,8/F8
play,6,0,sefck001,11,BSX,43/G
play,6,1,karre001,00,X,9/F9D
play,6,1,elstk001,10,BX,7/F7D
play,6,1,kreuc001,30,BBBB,W
play,6,1,vizcj001,12,BCFFX,8/L8
play,7,0,gantr001,00,X,S7.B-2(E7)
play,7,0,abreb001,22,SFBBX,31/G.2-3
play,7,0,liebm001,00,,NP
sub,osuna002,"Antonio Osuna",1,9,1
play,7,0,liebm001,22,SFBBX,D9.3-H
play,7,0,burrp001,32,CFBBFBS,K
play,7,0,jordk001,12,CBSFX,S9/9S.2-H;B-2(THH)
play,7,0,moram001,21,BFBX,3/G
play,7,1,osuna002,00,,NP
sub,berrg001,"Geronimo Berroa",1,9,11
play,7,1,berrg001,11,CBX,8/F8D
play,7,1,santf001,32,CSBBFBFC,K/C
play,7,1,grudm001,20,BBX,3/G
play,8,0,relad001,00,,NP
sub,adamt001,"Terry Adams",1,9,1
play,8,0,relad001,32,CBBFFBB,W
play,8,0,wolfr001,01,LX,14/SH.1-2
play,8,0,sefck001,12,BCFX,D/78.2-H
play,8,0,gantr001,00,B,CS3(25)
play,8,0,gantr001,10,BX,9/F9
play,8,1,grees001,10,BX,3/G
play,8,1,shefg001,30,BBBB,W
play,8,1,karre001,10,BX,54(1)3/GDP
play,9,0,abreb001,21,BBCX,31/G
play,9,0,liebm001,01,CX,9/F9S
play,9,0,burrp001,00,X,3/FL
play,9,1,elstk001,12,CBCX,43/G
play,9,1,kreuc001,22,LFFBBX,53/G
play,9,1,vizcj001,32,BFLFBFFBX,6/L6
data,er,wolfr001,2
data,er,perec001,2
data,er,osuna002,1
data,er,adamt001,1
