version,2
info,visteam,CHN
info,hometeam,LAN
info,site,LOS03
info,date,2000/08/07
info,number,0
info,starttime,7:10PM
info,daynight,night
info,usedh,false
info,umphome,scotd901
info,ump1b,hudsm901
info,ump2b,cedeg901
info,ump3b,guccc901
info,pitches,pitches
info,temp,74
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,167
info,attendance,31697
info,wp,quevr001
info,lp,hergm001
info,save,
start,youne001,"Eric Young",0,1,4
start,gutir001,"Ricky Gutierrez",0,2,6
start,sosas001,"Sammy Sosa",0,3,9
start,gracm001,"Mark Grace",0,4,3
start,whitr001,"Rondell White",0,5,7
start,greew001,"Willie Greene",0,6,5
start,bufod001,"Damon Buford",0,7,8
start,reedj001,"Jeff Reed",0,8,2
start,quevr001,"Ruben Quevedo",0,9,1
start,goodt001,"Tom Goodwin",1,1,8
start,grudm001,"Mark Grudzielanek",1,2,4
start,shefg001,"Gary Sheffield",1,3,7
start,grees001,"Shawn Green",1,4,9
start,karre001,"Eric Karros",1,5,3
start,hundt001,"Todd Hundley",1,6,2
start,belta001,"Adrian Beltre",1,7,5
start,coraa001,"Alex Cora",1,8,6
start,hergm001,"Matt Herges",1,9,1
play,1,0,youne001,11,BCX,D9
play,1,0,gutir001,01,LX,13/SH.2-3
play,1,0,sosas001,22,SBBSS,K
play,1,0,gracm001,21,BBFX,3/G
play,1,1,goodt001,11,BCX,S8
play,1,1,grudm001,32,BBBCFX,D9.1-H
play,1,1,shefg001,11,BF2,PO2(E1).2-3
play,1,1,shefg001,12,BF2FX,FC1/DP.3XH(152);BX2(2434)
play,1,1,grees001,10,BX,5/FL
play,2,0,whitr001,22,BFSBX,13/G
play,2,0,greew001,00,X,3/G
play,2,0,bufod001,21,BCBX,13/G
play,2,1,karre001,00,X,7/F7
play,2,1,hundt001,02,CFS,K
play,2,1,belta001,01,CX,7/F7D
play,3,0,reedj001,21,BCBX,S9
play,3,0,quevr001,02,LCL,K/BF
play,3,0,youne001,00,X,S9/9S.1-2
play,3,0,gutir001,12,BCCX,T9.2-H;1-H
play,3,0,sosas001,32,BSBSFBB,W
play,3,0,gracm001,00,X,9/SF.3-H;1-2(E9/TH)
play,3,0,whitr001,00,H,HP
play,3,0,greew001,32,BBBCSX,8/F8D
play,3,1,coraa001,21,BCBX,8/F8
play,3,1,hergm001,01,SX,13/G
play,3,1,goodt001,22,CBBFX,E5/G.B-2
play,3,1,grudm001,32,BBBCFFB,W
play,3,1,shefg001,22,FFBFBX,9/F9S
play,4,0,bufod001,10,BX,53/G
play,4,0,reedj001,00,X,7/F7
play,4,0,quevr001,00,X,23/G
play,4,1,grees001,00,X,HR/8
play,4,1,karre001,32,SSBBBS,K
play,4,1,hundt001,12,BSCC,K/C
play,4,1,belta001,30,BBBB,W
play,4,1,coraa001,12,CBFX,7/F7
play,5,0,youne001,10,BX,43/G
play,5,0,gutir001,01,CX,43/G
play,5,0,sosas001,31,CBBBB,W
play,5,0,gracm001,10,BX,S9.1-2
play,5,0,whitr001,20,BBX,43/G
play,5,1,hergm001,12,CBCS,K
play,5,1,goodt001,12,BCSFFX,S9
play,5,1,grudm001,12,CFBFB,CS2(24)
play,5,1,grudm001,22,CFBFBFFX,43/G
play,6,0,greew001,21,BFBX,7/L7
play,6,0,bufod001,01,CX,8/F8
play,6,0,reedj001,12,BCCS,K
play,6,1,shefg001,02,FFFX,43/G
play,6,1,grees001,22,BFBCS,K
play,6,1,karre001,01,CX,D/89D
play,6,1,hundt001,21,BBSX,9/F9
play,7,0,quevr001,00,,NP
sub,kreuc001,"Chad Kreuter",1,9,2
play,7,0,quevr001,00,,NP
sub,osuna002,"Antonio Osuna",1,6,1
play,7,0,quevr001,11,BCX,63/G
play,7,0,youne001,32,BCBFBB,W
play,7,0,gutir001,32,BBBCFX,HR/78.1-H
play,7,0,sosas001,20,BBX,53/G
play,7,0,gracm001,11,CBX,S8
play,7,0,whitr001,32,SCBBBFB,W.1-2
play,7,0,greew001,00,,NP
sub,mattg002,"Gary Jr. Matthews",0,5,12
play,7,0,greew001,10,BX,4/P4
play,7,1,belta001,00,,NP
sub,mattg002,"Gary Jr. Matthews",0,5,7
play,7,1,belta001,21,BBCX,43/G
play,7,1,coraa001,02,CFC,K/C
play,7,1,kreuc001,32,BBCSBC,K/C
play,8,0,bufod001,01,CX,D/89D
play,8,0,reedj001,31,BCBBB,W
play,8,0,quevr001,00,X,56(2)4(B)/BG/GDP.1-2
play,8,0,youne001,12,CBCX,S8.2-H
play,8,0,gutir001,12,CSBB,BK.1-2
play,8,0,gutir001,22,CSBBX,9/F9
play,8,1,goodt001,12,BCCS,K
play,8,1,grudm001,11,CBX,53/G
play,8,1,shefg001,00,X,63/G
play,9,0,sosas001,22,BSSBX,HR/89XD
play,9,0,gracm001,11,CBX,5/P5
play,9,0,mattg002,00,X,6/P6
play,9,0,greew001,10,BX,8/F8D
play,9,1,grees001,11,BCX,7/F7
play,9,1,karre001,21,SBBX,D7
play,9,1,osuna002,00,,NP
sub,hansd001,"Dave Hansen",1,6,11
play,9,1,hansd001,11,FBX,9/F9
play,9,1,belta001,11,SBX,S8.2-H
play,9,1,coraa001,10,BX,43/G
data,er,quevr001,3
data,er,hergm001,3
data,er,osuna002,4
