version,2
info,visteam,NYN
info,hometeam,LAN
info,site,LOS03
info,date,2000/08/19
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,false
info,umphome,danlk901
info,ump1b,dimum901
info,ump2b,gormb901
info,ump3b,everm901
info,pitches,pitches
info,temp,86
info,winddir,ltor
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,147
info,attendance,53051
info,wp,parkc002
info,lp,reedr002
info,save,
start,agbab001,"Benny Agbayani",0,1,7
start,belld001,"Derek Bell",0,2,9
start,alfoe001,"Edgardo Alfonzo",0,3,4
start,ventr001,"Robin Ventura",0,4,5
start,zeilt001,"Todd Zeile",0,5,3
start,paytj001,"Jay Payton",0,6,8
start,pratt001,"Todd Pratt",0,7,2
start,bordm001,"Mike Bordick",0,8,6
start,reedr002,"Rick Reed",0,9,1
start,goodt001,"Tom Goodwin",1,1,8
start,grudm001,"Mark Grudzielanek",1,2,4
start,shefg001,"Gary Sheffield",1,3,7
start,grees001,"Shawn Green",1,4,9
start,karre001,"Eric Karros",1,5,3
start,belta001,"Adrian Beltre",1,6,5
start,kreuc001,"Chad Kreuter",1,7,2
start,coraa001,"Alex Cora",1,8,6
start,parkc002,"Chan Ho Park",1,9,1
play,1,0,agbab001,12,BCSS,K
play,1,0,belld001,11,BCX,HR/78
play,1,0,alfoe001,22,FBFFBX,8/F8
play,1,0,ventr001,11,CBX,S7/7S
play,1,0,zeilt001,12,CSBX,9/F9
play,1,1,goodt001,00,X,63/G
play,1,1,grudm001,10,BX,S7
play,1,1,shefg001,32,FFBBBFFFB,W.1-2
play,1,1,grees001,22,CBCBX,3/G.2-3;1-2
play,1,1,karre001,22,BCBCS,K
play,2,0,paytj001,02,CSS,K
play,2,0,pratt001,12,BSCC,K/C
play,2,0,bordm001,31,BBCBX,8/L8
play,2,1,belta001,02,FFX,8/F8
play,2,1,kreuc001,00,X,S9
play,2,1,coraa001,01,CX,7/L7
play,2,1,parkc002,10,BX,64(1)/FO
play,3,0,reedr002,12,CBCFS,K
play,3,0,agbab001,00,X,53/G
play,3,0,belld001,00,X,53/G
play,3,1,goodt001,22,CCBFBX,S7
play,3,1,grudm001,01,CX,43/G.1-2
play,3,1,shefg001,00,X,HR/7.2-H
play,3,1,grees001,32,SBBFFBX,6/P6
play,3,1,karre001,22,BFBSFX,HR/78
play,3,1,belta001,12,SFFBFFFFX,63/G
play,4,0,alfoe001,12,BCFS,K
play,4,0,ventr001,00,X,3/G
play,4,0,zeilt001,32,BFBCBC,K/C
play,4,1,kreuc001,22,FFBFBX,7/F7D
play,4,1,coraa001,01,CX,13/G
play,4,1,parkc002,11,BSX,53/G
play,5,0,paytj001,00,X,S9/9S
play,5,0,pratt001,00,B,CS2(23)
play,5,0,pratt001,22,BBSSX,S8
play,5,0,bordm001,02,CFS,K
play,5,0,reedr002,00,X,8/F8
play,5,1,goodt001,32,CBBFBX,43/G
play,5,1,grudm001,22,BFCBFX,8/F8
play,5,1,shefg001,22,CBCBX,S8
play,5,1,grees001,02,CSC,K/C
play,6,0,agbab001,12,CCBS,K
play,6,0,belld001,31,BFBBB,W
play,6,0,alfoe001,22,CFBBX,8/F8S
play,6,0,ventr001,12,BFCFX,3/G
play,6,1,karre001,00,X,S7
play,6,1,belta001,10,BX,53/G.1-2
play,6,1,kreuc001,12,BSFFC,K/C
play,6,1,coraa001,02,SSX,63/G
play,7,0,zeilt001,10,BX,8/F8
play,7,0,paytj001,10,BX,8/F8D
play,7,0,pratt001,11,SBX,63/G
play,7,1,parkc002,11,BCX,53/G
play,7,1,goodt001,02,CCS,K
play,7,1,grudm001,11,BFX,9/F9D
play,8,0,bordm001,02,CFX,6/P6
play,8,0,reedr002,00,,NP
sub,harrl001,"Lenny Harris",0,9,11
play,8,0,harrl001,00,X,63/G
play,8,0,agbab001,12,CSBX,63/G
play,8,1,shefg001,00,,NP
sub,mahop001,"Pat Mahomes",0,9,1
play,8,1,shefg001,11,BCX,HR/78
play,8,1,grees001,01,SX,D9
play,8,1,karre001,22,BSCBC,K/C
play,8,1,belta001,20,BBX,4/P4
play,8,1,kreuc001,02,CSFC,K/C
play,9,0,belld001,00,,NP
sub,santf001,"F.P. Santangelo",1,3,7
play,9,0,belld001,32,BFCBBFC,K/C
play,9,0,alfoe001,02,CSS,K
play,9,0,ventr001,32,CBSFBBB,W
play,9,0,zeilt001,00,C,DI.1-2
play,9,0,zeilt001,01,CX,9/F9D
data,er,reedr002,3
data,er,mahop001,1
data,er,parkc002,1
