id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
bergp001,0,1,7,5,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
bradm001,0,2,8,5,5,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
vidrj001,0,3,4,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mordm001,0,3,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
stevl001,0,4,3,4,4,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
guerw001,0,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blumg001,0,5,5,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
seguf001,0,6,9,4,3,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1
schnb001,0,7,2,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabro001,0,8,6,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
moort001,0,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
traca001,0,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
santj001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forss001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telfa001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klins002,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonet004,0,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
whitd001,1,1,8,5,4,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
santf001,1,2,4,5,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
grees001,1,3,9,5,5,3,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0
karre001,1,4,3,5,5,2,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0
leyrj001,1,5,7,3,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
goodt001,1,5,12,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
belta001,1,6,5,4,4,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
hundt001,1,7,2,4,4,3,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0
coraa001,1,8,6,4,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
valdi001,1,9,1,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
adamt001,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hansd001,1,9,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fettm001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perec001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
