advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,,,,0,3,CBX,parkc002,1,0,,bergp001,0,F
,12,1,,,,,1,7,CBSS,parkc002,1,0,bradm001 strikes out. ,bradm001,0,
,12,1,,,,,2,11,BCCC,parkc002,1,0,vidrj001 strikes out. ,vidrj001,0,
,11,1,,,,,3,3,FBX,vazqj001,1,0,goodt001 grounds out. ,goodt001,1,G
,02,1,,,,,4,7,CCFX,vazqj001,1,0,grudm001 grounds out. ,grudm001,1,G
,22,1,,,,,5,12,FSBBX,vazqj001,1,0,grees001 grounds out. ,grees001,1,G
,12,2,,,,,6,15,BCFX,parkc002,1,0,stevl001 grounds out. ,stevl001,0,G
,22,2,blumg001,,,,7,21,CBCBFX,parkc002,0,0,blumg001 singles. ,blumg001,0,
,21,2,,,,guerw001,8,25,BBCS,parkc002,1,0,blumg001 caught stealing. ,guerw001,0,
,22,2,,,,,9,30,BBCSX,parkc002,1,0,,guerw001,0,F
,12,2,,,,,10,17,CSBFS,vazqj001,1,0,karre001 strikes out. ,karre001,1,
,01,2,whitd001,,,,11,19,CX,vazqj001,0,0,whitd001 reaches on error. ,whitd001,1,G
,12,2,whitd001,,,,12,25,BCCFFS,vazqj001,1,0,belta001 strikes out. ,belta001,1,
,32,2,whitd001,,,,13,31,SSBBBS,vazqj001,1,0,kreuc001 strikes out. ,kreuc001,1,
,22,3,,,,,14,37,CBBSFFX,parkc002,1,0,,cabro001,0,F
,02,3,,,,,15,40,CCX,parkc002,1,0,barrm003 grounds out. ,barrm003,0,G
,21,3,vazqj001,,,,16,44,BCBX,parkc002,0,0,vazqj001 singles. ,vazqj001,0,
,00,3,vazqj001,,,,17,45,X,parkc002,1,0,,bergp001,0,F
,12,3,,,,,18,35,BCCC,vazqj001,1,0,coraa001 strikes out. ,coraa001,1,
,00,3,,,,,19,36,X,vazqj001,0,1,parkc002 homers. ,parkc002,1,
,10,3,,,,,20,38,BX,vazqj001,1,0,,goodt001,1,F
,22,3,,,,,21,43,FBBFS,vazqj001,1,0,grudm001 strikes out. ,grudm001,1,
,32,4,,,,,22,51,SBCBBX,parkc002,1,0,,bradm001,0,F
,11,4,,,,,23,54,LBX,parkc002,1,0,,vidrj001,0,F
,11,4,,,,,24,57,BFX,parkc002,1,0,,stevl001,0,
,21,4,,,,,25,47,BCBX,vazqj001,0,1,grees001 homers. ,grees001,1,
,00,4,karre001,,,,26,48,X,vazqj001,0,0,karre001 singles. ,karre001,1,
karre001 scores. whitd001 to 3B. ,02,4,,,whitd001,,27,51,FLX,vazqj001,0,1,whitd001 singles. ,whitd001,1,
whitd001 scores. ,01,4,belta001,,,,28,53,CX,vazqj001,0,1,belta001 singles. ,belta001,1,
belta001 to 2B. ,32,4,kreuc001,belta001,,,29,60,CBFFBBB,vazqj001,0,0,kreuc001 walks. ,kreuc001,1,
belta001 to 3B. ,00,4,kreuc001,,belta001,,30,61,X,vazqj001,1,0,,coraa001,1,F
belta001 scores. kreuc001 to 2B. ,11,4,parkc002,kreuc001,,,31,64,CBX,vazqj001,0,1,parkc002 singles. ,parkc002,1,
