id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
estes001,0,16,4,4,3,2,104,5,0,4,0,0,1,0,24,20,0,0,0,0
fulta001,0,5,1,0,0,0,19,0,0,0,1,0,0,0,6,5,0,0,1,0
rodrf002,0,3,0,0,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0
nen-r001,0,3,0,0,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0
browk001,1,15,6,2,2,2,110,8,0,5,1,0,2,1,24,21,0,0,0,0
reyea001,1,2,1,0,0,0,14,2,0,1,0,0,0,0,3,3,0,0,0,0
masao001,1,1,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0
adamt001,1,3,2,0,2,2,14,0,1,1,0,0,0,0,5,5,0,0,0,0
fettm001,1,3,1,0,1,1,12,0,1,0,0,0,0,0,4,4,0,0,0,0
shawj001,1,3,0,0,0,0,10,2,0,0,0,0,0,0,3,3,0,0,0,0
