id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
whitd001,PIT200008011,1,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
grudm001,PIT200008011,2,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
shefg001,PIT200008011,3,7,4,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
goodt001,PIT200008011,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
karre001,PIT200008011,4,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
grees001,PIT200008011,5,9,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
belta001,PIT200008011,6,5,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
kreuc001,PIT200008011,7,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
elstk001,PIT200008011,8,6,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
perec001,PIT200008011,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
donnc001,PIT200008011,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hergm001,PIT200008011,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
leyrj001,PIT200008011,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
olsog001,PIT200008011,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
goodt001,PIT200008012,1,8,5,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
grudm001,PIT200008012,2,4,5,5,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
shefg001,PIT200008012,3,7,5,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
shawj001,PIT200008012,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
grees001,PIT200008012,4,9,5,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PIT,0,1,0
karre001,PIT200008012,5,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hundt001,PIT200008012,6,2,4,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
belta001,PIT200008012,7,5,4,3,2,1,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
coraa001,PIT200008012,8,6,4,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,PIT,0,1,0
valdi001,PIT200008012,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
donnc001,PIT200008012,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
osuna002,PIT200008012,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
leyrj001,PIT200008012,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
hergm001,PIT200008012,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
