id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
perec001,PIT200008011,12,9,1,5,5,72,0,0,6,3,0,2,0,22,20,0,1,0,0,PIT,0,1,1
hergm001,PIT200008011,6,1,0,0,0,30,1,0,1,0,0,0,1,8,6,0,1,0,0,PIT,0,1,0
olsog001,PIT200008011,6,2,0,1,1,33,2,1,1,0,0,0,0,8,8,0,0,0,0,PIT,0,1,0
valdi001,PIT200008012,12,4,3,2,2,79,8,1,1,2,0,0,0,19,16,0,0,0,0,PIT,0,1,1
osuna002,PIT200008012,6,3,3,1,1,42,2,1,2,0,0,0,0,12,7,0,2,0,0,PIT,0,1,0
hergm001,PIT200008012,3,1,0,0,0,17,0,0,1,0,0,0,0,4,4,0,0,0,0,PIT,0,1,0
adamt001,PIT200008012,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
shawj001,PIT200008012,3,0,0,0,0,20,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
dreid001,PIT200008020,18,7,3,5,5,95,3,2,3,2,0,0,0,27,23,0,1,0,0,PIT,0,1,1
adamt001,PIT200008020,6,2,0,0,0,36,1,0,2,0,0,0,0,8,8,0,0,0,0,PIT,0,1,0
fettm001,PIT200008020,3,1,0,0,0,6,0,0,1,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
herso001,LAN200004140,18,6,2,1,1,104,2,1,4,1,0,0,0,24,22,0,0,0,0,LAN,0,1,1
adamt001,LAN200004140,3,3,0,0,0,16,1,0,3,0,0,0,0,6,6,0,0,0,0,LAN,0,1,0
hergm001,LAN200004140,6,0,1,0,0,29,3,0,0,0,0,0,1,8,6,0,0,0,0,LAN,0,1,0
gagne001,LAN200004150,15,3,3,2,2,95,5,1,1,1,0,0,0,21,18,0,0,0,0,LAN,0,1,1
willj002,LAN200004150,3,2,1,1,1,20,0,0,1,1,0,0,0,5,4,0,0,0,0,LAN,0,1,0
milla001,LAN200004150,6,2,3,2,2,52,2,0,1,1,0,0,0,11,8,0,0,0,0,LAN,0,1,0
fettm001,LAN200004150,3,1,1,0,0,21,1,0,1,0,0,0,0,4,3,0,0,0,0,LAN,0,1,0
parkc002,LAN200004160,21,4,3,3,2,115,4,1,2,1,0,0,1,30,24,0,2,0,1,LAN,0,1,1
willj002,LAN200004160,1,2,1,2,2,19,1,1,1,0,0,0,0,4,3,0,0,0,0,LAN,0,1,0
hergm001,LAN200004160,2,1,0,0,0,12,1,0,0,1,0,0,0,3,3,0,0,0,0,LAN,0,1,0
adamt001,LAN200004160,3,0,1,0,0,14,0,0,0,0,0,0,0,4,3,0,0,0,0,LAN,0,1,0
dreid001,LAN200004180,18,3,2,3,3,97,8,1,2,0,0,0,1,23,20,0,0,0,0,LAN,0,1,1
adamt001,LAN200004180,4,1,1,0,0,30,0,0,1,0,0,0,0,6,5,0,0,0,0,LAN,0,1,0
fettm001,LAN200004180,2,0,1,0,0,9,0,0,0,0,0,1,0,2,1,0,0,0,0,LAN,0,1,0
shawj001,LAN200004180,3,1,0,0,0,12,1,0,0,1,0,0,0,4,4,0,0,0,0,LAN,0,1,0
herso001,LAN200004190,4,4,2,7,7,55,0,0,2,2,0,1,4,14,7,0,0,1,0,LAN,0,1,1
perec001,LAN200004190,11,5,0,1,1,62,1,0,5,0,0,0,0,16,16,0,0,0,0,LAN,0,1,0
willj002,LAN200004190,4,3,2,2,1,27,1,0,3,0,0,0,0,9,7,0,0,0,0,LAN,0,1,0
hergm001,LAN200004190,5,2,0,0,0,36,1,0,2,0,0,0,1,8,7,0,0,0,0,LAN,0,1,0
milla001,LAN200004190,3,0,0,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
perec001,LAN200004280,18,5,1,2,2,101,6,0,3,2,0,0,1,24,22,0,0,0,0,LAN,0,1,1
adamt001,LAN200004280,6,1,1,1,0,34,1,0,1,0,0,0,0,8,7,0,0,0,0,LAN,0,1,0
shawj001,LAN200004280,3,1,0,0,0,10,1,0,0,1,0,0,0,4,4,0,0,0,0,LAN,0,1,0
dreid001,LAN200004290,15,6,2,9,2,99,3,2,3,1,0,1,1,26,23,0,0,0,0,LAN,0,1,1
hergm001,LAN200004290,3,0,0,0,0,9,1,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
fettm001,LAN200004290,3,5,0,2,2,19,1,0,4,1,0,0,0,7,7,0,0,0,0,LAN,0,1,0
herso001,LAN200004290,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
shawj001,LAN200004290,3,1,0,1,1,21,1,1,0,0,0,0,0,5,5,0,0,0,0,LAN,0,1,0
browk001,LAN200004300,21,3,3,1,1,111,7,1,2,0,0,0,0,28,25,0,0,0,0,LAN,0,1,1
adamt001,LAN200004300,6,0,0,0,0,20,0,0,0,0,0,0,0,6,6,0,0,0,0,LAN,0,1,0
gagne001,LAN200005010,21,4,2,1,1,103,6,1,2,1,0,1,0,27,25,0,0,0,0,LAN,0,1,1
hergm001,LAN200005010,6,2,0,1,0,38,2,0,2,0,0,0,0,8,8,0,0,0,0,LAN,0,1,0
parkc002,LAN200005020,20,3,7,2,2,110,5,1,1,1,0,0,0,29,22,0,0,0,0,LAN,0,1,1
adamt001,LAN200005020,1,2,2,3,2,29,0,0,2,0,0,1,0,5,3,0,0,0,0,LAN,0,1,0
fettm001,LAN200005020,3,0,0,0,0,7,0,0,0,0,0,0,0,3,2,0,1,0,0,LAN,0,1,0
milla001,LAN200005020,3,1,1,0,0,13,0,0,0,1,0,0,0,4,3,0,0,0,0,LAN,0,1,0
perec001,LAN200005030,21,6,4,4,4,105,0,0,6,0,0,0,0,30,25,0,1,0,0,LAN,0,1,1
fettm001,LAN200005030,3,0,0,0,0,13,1,0,0,0,0,0,1,3,2,0,0,0,0,LAN,0,1,0
shawj001,LAN200005030,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
browk001,LAN200005050,24,3,1,1,1,102,5,1,2,0,0,0,0,28,27,0,0,0,0,LAN,0,1,1
shawj001,LAN200005050,3,1,0,1,1,9,0,1,0,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
dreid001,LAN200005060,17,9,3,5,4,105,2,1,6,2,0,0,1,28,23,0,1,0,0,LAN,0,1,1
hergm001,LAN200005060,7,1,1,0,0,31,2,0,0,1,0,0,0,8,7,0,0,0,0,LAN,0,1,0
adamt001,LAN200005060,3,2,0,1,0,22,0,0,2,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
