advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,12,1,,,,,0,5,SCBFC,herno001,1,0,camem001 strikes out. ,camem001,0,
,12,1,,,,,1,10,FBCFS,herno001,1,0,javis001 strikes out. ,javis001,0,
,02,1,,,,,2,14,CFFC,herno001,1,0,rodra001 strikes out. ,rodra001,0,
,31,1,knobc001,,,,3,5,BBBCB,halaj001,0,0,knobc001 walks. ,knobc001,1,
knobc001 to 3B. ,11,1,jeted001,,knobc001,,4,8,LBX,halaj001,0,0,jeted001 reaches on error. ,jeted001,1,G
jeted001 to 2B. ,32,1,justd001,jeted001,knobc001,,5,17,CFBFBBFFB,halaj001,0,0,justd001 walks. ,justd001,1,
jeted001 to 3B. justd001 to 2B. ,01,1,,justd001,jeted001,,6,19,FX,halaj001,2,0,Double Play. ,willb002,1,
,21,1,,justd001,jeted001,,7,23,BCBX,halaj001,1,0,martt002 grounds out. ,martt002,1,G
,32,2,marte001,,,,8,21,BCBCBFB,herno001,0,0,marte001 walks. ,marte001,0,
marte001 to 2B. ,12,2,olerj001,marte001,,,9,25,CBFX,herno001,0,0,olerj001 singles. ,olerj001,0,
marte001 to 3B. olerj001 to 2B. ,21,2,,olerj001,marte001,,10,29,BFBX,herno001,1,0,,marta001,0,F
,01,2,,,marte001,,11,31,CX,herno001,2,0,Double Play. ,belld002,0,
,11,2,,,,,12,26,BFX,halaj001,1,0,,posaj001,1,F
,00,2,,,,,13,27,X,halaj001,1,0,oneip001 grounds out. ,oneip001,1,G
,02,2,,,,,14,30,CCX,halaj001,1,0,sojol001 grounds out. ,sojol001,1,G
,12,3,,,,,15,35,BCSS,herno001,1,0,wilsd001 strikes out. ,wilsd001,0,
,02,3,,,,,16,38,CCX,herno001,1,0,mclem001 grounds out. ,mclem001,0,G
,31,3,camem001,,,,17,43,BBBCB,herno001,0,0,camem001 walks. ,camem001,0,
,10,3,,camem001,,javis001,18,45,BB,herno001,0,0,camem001 steals 2B. ,javis001,0,
camem001 scores. ,20,3,javis001,,,,19,48,BBX,herno001,0,1,javis001 singles. ,javis001,0,
,11,3,javis001,,,,20,51,CBX,herno001,1,0,,rodra001,0,P
,02,3,bross001,,,,21,33,CFX,halaj001,0,0,bross001 singles. ,bross001,1,
,00,3,,,,knobc001,22,34,1,halaj001,1,0,bross001 picked off. ,knobc001,1,
,31,3,,,,,23,40,1BCBBX,halaj001,1,0,,knobc001,1,F
,00,3,jeted001,,,,24,41,X,halaj001,0,0,jeted001 singles. ,jeted001,1,
