advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,01,1,,vinaf001,,,0,2,CX,joneb003,0,0,vinaf001 doubles. ,vinaf001,0,G
vinaf001 to 3B. ,00,1,,,vinaf001,,1,3,X,joneb003,1,0,Sacrifice bunt by rente001.,rente001,0,G
vinaf001 scores. ,00,1,,,,,2,4,X,joneb003,0,2,edmoj001 homers. ,edmoj001,0,
,01,1,,,,,3,6,CX,joneb003,1,0,,clarw001,0,F
,32,1,,,,,4,12,BBBCSS,joneb003,1,0,lankr001 strikes out. ,lankr001,0,
,11,1,,peret004,,,5,3,CBX,kiled001,0,0,peret004 hits ground rule double. ,peret004,1,F
peret004 scores. ,00,1,,alfoe001,,,6,4,X,kiled001,0,1,alfoe001 doubles. ,alfoe001,1,G
alfoe001 to 3B. ,20,1,,piazm001,alfoe001,,7,7,BBX,kiled001,0,0,piazm001 doubles. ,piazm001,1,L
alfoe001 scores. piazm001 scores. ,10,1,,ventr001,,,8,9,BX,kiled001,0,2,ventr001 doubles. ,ventr001,1,F
,21,1,,ventr001,,,9,13,B*BCX,kiled001,1,0,,zeilt001,1,G
ventr001 scores. ,30,1,,agbab001,,,10,17,BBBX,kiled001,0,1,agbab001 doubles. ,agbab001,1,F
,02,1,,agbab001,,,11,21,C2F*S,kiled001,1,0,paytj001 strikes out. ,paytj001,1,
,10,1,,agbab001,,,12,23,BX,kiled001,1,0,,bordm001,1,G
,21,2,,,,,13,16,BSBX,joneb003,1,0,,tatif001,0,F
,11,2,,,,,14,19,BCX,joneb003,1,0,,drewj001,0,F
,22,2,,,,,15,24,CBCBX,joneb003,1,0,,hernc001,0,F
,12,2,,,,,16,27,CCBX,kiled001,1,0,,joneb003,1,L
,12,2,peret004,,,,17,32,CBFFX,kiled001,0,0,peret004 singles. ,peret004,1,L
,01,2,,peret004,,alfoe001,18,34,CS,kiled001,0,0,peret004 steals 2B. ,alfoe001,1,
peret004 to 3B. ,02,2,,,peret004,,19,38,CS2X,kiled001,1,0,,alfoe001,1,F
,30,2,piazm001,,peret004,,20,42,IIII,kiled001,0,0,piazm001 intentionally walks. ,piazm001,1,
piazm001 to 2B. ,30,2,ventr001,piazm001,peret004,,21,46,BBBB,kiled001,0,0,ventr001 walks. ,ventr001,1,
peret004 scores. piazm001 scores. ventr001 to 3B. ,02,2,,zeilt001,ventr001,,22,49,CCX,kiled001,0,2,zeilt001 doubles. ,zeilt001,1,L
ventr001 scores. zeilt001 out. ,22,2,agbab001,,,,23,55,CFBF*BX,kiled001,1,1,agbab001 singles. ,agbab001,1,L
,21,3,,,,,24,28,CBBX,joneb003,1,0,,kiled001,0,P
,32,3,,,,,25,34,BBCBCS,joneb003,1,0,vinaf001 strikes out. ,vinaf001,0,
,12,3,,,,,26,41,CBFFFFX,joneb003,1,0,,rente001,0,F
,00,3,,,,,27,56,X,kiled001,1,0,,paytj001,1,F
,32,3,,,,,28,62,BBBCFX,kiled001,1,0,,bordm001,1,G
,22,3,,,,,29,67,CBSBS,kiled001,1,0,joneb003 strikes out. ,joneb003,1,
,31,4,,,,,30,46,BCBBX,joneb003,1,0,,edmoj001,0,F
,22,4,,,,,31,51,CBCBX,joneb003,0,1,clarw001 homers. ,clarw001,0,
,21,4,,,,,32,55,CBBX,joneb003,1,0,,lankr001,0,F
,11,4,,,,,33,58,BCX,joneb003,1,0,,tatif001,0,G
,32,4,peret004,,,,34,73,BCBBCB,kiled001,0,0,peret004 walks. ,peret004,1,
,01,4,peret004,,,,36,3,C1>X,jamem001,1,0,,alfoe001,1,F
,00,4,,,,piazm001,37,4,P,jamem001,1,0,peret004 caught stealing. ,piazm001,1,
,22,4,,,,,38,9,BCSBX,jamem001,0,1,piazm001 homers. ,piazm001,1,
,00,4,,,,,39,10,X,jamem001,1,0,,ventr001,1,G
,32,5,drewj001,,,,40,66,BCSBFFBX,joneb003,0,0,drewj001 singles. ,drewj001,0,L
drewj001 to 2B. ,00,5,hernc001,drewj001,,,41,67,X,joneb003,0,0,hernc001 singles. ,hernc001,0,G
drewj001 scores. hernc001 to 3B. ,21,5,,davie001,hernc001,,43,71,BFBX,joneb003,0,1,davie001 doubles. ,davie001,0,G
,22,5,,davie001,hernc001,,45,7,CCFBBFC,ruscg001,1,0,vinaf001 strikes out. ,vinaf001,0,
hernc001 scores. davie001 to 3B. ,22,5,,,davie001,,46,13,FFBFBX,ruscg001,1,1,rente001 hits sacrifice fly. ,rente001,0,
davie001 scores. ,00,5,edmoj001,,,,47,14,X,ruscg001,0,1,edmoj001 singles. ,edmoj001,0,G
,00,5,edmoj001,,,,48,16,1X,ruscg001,1,0,,clarw001,0,G
,01,5,,,,,50,2,CX,timlm001,1,0,,zeilt001,1,L
,11,5,,,,,51,5,BFX,timlm001,1,0,,agbab001,1,G
,00,5,,,,,52,6,X,timlm001,1,0,,paytj001,1,G
,00,6,lankr001,,,,53,17,X,ruscg001,0,0,lankr001 singles. ,lankr001,0,L
,22,6,lankr001,,,,54,22,BBCSS,ruscg001,1,0,tatif001 strikes out. ,tatif001,0,
,11,6,lankr001,,,,55,28,11C1BX,ruscg001,1,0,,drewj001,0,L
,11,6,lankr001,,,,56,33,B1S1X,ruscg001,1,0,,hernc001,0,G
,32,6,bordm001,,,,57,13,BBBCSFB,timlm001,0,0,bordm001 walks. ,bordm001,1,
bordm001 to 2B. ,02,6,,bordm001,,,58,16,MLX,timlm001,1,0,Sacrifice bunt by ruscg001.,ruscg001,1,G
bordm001 to 2B. ,10,6,peret004,bordm001,,,59,18,BX,timlm001,0,0,peret004 reaches on error. ,peret004,1,G
bordm001 to 3B. peret004 to 2B. ,01,6,alfoe001,peret004,bordm001,,60,20,FH,timlm001,0,0,alfoe001 hit by pitch. ,alfoe001,1,
bordm001 scores. peret004 to 3B. alfoe001 to 2B. ,10,6,piazm001,alfoe001,peret004,,61,22,BX,timlm001,0,1,piazm001 reaches on error. ,piazm001,1,G
peret004 scores. ,01,6,piazm001,alfoe001,,,62,24,SX,timlm001,1,1,ventr001 hits sacrifice fly. ,ventr001,1,F
,31,6,piazm001,alfoe001,,,63,29,BBCB>X,timlm001,1,0,,zeilt001,1,F
,10,7,dunss001,,,,65,35,BX,ruscg001,0,0,dunss001 singles. ,dunss001,0,L
,10,7,dunss001,,,,66,37,BX,ruscg001,1,0,,vinaf001,0,F
dunss001 out. ,01,7,,,,,67,39,FX,ruscg001,2,0,,rente001,0,F
,32,7,,,,,69,6,BFBSBX,morrm001,1,0,,agbab001,1,G
,21,7,,,,,70,10,BCBX,morrm001,1,0,,paytj001,1,F
,12,7,,,,,71,14,CFBX,morrm001,1,0,,bordm001,1,G
,02,8,,,,,73,3,CCT,franj001,1,0,edmoj001 strikes out. ,edmoj001,0,
,00,8,,,,,74,4,X,franj001,1,0,,clarw001,0,G
,32,8,lankr001,,,,75,11,BBCSBFB,franj001,0,0,lankr001 walks. ,lankr001,0,
lankr001 to 2B. ,00,8,tatif001,lankr001,,,76,12,X,franj001,0,0,tatif001 singles. ,tatif001,0,L
,11,8,tatif001,lankr001,,,78,15,BSX,franj001,1,0,,paquc001,0,G
,22,8,,,,,83,5,BCCBX,chrij002,1,0,,tramb001,1,F
,01,8,,,,,84,7,FX,chrij002,1,0,,peret004,1,G
,32,8,,,,,85,14,BSBFFBX,chrij002,1,0,,alfoe001,1,P
,22,9,hernc001,,,,88,6,BBCFFX,benia001,0,0,hernc001 singles. ,hernc001,0,G
marre001 to 2B. ,00,9,,marre001,,polap001,91,7,B,benia001,0,0,marre001 to 2B on defensive indifference. ,polap001,0,
,30,9,polap001,marre001,,,92,11,BBBB,benia001,0,0,polap001 walks. ,polap001,0,
marre001 to 3B. polap001 out. ,01,9,vinaf001,,marre001,,93,13,CX,benia001,1,0,vinaf001 reaches on fielder's choice. ,vinaf001,0,G
vinaf001 to 2B. ,01,9,,vinaf001,marre001,rente001,94,15,CS,benia001,0,0,vinaf001 to 2B on defensive indifference. ,rente001,0,
,02,9,,vinaf001,marre001,,95,19,CSFS,benia001,1,0,rente001 strikes out. ,rente001,0,
,32,9,,vinaf001,marre001,,96,26,CSBBFBX,benia001,1,0,,edmoj001,0,F
