id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
knobc001,0,1,10,5,5,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
jeted001,0,2,6,5,4,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
justd001,0,3,7,5,5,2,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0
bellc001,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willb002,0,4,8,5,4,3,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,1
martt002,0,5,3,5,5,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
posaj001,0,6,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
oneip001,0,7,9,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sojol001,0,8,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vizcj001,0,8,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bross001,0,9,5,4,3,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
hendr001,1,1,7,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
camem001,1,2,8,4,4,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
rodra001,1,3,6,4,4,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
marte001,1,4,10,4,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
buhnj001,1,5,9,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
javis001,1,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olerj001,1,6,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
belld002,1,7,5,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
marta001,1,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olivj001,1,8,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ibanr001,1,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mclem001,1,9,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
