advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,22,1,,,,,0,5,BCBFS,garcf002,1,0,knobc001 strikes out. ,knobc001,0,
,22,1,jeted001,,,,1,10,BCFBX,garcf002,0,0,jeted001 singles. ,jeted001,0,
jeted001 to 2B. ,21,1,,jeted001,,,2,14,BBSX,garcf002,1,0,justd001 grounds out. ,justd001,0,G
,21,1,,jeted001,,,3,18,BBSX,garcf002,1,0,willb002 grounds out. ,willb002,0,G
,22,1,,,,,4,5,BCSBC,neagd001,1,0,hendr001 strikes out. ,hendr001,1,
,32,1,camem001,,,,5,12,BBFFBFB,neagd001,0,0,camem001 walks. ,camem001,1,
camem001 to 2B. ,30,1,rodra001,camem001,,,6,16,BBBB,neagd001,0,0,rodra001 walks. ,rodra001,1,
camem001 to 3B. rodra001 to 2B. ,32,1,marte001,rodra001,camem001,,7,22,BFBFBB,neagd001,0,0,marte001 walks. ,marte001,1,
camem001 scores. ,00,1,marte001,rodra001,,,8,23,X,neagd001,1,1,olerj001 hits sacrifice fly. ,olerj001,1,
,32,1,marte001,rodra001,,,9,30,FSBBBFS,neagd001,1,0,buhnj001 strikes out. ,buhnj001,1,
,22,2,,,,,10,23,BFFBX,garcf002,1,0,martt002 grounds out. ,martt002,0,G
,22,2,,,,,11,28,CBCBX,garcf002,1,0,posaj001 grounds out. ,posaj001,0,G
,11,2,oneip001,,,,12,31,BFX,garcf002,0,0,oneip001 singles. ,oneip001,0,
oneip001 to 3B. ,20,2,sojol001,,oneip001,,13,34,BBX,garcf002,0,0,sojol001 singles. ,sojol001,0,
,21,2,sojol001,,oneip001,,14,38,CBBX,garcf002,1,0,,bross001,0,
,01,2,belld002,,,,15,32,FX,neagd001,0,0,belld002 singles. ,belld002,1,
belld002 to 2B. ,12,2,,belld002,,,16,36,BFFX,neagd001,1,0,,wilsd001,1,F
,32,2,,belld002,,,17,42,BCSBBS,neagd001,1,0,mclem001 strikes out. ,mclem001,1,
,12,2,,belld002,,,18,46,BFFX,neagd001,1,0,,hendr001,1,P
,10,3,knobc001,,,,19,40,BH,garcf002,0,0,knobc001 hit by pitch. ,knobc001,0,
,22,3,knobc001,,,,20,46,CFFBBS,garcf002,1,0,jeted001 strikes out. ,jeted001,0,
,20,3,knobc001,,,,21,49,BBX,garcf002,1,0,,justd001,0,P
,31,3,knobc001,,,,22,54,CBBBX,garcf002,1,0,willb002 grounds out. ,willb002,0,G
,22,3,,,,,23,51,BCFBX,neagd001,1,0,,camem001,1,F
,32,3,,,,,24,58,CCFBBBS,neagd001,1,0,rodra001 strikes out. ,rodra001,1,
,32,3,,,,,25,64,CBFBBX,neagd001,1,0,marte001 grounds out. ,marte001,1,G
,22,4,,martt002,,,26,59,BCBCX,garcf002,0,0,martt002 doubles. ,martt002,0,
martt002 to 3B. ,22,4,posaj001,,martt002,,27,64,BFBFX,garcf002,0,0,posaj001 singles. ,posaj001,0,
posaj001 to 2B. ,30,4,oneip001,posaj001,martt002,,28,68,BBBB,garcf002,0,0,oneip001 walks. ,oneip001,0,
martt002 scores. posaj001 scores. oneip001 to 3B. ,00,4,,sojol001,oneip001,,29,69,X,garcf002,0,2,sojol001 doubles. ,sojol001,0,
,10,4,,sojol001,oneip001,,30,71,BX,garcf002,1,0,,bross001,0,P
,22,4,,sojol001,oneip001,,31,77,CCBFBS,garcf002,1,0,knobc001 strikes out. ,knobc001,0,
,01,4,,sojol001,oneip001,,32,79,FX,garcf002,1,0,jeted001 grounds out. ,jeted001,0,G
,10,4,,,,,33,66,BX,neagd001,1,0,,olerj001,1,F
,00,4,buhnj001,,,,34,67,X,neagd001,0,0,buhnj001 singles. ,buhnj001,1,
buhnj001 to 2B. ,12,4,,buhnj001,,,35,73,CCFBFX,neagd001,1,0,belld002 grounds out. ,belld002,1,G
,22,4,,buhnj001,,,36,78,FSBBX,neagd001,1,0,wilsd001 grounds out. ,wilsd001,1,G
,11,5,,,,,37,82,BCX,garcf002,1,0,justd001 grounds out. ,justd001,0,G
,10,5,,willb002,,,38,84,BX,garcf002,0,0,willb002 doubles. ,willb002,0,
,21,5,,willb002,,,39,88,BCBX,garcf002,1,0,martt002 grounds out. ,martt002,0,G
,30,5,posaj001,willb002,,,40,92,BBBB,garcf002,0,0,posaj001 walks. ,posaj001,0,
willb002 to 3B. posaj001 out. ,30,5,oneip001,,willb002,,41,96,BBBX,garcf002,1,0,oneip001 reaches on fielder's choice. ,oneip001,0,
,10,5,mclem001,,,,42,80,BX,neagd001,0,0,mclem001 singles. ,mclem001,1,G
mclem001 to 2B. ,31,5,hendr001,mclem001,,,43,85,BBCBB,neagd001,0,0,hendr001 walks. ,hendr001,1,
mclem001 to 3B. hendr001 to 2B. ,20,5,,hendr001,mclem001,,44,88,BBX,neagd001,1,0,Sacrifice bunt by camem001.,camem001,1,
mclem001 scores. hendr001 scores. ,00,5,rodra001,,,,46,1,X,nelsj001,0,2,rodra001 singles. ,rodra001,1,
rodra001 scores. ,20,5,,,,,47,4,BBX,nelsj001,0,2,marte001 homers. ,marte001,1,
,01,5,,,,,48,6,CX,nelsj001,0,1,olerj001 homers. ,olerj001,1,
,11,5,buhnj001,,,,50,3,BCX,grimj001,0,0,buhnj001 singles. ,buhnj001,1,
,10,5,buhnj001,,,,51,5,BX,grimj001,1,0,,belld002,1,F
buhnj001 to 2B. ,01,5,,buhnj001,,wilsd001,52,7,SB,grimj001,0,0,Wild Pitch. ,wilsd001,1,
,32,5,wilsd001,buhnj001,,,53,13,SBBFBB,grimj001,0,0,wilsd001 walks. ,wilsd001,1,
buhnj001 to 3B. wilsd001 to 2B. ,32,5,mclem001,wilsd001,buhnj001,,54,20,BSFBBFB,grimj001,0,0,mclem001 walks. ,mclem001,1,
,12,5,mclem001,wilsd001,buhnj001,,56,4,BFCX,goodd001,1,0,,hendr001,1,P
,01,6,,,,,58,2,CX,panij001,1,0,sojol001 grounds out. ,sojol001,0,G
,01,6,,,,,59,4,FX,panij001,1,0,bross001 grounds out. ,bross001,0,G
,11,6,,,,,60,7,BCX,panij001,1,0,knobc001 grounds out. ,knobc001,0,G
,32,6,,,,,61,10,BBCFBX,goodd001,1,0,camem001 grounds out. ,camem001,1,G
,21,6,,,,,62,14,BBSX,goodd001,1,0,rodra001 grounds out. ,rodra001,1,G
,10,6,,,,,63,16,BX,goodd001,1,0,marte001 grounds out. ,marte001,1,G
,32,7,jeted001,,,,64,18,BFFFFBFBFFB,panij001,0,0,jeted001 walks. ,jeted001,0,
,02,7,jeted001,,,,66,4,CFFS,rhoda001,1,0,justd001 strikes out. ,justd001,0,
jeted001 to 2B. ,32,7,willb002,jeted001,,,67,10,BSBCBB,rhoda001,0,0,willb002 walks. ,willb002,0,
jeted001 to 3B. willb002 to 2B. ,32,7,martt002,willb002,jeted001,,68,16,BBBCFB,rhoda001,0,0,martt002 walks. ,martt002,0,
,12,7,martt002,willb002,jeted001,,69,20,BFFS,rhoda001,1,0,posaj001 strikes out. ,posaj001,0,
,12,7,martt002,willb002,jeted001,,71,24,BSFC,rhoda001,1,0,hillg001 strikes out. ,hillg001,0,
,32,7,olerj001,,,,74,22,BCSBBX,goodd001,0,0,olerj001 singles. ,olerj001,1,
,02,7,olerj001,,,,75,25,CSC,goodd001,1,0,buhnj001 strikes out. ,buhnj001,1,
,31,7,,olerj001,,belld002,76,30,BBBCC,goodd001,0,0,olerj001 steals 2B. ,belld002,1,
