advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,,,0,6,BBCSBC,ankir001,1,0,peret004 strikes out. ,peret004,0,
,32,1,alfoe001,,,,1,13,CBSFBBB,ankir001,0,0,alfoe001 walks. ,alfoe001,0,
alfoe001 to 2B. ,00,1,,alfoe001,,piazm001,2,14,B,ankir001,0,0,Wild Pitch. ,piazm001,0,
alfoe001 to 3B. ,32,1,piazm001,,alfoe001,,3,21,BBCSFBB,ankir001,0,0,piazm001 walks. ,piazm001,0,
alfoe001 scores. ,32,1,piazm001,,,,4,27,BCBBCX,ankir001,1,1,zeilt001 hits sacrifice fly. ,zeilt001,0,
piazm001 to 2B. ,30,1,ventr001,piazm001,,,5,31,BBBB,ankir001,0,0,ventr001 walks. ,ventr001,0,
piazm001 scores. ventr001 to 3B. ,11,1,,agbab001,ventr001,,6,34,BCX,ankir001,0,1,agbab001 doubles. ,agbab001,0,
,12,1,,agbab001,ventr001,,8,4,BFSS,reamb001,1,0,paytj001 strikes out. ,paytj001,0,
,12,1,,,,,9,4,BCFC,leita001,1,0,vinaf001 strikes out. ,vinaf001,1,
,01,1,rente001,,,,10,6,CX,leita001,0,0,rente001 singles. ,rente001,1,
,22,1,,rente001,,edmoj001,11,11,BBFCB,leita001,0,0,rente001 steals 2B. ,edmoj001,1,
,32,1,,rente001,,,12,17,BBFCBS,leita001,1,0,edmoj001 strikes out. ,edmoj001,1,
,21,1,,rente001,,,13,21,CBBX,leita001,1,0,,tatif001,1,P
,32,2,,,,,14,11,BSFBBFS,reamb001,1,0,abbok002 strikes out. ,abbok002,0,
,11,2,leita001,,,,15,14,CBX,reamb001,0,0,leita001 reaches on error. ,leita001,0,G
,11,2,leita001,,,,16,17,SBX,reamb001,1,0,,peret004,0,
,02,2,leita001,,,,17,20,SFC,reamb001,1,0,alfoe001 strikes out. ,alfoe001,0,
,22,2,,,,,18,26,FBBSX,leita001,1,0,,clarw001,1,F
,21,2,,dunss001,,,19,30,BBCX,leita001,0,0,dunss001 doubles. ,dunss001,1,L
dunss001 to 3B. ,32,2,lankr001,,dunss001,,20,37,CBSBFBX,leita001,0,0,lankr001 singles. ,lankr001,1,F
dunss001 scores. lankr001 to 2B. ,01,2,,lankr001,,,21,39,CX,leita001,1,1,marre001 grounds out. ,marre001,1,G
,22,2,,lankr001,,,22,44,SFBBS,leita001,1,0,reamb001 strikes out. ,reamb001,1,
,12,3,,,,,23,24,FCBX,reamb001,0,1,piazm001 homers. ,piazm001,0,
,10,3,,,,,24,26,BX,reamb001,1,0,,zeilt001,0,F
,31,3,ventr001,,,,25,31,FBBBX,reamb001,0,0,ventr001 singles. ,ventr001,0,G
,11,3,ventr001,,,,26,34,BSX,reamb001,1,0,,agbab001,0,F
