id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
witaj001,0,18,6,5,4,4,111,3,1,3,1,1,0,0,29,23,0,1,0,2
walkk001,0,3,0,1,0,0,17,1,0,0,0,0,0,0,4,3,0,0,0,1
walld002,0,5,0,3,0,0,37,0,0,0,0,0,0,0,8,5,0,0,0,0
almac001,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
hofft001,0,2,2,0,2,0,16,2,0,2,0,0,0,0,5,5,0,0,0,0
rigdp001,1,17,9,2,3,3,107,3,1,4,4,0,0,0,29,25,0,1,1,0
delov001,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
acevj001,1,6,2,0,1,1,31,1,1,1,0,0,0,0,7,7,0,0,0,0
kingr001,1,3,1,0,0,0,11,1,0,1,0,0,0,0,4,4,0,0,0,0
leskc001,1,3,2,0,1,0,19,1,0,2,0,0,0,0,5,5,0,0,0,0
